Queries Group2,Virtuoso (Avg.time ), GDB (Avg.time), GDBRDFS+ (Avg.time), Stardog (Avg.time)
q1,3.598666856,5.965062206,7.317514166,0.169
q2,3.6062651540000004,9.947710983,12.300225120999999,9.664
q3,13.584867611,26.385313024,31.746559575,15.840
q4,1.610581396,0.013429738,0.009940982999999999,15.427067094
q5,0.24874438499999998,20.891882207,15.096861670000001,12.168428435
q6,0.189131607,0.15007387,0.16914337599999998,22.299
q7,0.014855128,0.011903793000000001,0.010197493,26.271
q8,0.022106598999999998,0.481120454,0.51666877,27.110178549
q9,0.022083181,1.768587248,1.964045836,0.111433391
q10,15.569272864,60.054884648,65.568815442,314.390717462
q11,0.937312679,2.929119628,2.4386210179999996,57.515820712
q12,4.590200449,60.023201451,65.640289843,14.525116723
q13,0.070138993,0.014680906,0.015224445,26.283836357
q14,0.063685225,0.014802807,0.011137608,0.10478193400000001
q15,0.654941118,0.065866138,0.059697702,Timeout
q16,0.01484746,0.011359909,0.009550086000000001,Timeout
q17,0.01251245,0.012081484,0.008702386000000001,14.873183683999999
q18,0.058809397,0.014482106,0.009912283000000001,292.246944131
q19,0.011648899,0.008446163999999999,0.007407619000000001,Timeout
q20,0.009724382,0.008068052,0.0071576009999999995,16.349478924
q21,0.025783138,0.020210266,0.010363062,23.004146195
q22,0.019639105,0.010903996,0.008429279,Timeout
q23,0.016500663,0.010378129,0.007876437,15.703049966
q24,0.030749349,0.013365767,0.012009097,45.733764467
