Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour,Actual Operation Mixes per Hour
953.169418846,317.723139615,953.18571735,5642.368689475,317.72857245,1880.789563158,316.8661738072304,300.39860846,351.383938198,849.765019043229,29.150729305511874,11.330425753782409,1.914089736841853
Options Summary,
Query Endpoint,http://opoce1.mondeca.com:8000/v1/graphs/sparql?database=opoceProd
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,0
Warmups,20
Runs,5
Random Operation Order,true
Outliers,1
Timeout,60s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,100
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,278.701726813,278.706795453,0.007859984,60.000117384999996
2,300.3947865,300.39860846,0.011526496,60.000423276
3,301.394218734,301.403170692,0.006811433,60.000127784
4,351.380413612,351.383938198,0.007633556,60.000118743
5,355.457841475,355.461476209,0.010548285999999999,60.000335207999996
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Operations per Second,Actual Operations per Second,Operations per Hour,Actual Operations per Hour
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q1.rq,Remote SPARQL Query,6.307951956,0.27425878,6.307951956,7.2716267619999995,0.27425878,0.316157685,2.4016519237097314E8,0.096001859,0.6706776210000001,0.02235415751847525,0.14951306805251255,3.6461913817307874,3.162978625681675,13126.288974230834,11386.72305245403
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q2.rq,Remote SPARQL Query,8.919492722000001,0.387804031,8.919492722000001,10.150314447000001,0.387804031,0.441318019,3.1600570596451336E8,0.091612399,1.024437495,0.05813718782764796,0.241116544077025,2.5786219844630756,2.26593965563867,9283.039144067072,8157.382760299211
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q3.rq,Remote SPARQL Query,9.188485701,0.39949937799999996,9.188485701,11.404003605,0.39949937799999996,0.495826243,3.3414544086084807E8,0.086267054,0.8082614640000001,0.05378216481893464,0.23190982044522102,2.5031328083819946,2.016835563098664,9011.27811017518,7260.60802715519
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q4.rq,Remote SPARQL Query,2.903480677,0.12623829,2.903480677,4.548070849,0.12623829,0.19774221,7.692572778172608E7,0.014638774,0.627297266,0.018789432291575904,0.13707455012355832,7.921526820428255,5.057089227434042,28517.496553541718,18205.52121876255
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q5.rq,Remote SPARQL Query,428.661587515,18.637460326,428.665125658,495.274233476,18.637614159,21.533662325,4.703967467352427E9,0.413323959,60.00011223,608.3580919124707,24.664916215395316,0.05365493627397075,0.04643891897752232,193.1577705862947,167.18010831908035
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q6.rq,Remote SPARQL Query,15.062277862,0.6548816460000001,15.064591870000001,19.236961375,0.654982255,0.836389625,2.5451063308601716E8,0.010548285999999999,2.711908663,0.47059860297121714,0.6860018972067184,1.5267589195985165,1.1956150221256032,5496.332110554659,4304.214079652172
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q7.rq,Remote SPARQL Query,68.707550263,2.9872847940000002,68.709570163,79.098631227,2.9873726150000004,3.439070922,1.4215725900861306E9,0.025041889999999997,8.256396536,9.259297893300788,3.042909445465111,0.33474230666066407,0.29077620749340277,1205.0723039783907,1046.79434697625
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q8.rq,Remote SPARQL Query,774.2580332130001,33.663392748,774.2589493419999,742.31072198,33.66343258,32.274379216,1.2977858569696033E10,0.215594323,60.000231514,717.4304580683735,26.784892347522575,0.02970582389729669,0.030984329498869208,106.94096603026809,111.54358619592914
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q9.rq,Remote SPARQL Query,137.33256455499998,5.970981066999999,137.334720433,195.653802581,5.971074800999999,8.506687068,5.805886854026704E8,0.011246324,60.000108375,291.1576089884518,17.063341085158314,0.16747403663952193,0.11755457700586477,602.906531902279,423.1964772211132
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q10.rq,Remote SPARQL Query,1380.003759598,60.00016346,1380.003759598,1373.141066394,60.00016346,59.701785494999996,6.000016346064439E10,60.000072904,60.000557852,1.731957372005439E-8,1.3160385146360418E-4,0.01666662126123481,0.016749917807462385,59.999836540445315,60.29970410686459
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q11.rq,Remote SPARQL Query,0.787196728,0.034225944,0.78955345,1.404459856,0.03432841,0.061063472,2.968465606302096E7,0.006811433,0.096276127,3.1378886353361995E-4,0.017714086584795164,29.130390833714703,16.3764025733748,104869.40700137292,58955.049264149275
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q12.rq,Remote SPARQL Query,455.986358647,19.825493854,456.053224505,483.371591749,19.828401064999998,21.016156162999998,1.7173848935914854E10,6.9255200210000005,39.545598831,111.34546213139382,10.552035923526502,0.05043270996596619,0.04758244049216528,181.5577558774783,171.29678577179502
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q13.rq,Remote SPARQL Query,22.097938353,0.960779928,22.099675583,25.969540527,0.96085546,1.129110457,5.750995868924018E8,0.033910424999999994,2.453990422,0.6013466070399451,0.7754654131809781,1.040739259576045,0.8856529436960127,3746.6613344737616,3188.3505973056454
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q14.rq,Remote SPARQL Query,173.287059346,7.534219971000001,173.40772844100002,228.067115288,7.539466453,9.915961534000001,4.3809382102150955E9,1.2239143979999998,32.161488922000004,83.96029111096294,9.162984836338154,0.13263538026647678,0.10084750697864092,477.4873689593164,363.0510251231073
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q15.rq,Remote SPARQL Query,6.761854822,0.293993687,6.7634514470000004,14.546631881,0.294063106,0.632462255,2.1346552117535526E8,0.04471375,0.656788676,0.046619085643499834,0.215914533191955,3.400630611580359,1.5811220228470393,12242.270201689293,5692.039282249341
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q16.rq,Remote SPARQL Query,69.164776169,3.0071641810000003,69.166531424,74.396198057,3.007240496,3.234617306,2.3501331503181343E9,0.275445412,6.58150929,3.445402686498093,1.8561795943545154,0.33253077076147486,0.309155583303492,1197.1107747413096,1112.9600998925714
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q17.rq,Remote SPARQL Query,28.365225959,1.233270693,28.367513728000002,32.158708642,1.233370162,1.398204723,4.9897458650656265E8,0.010794913,2.5184415589999998,0.8343751292132757,0.913441366051087,0.8107865998464134,0.7152028480166992,2918.831759447088,2574.730252860117
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q18.rq,Remote SPARQL Query,1270.52037344,55.240016236,1270.652809119,1284.695306754,55.245774309,55.856317684000004,5.25996675958833E10,11.389765914,60.108277166,153.44970394712328,12.387481743563672,0.01810093192660876,0.017903077779981354,65.16335493579153,64.45108000793287
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q19.rq,Remote SPARQL Query,1380.0028589679998,60.000124301999996,1380.0028589679998,1378.673787528,60.000124301999996,59.942338588,6.000012430294682E10,60.00010286,60.000269052,1.1952890759412507E-9,3.457295295373611E-5,0.016666632138404868,0.01668269913313313,59.99987569825752,60.05771687927926
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q20.rq,Remote SPARQL Query,8.587646882,0.373375951,8.589275141,10.631575685,0.373446745,0.46224242099999996,2.1399083307271948E8,0.012719546,0.967150163,0.08110124259913706,0.28478279898746883,2.67775797590631,2.1633670008837202,9639.928713262716,7788.121203181394
