Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour,Actual Operation Mixes per Hour
2675.18057337,891.72685779,2675.1842200799997,5142.33784644,891.72807336,1714.11261548,891.5526911854482,878.2282725929999,916.830443066,473.4965957948239,21.759976925420297,4.0371051529591595,2.100212067450363
Options Summary,
Query Endpoint,http://opoce.mondeca.com:3030/oracle/sparql
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,0
Warmups,20
Runs,5
Random Operation Order,true
Outliers,1
Timeout,60s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,5
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,821.497427639,821.501544469,0.013465851000000001,60.000210994
2,880.124546398,880.1255044210001,0.012405188000000001,60.000221945
3,878.226114573,878.2282725929999,0.05088507,60.000220384
4,916.829912399,916.830443066,0.01414836,60.000187106
5,918.965206037,918.9672973749999,0.029610588,60.000189514
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Operations per Second,Actual Operations per Second,Operations per Hour,Actual Operations per Hour
/home/mondeca/bench/cmd/queries/group1/oracle/q1.rq,Remote SPARQL Query,216.63588187899998,9.418951386,216.63588187899998,276.693817186,9.418951386,12.030165964,2.301569508314195E8,0.05055109,60.000159289,451.4288736518267,21.24685561799267,0.10616893102202067,0.08312437276364079,382.2081516792744,299.24774194910685
/home/mondeca/bench/cmd/queries/group1/oracle/q2.rq,Remote SPARQL Query,142.17579715,6.1815563970000005,142.17579715,202.27653541,6.1815563970000005,8.794631974,1.4968535292316616E8,0.050549842,60.000176073000006,306.846245819455,17.517027311146578,0.16177155651047923,0.11370572446423556,582.3776034377253,409.340608071248
/home/mondeca/bench/cmd/queries/group1/oracle/q3.rq,Remote SPARQL Query,1380.004258253,60.000185141,1380.004258253,1500.0062811700002,60.000185141,65.217664398,6.000018514142688E10,60.000140098,60.000303747,1.0015674703618115E-9,3.164755077982831E-5,0.016666615238769802,0.015333269126250198,59.99981485957128,55.19976885450071
/home/mondeca/bench/cmd/queries/group1/oracle/q4.rq,Remote SPARQL Query,22.508578151000002,0.978633832,22.508578151000002,44.644585985,0.978633832,1.941068955,3.717230793161508E7,0.013465851000000001,20.82545846,18.748954451471022,4.330006287694167,1.0218326480256,0.5151800493352385,3678.5975328921595,1854.648177606859
/home/mondeca/bench/cmd/queries/group1/oracle/q5.rq,Remote SPARQL Query,685.003300444,29.782752193,685.0057444939999,768.284963395,29.782858456000003,33.40369406,2.8094681442495434E10,23.279799212999997,60.000189424,152.62932741893036,12.354324239671321,0.033576360760581785,0.029936808731507104,120.87489873809443,107.77251143342558
/home/mondeca/bench/cmd/queries/group1/oracle/q6.rq,Remote SPARQL Query,334.119282687,14.526925334,334.12187319900005,393.26255166699997,14.527037965,17.098371811,1.3410415443926447E10,11.237156759,36.027498439000006,54.761059687595875,7.400071600166845,0.06883715747210825,0.058485100865373854,247.8137668995897,210.54636311534588
/home/mondeca/bench/cmd/queries/group1/oracle/q7.rq,Remote SPARQL Query,653.222491302,28.400977882,653.224867037,736.484984557,28.401081174999998,32.021086285,2.6858776961599926E10,23.239213898000003,60.000181254000005,137.00516307228693,11.704920464158949,0.03520992717982329,0.031229421484943228,126.75573784736385,112.42591734579563
/home/mondeca/bench/cmd/queries/group1/oracle/q8.rq,Remote SPARQL Query,684.563676524,29.763638109,684.565792684,767.700185206,29.763730115999998,33.378268922000004,2.8008370965026794E10,23.283022493,60.000176851,157.69707182295826,12.557749472853734,0.03359793937462271,0.029959612415396665,120.95258174864175,107.854604695428
/home/mondeca/bench/cmd/queries/group1/oracle/q9.rq,Remote SPARQL Query,681.010429962,29.609149128000002,681.012574716,764.2601939570001,29.609242377999998,33.228704085,2.7626246402652027E10,23.348956554,60.000187106,178.6652406675042,13.366571761955427,0.033773238343410346,0.030094462830749305,121.58365803627724,108.3400661906975
/home/mondeca/bench/cmd/queries/group1/oracle/q10.rq,Remote SPARQL Query,187.260816427,8.141774627,187.263115655,207.71878611399998,8.141874592999999,9.03125157,6.328047897687334E8,0.2363998,60.000184947,354.6874847237061,18.833148561079906,0.1228218377202411,0.11072662434980758,442.158615792868,398.6158476593073
