Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour,Actual Operation Mixes per Hour
721.249046231,240.41634874300001,721.2536003270001,5059.476567564,240.417866775,1686.492189188,240.41781491050878,240.300373124,240.641130761,0.03741946440642444,0.1934411135369739,14.973928719570306,2.1346081666309416
Options Summary,
Query Endpoint,http://opoce.mondeca.com:7200/repositories/opoceProdRdfsPlus
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,0
Warmups,20
Runs,5
Random Operation Order,true
Outliers,1
Timeout,60s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,100
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,240.287954974,240.289381673,0.005091458,60.000187446000005
2,240.31069104,240.312096442,0.006213651,60.000153332000004
3,240.29871931300002,240.300373124,0.005564123999999999,60.000177695
4,240.749264031,240.750825928,0.005920288,60.000208309
5,240.639635878,240.641130761,0.003896756,60.000147248000005
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Operations per Second,Actual Operations per Second,Operations per Hour,Actual Operations per Hour
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q1.rq,Remote SPARQL Query,1.4584684319999999,0.06341167,1.4584684319999999,1.739418412,0.06341167,0.07562688699999999,5.400371575594537E7,0.037960852,0.22937560099999998,0.002769826125261362,0.05262913760704579,15.769967893922363,13.222810559424456,56771.88441812051,47602.11801392804
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q2.rq,Remote SPARQL Query,1.239942303,0.053910533999999996,1.239942303,1.500916583,0.053910533999999996,0.06525724200000001,5.069642046651795E7,0.036081022,0.15140204,6.0576063373406E-4,0.024612204975053738,18.54925050454889,15.323969713583665,66777.301816376,55166.290968901194
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q3.rq,Remote SPARQL Query,1380.0035199239999,60.00015304,1380.0035199239999,1379.846572043,60.00015304,59.993329218999996,6.000015304016989E10,60.000110748,60.000181751,5.14719092078026E-10,2.268742145061942E-5,0.016666624155663987,0.016668519867427165,59.99984696039035,60.00667152273779
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q4.rq,Remote SPARQL Query,1380.003786009,60.000164609,1380.003786009,1442.13290285,60.000164609,62.701430558,6.000016460906755E10,60.000108085,60.000291727000004,2.4360147694360838E-9,4.93560003387236E-5,0.016666620942069887,0.01594859943546234,59.9998353914516,57.41495796766443
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q5.rq,Remote SPARQL Query,0.228628886,0.009940386,0.233069992,0.473231699,0.010133476999999998,0.020575291,1.0048212242953118E7,0.008523029,0.01532083,2.1147624592298097E-6,0.0014542222867326058,98.68281143777206,48.60198575077261,355258.12117597944,174967.14870278141
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q6.rq,Remote SPARQL Query,0.205232299,0.008923143,0.209654695,0.308597118,0.009115421,0.013417265999999999,8969780.68672264,0.006771747000000001,0.015776451,3.4137443470799888E-6,0.0018476320919165667,109.704203459171,74.53083213823145,394935.1324530156,268310.9956976332
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q7.rq,Remote SPARQL Query,0.224569076,0.009763872,0.230663805,0.287487233,0.010028860999999998,0.012499444,9858664.517863886,0.0077021730000000005,0.014283391,3.8948027470936305E-6,0.0019735254614758916,99.71222056024111,80.00355855828467,358963.994016868,288012.8108098248
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q8.rq,Remote SPARQL Query,0.24983353,0.010862327,0.258914451,0.6336939159999999,0.011257149999999999,0.027551909,1.101672265022435E7,0.008221368,0.016805911,5.979639505673406E-6,0.0024453301424702156,88.83243094388901,36.2951256843945,319796.7513980004,130662.4524638202
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q9.rq,Remote SPARQL Query,0.218689499,0.009508239,0.224256506,0.364114577,0.009750282,0.015831068,9609080.686339619,0.007723653,0.013191355,3.048089447797389E-6,0.0017458778444660408,102.5611361804715,63.16693226256118,369220.0902496974,227400.95614522026
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q10.rq,Remote SPARQL Query,1380.003719212,60.000161704,1380.003719212,1386.971236677,60.000161704,60.303097246,6.0000161704864586E10,60.000126814000005,60.000227016,6.257076740791935E-10,2.501414947742964E-5,0.016666621749009944,0.01658289616403296,59.999838296435804,59.69842619051866
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q11.rq,Remote SPARQL Query,0.13635517,0.005928485,0.14014073200000002,0.164980195,0.006093075,0.007173051,5902436.000553928,0.004171104,0.009109955,2.61406633915413E-6,0.0016168074527148028,164.1207436310894,139.41069148957675,590834.6770719219,501878.48936247634
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q12.rq,Remote SPARQL Query,1.2764542650000001,0.055498011,1.280339812,1.422602425,0.055666948,0.061852279,5.550694071057156E7,0.049689129,0.067154297,1.950174586663606E-5,0.0044160781092091265,17.963981068263344,16.167553017731166,64670.331845748035,58203.19086383219
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q13.rq,Remote SPARQL Query,0.293218809,0.012748642999999999,0.295926702,0.35492667699999997,0.012866378,0.015431594,1.274061314699416E7,0.009795552,0.016538888,3.404803645296237E-6,0.0018452110029197847,77.72195096397759,64.80211959956956,279799.02347031934,233287.63055845042
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q14.rq,Remote SPARQL Query,0.235928263,0.01025775,0.23811318499999998,0.27465650399999997,0.010352747,0.011941587,1.0253268002800547E7,0.008436220999999999,0.012911355000000001,2.1957035828246044E-6,0.001481790667680359,96.59272075324549,83.74096340796244,347733.79471168376,301467.4682686648
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q15.rq,Remote SPARQL Query,0.15896141,0.006911365,0.16110841199999998,0.206912111,0.007004713,0.008996178,6781539.087588034,0.0046442110000000005,0.012039108,3.538388124048892E-6,0.001881060372249889,142.76102389919473,111.15831634278467,513939.686037101,400169.9388340248
