Total Response Time,Average Response Time (Arithmetic),Total Runtime,Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour
720.907900627,240.302633542,720.910375787,240.303458595,240.30345789991142,240.28328294500002,240.327556851,5.015848086524253E-4,0.022396089137445972,14.981057788549471
Options Summary,
Query Endpoint,http://opoce.mondeca.com:7200/repositories/opoceProdRdfsPlus
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,0
Warmups,20
Runs,5
Random Operation Order,true
Outliers,1
Timeout,60s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,1
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,240.29869283600001,240.299535991,0.004674953000000001,60.000157824
2,250.55999004199998,250.56097478700002,0.005755736,60.000160365999996
3,240.26886392400002,240.26964537799998,0.006274908,60.000147937
4,240.326747526,240.327556851,0.004828588,60.000169327
5,240.282460265,240.28328294500002,0.005005152,60.000173395
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Queries per Second,Queries per Hour
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q1.rq,Remote SPARQL Query,1.102860342,0.047950449,1.102860342,0.047950449,4.459368842503808E7,0.032597074999999996,0.139215929,5.56170462581089E-4,0.023583266579952175,20.854862068132043,75077.50344527535
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q2.rq,Remote SPARQL Query,0.926888034,0.040299479,0.926888034,0.040299479,3.97712921499631E7,0.033826390000000005,0.059152407,5.0385812251645466E-5,0.007098296433063743,24.814216580814854,89331.17969093348
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q3.rq,Remote SPARQL Query,1380.004044158,60.000175832000004,1380.004044158,60.000175832000004,6.0000175832906555E10,60.000102876999996,60.000369061,6.261258312523853E-9,7.912811328803343E-5,0.016666617824587577,59.999824168515275
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q4.rq,Remote SPARQL Query,1380.003177327,60.000138144,1380.003177327,60.000138144,6.000013814464709E10,60.000104660999995,60.000196433999996,6.526457157543167E-10,2.5546931630908566E-5,0.016666628293421686,59.99986185631806
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q5.rq,Remote SPARQL Query,0.25405156,0.011045719999999998,0.25813554499999997,0.011223284,1.1037783719988804E7,0.00909774,0.017864646,5.051925520619618E-6,0.002247648887308607,89.10048075055394,320761.73070199415
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q6.rq,Remote SPARQL Query,0.270207801,0.011748165,0.27465329000000005,0.011941447,1.1485607168760508E7,0.008470768,0.02321869,1.3544992728624168E-5,0.0036803522560516088,83.74194517632577,301471.0026347728
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q7.rq,Remote SPARQL Query,0.25387212,0.011037917999999999,0.25787865,0.011212115,1.096124327435642E7,0.008500414,0.018878867,6.825186122881089E-6,0.0026125057172915606,89.18923860484841,321081.2589774543
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q8.rq,Remote SPARQL Query,0.269771455,0.011729193,0.273213641,0.011878853,1.1510870680785874E7,0.00881937,0.023023527000000002,1.1306560717367499E-5,0.003362522969046828,84.18321196499359,303059.5630739769
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q9.rq,Remote SPARQL Query,0.231984787,0.010086295,0.23549816,0.010239050000000001,9977978.299004614,0.007704145999999999,0.015708981,6.221364004804251E-6,0.002494266225727368,97.66531074660246,351595.1186877688
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q10.rq,Remote SPARQL Query,1380.003360622,60.000146114,1380.003360622,60.000146114,6.000014611399911E10,60.000123896999995,60.000175984,1.5274078136843735E-10,1.2358834142767568E-5,0.016666626079543282,59.999853886355815
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q11.rq,Remote SPARQL Query,0.15281782100000002,0.006644253,0.15539272099999998,0.0067562049999999995,6577739.073005094,0.00459949,0.012712008,2.992142908415383E-6,0.0017297811735636922,148.01208666699725,532843.5120011901
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q12.rq,Remote SPARQL Query,1.1236437510000001,0.048854075999999996,1.1258767,0.04895116,4.770146347515166E7,0.027896947000000002,0.085193291,1.312769825241169E-4,0.011457616790769225,20.42852508500309,73542.69030601114
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q13.rq,Remote SPARQL Query,0.308117666,0.013396420000000001,0.309504956,0.013456737,1.3195712602351172E7,0.010275131,0.020697147000000003,7.986176583836357E-6,0.002825982410390474,74.31221996833258,267523.99188599735
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q14.rq,Remote SPARQL Query,0.245469387,0.010672582,0.246668363,0.010724711,1.041766629773358E7,0.007422626,0.01872716,8.144383947571809E-6,0.0028538367065359237,93.24260579142879,335673.38084914366
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q15.rq,Remote SPARQL Query,0.221103089,0.009613177,0.222432085,0.00967096,7649522.94582114,0.00476814,0.065002446,1.487658001522989E-4,0.012196958643543023,103.40235095585135,372248.4634410648
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q16.rq,Remote SPARQL Query,0.20235852,0.008798196000000001,0.203848486,0.008862977000000001,8659291.922661783,0.006488825,0.014879237,4.21044297010269E-6,0.002051936395238091,112.82890613390963,406184.06208207464
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q17.rq,Remote SPARQL Query,0.411903437,0.017908845,0.41453105599999995,0.018023089,1.686334143741318E7,0.012595393,0.05898821,8.79494118765625E-5,0.009378134775986242,55.48438450256779,199743.78420924404
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q18.rq,Remote SPARQL Query,1.61408269,0.070177508,1.6154732429999998,0.070237967,7.019898471926528E7,0.066616461,0.074672004,5.737375424427811E-6,0.0023952819091764147,14.237314129550475,51254.330866381715
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q19.rq,Remote SPARQL Query,1380.003472047,60.000150958,1380.003472047,60.000150958,6.000015095856316E10,60.000119811999994,60.000191799,3.1031455427733755E-10,1.7615747338030754E-5,0.01666662473399439,59.99984904237981
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q20.rq,Remote SPARQL Query,0.194990678,0.008477855,0.196216666,0.008531159,8307377.742053326,0.005882386999999999,0.012524208,4.315836836260885E-6,0.0020774592261367936,117.21736753470425,421982.52312493534
