Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour,Actual Operation Mixes per Hour
721.494049916,240.498016638,721.499044937,5066.684632978,240.499681645,1688.894877659,240.49959690414144,240.317475267,240.781212564,0.06116209329221298,0.2473097112776063,14.968834783382109,2.1315713888539993
Options Summary,
Query Endpoint,http://opoce.mondeca.com:7200/repositories/opoceProd
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,0
Warmups,20
Runs,5
Random Operation Order,true
Outliers,1
Timeout,60s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,5
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,240.39868442,240.400357106,0.004141043,60.001025125
2,240.315820431,240.317475267,0.006172478,60.000609177
3,240.29087453199998,240.292538262,0.005257259,60.000513745
4,240.841392492,240.84299867000001,0.005520327,60.000591942999996
5,240.779545065,240.781212564,0.005426398,60.000833075
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Operations per Second,Actual Operations per Second,Operations per Hour,Actual Operations per Hour
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q1.rq,Remote SPARQL Query,0.8018230439999999,0.034861871,0.8018230439999999,0.814202691,0.034861871,0.035400117,3.366597902811936E7,0.020179032,0.051438564,8.438614369724737E-5,0.009186193101456519,28.684633707697444,28.248494206954174,103264.6813477108,101694.57914503502
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q2.rq,Remote SPARQL Query,0.784764133,0.034120179,0.784764133,0.946923594,0.034120179,0.041170591,3.313919218088837E7,0.02369297,0.058768357,7.893254308764087E-5,0.008884398859103571,29.308169807667188,24.289182538088898,105509.41130760187,87441.05713712003
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q3.rq,Remote SPARQL Query,1380.006332336,60.000275318,1380.006332336,1327.536966733,60.000275318,57.718998553,6.000027531893934E10,60.000209604999995,60.000390914,2.161045926249097E-9,4.6487051167492834E-5,0.01666659018979537,0.017325317920784056,59.99972468326333,62.37114451482261
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q4.rq,Remote SPARQL Query,1380.00682263,60.000296636,1380.00682263,1386.535122902,60.000296636,60.28413577800001,6.0000296635999374E10,60.000216462999994,60.000591942999996,1.0964653625811079E-8,1.0471224200546505E-4,0.01666658426818515,0.016588112064549798,59.99970336546654,59.71720343237927
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q5.rq,Remote SPARQL Query,0.306163523,0.013311457,0.311477132,0.375435921,0.013542484,0.0163233,1.322273214532091E7,0.009635028,0.020448426000000002,9.698468222282544E-6,0.0031142363786781737,73.84169698852884,61.26212224243873,265830.1091587038,220543.6400727794
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q6.rq,Remote SPARQL Query,0.268801324,0.011687013999999999,0.273828996,0.337525458,0.011905608000000002,0.014675019000000001,1.1567055950452974E7,0.008058033999999999,0.018322107,9.13298731006217E-6,0.0030220832731846043,83.99403037627309,68.14301228502669,302378.5093545831,245314.84422609606
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q7.rq,Remote SPARQL Query,0.273761498,0.011902673,0.280032968,0.424572907,0.012175346,0.018459691,1.1809231671116075E7,0.008680512999999999,0.021015253999999997,1.1405303857441799E-5,0.0033771739453930705,82.13318947978973,54.17208771262747,295679.482127243,195019.5157654589
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q8.rq,Remote SPARQL Query,0.300807196,0.013078573,0.306107081,0.36968593800000005,0.013309003,0.016073301,1.3089896475661535E7,0.009951211000000001,0.01971566,6.426346239400534E-6,0.0025350239129839653,75.13710831682884,62.21497376301233,270493.58994058386,223973.9055468444
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q9.rq,Remote SPARQL Query,0.257830508,0.011210022,0.26304004099999995,0.615667264,0.011436522999999999,0.026768141,1.1145190446819615E7,0.00831416,0.021355595,8.60797633108644E-6,0.002933935297699396,87.43916310927719,37.35784266826748,314780.9871933979,134488.2336057629
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q10.rq,Remote SPARQL Query,1380.006228985,60.000270825,1380.006228985,1382.6370174370002,60.000270825,60.114652932,6.0000270825419975E10,60.000205484999995,60.000362011,1.8794947903682394E-9,4.335314049026021E-5,0.016666591437839565,0.016634879371775994,59.99972917622243,59.885565738393574
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q11.rq,Remote SPARQL Query,0.155877074,0.006777264,0.160057979,0.6221986389999999,0.006959042,0.027052114,6765008.618939604,0.004564203,0.01262008,3.263548634855258E-6,0.0018065294447794805,143.69794003255046,36.96568778321724,517312.5841171816,133076.47601958207
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q12.rq,Remote SPARQL Query,1.523206206,0.066226356,1.527104045,5.3766301709999995,0.06639582799999999,0.233766529,6.555513171732948E7,0.050275021,0.097529415,1.2426999099397168E-4,0.011147645087370324,15.061187278212724,4.277772375188922,54220.27420156581,15399.980550680119
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q13.rq,Remote SPARQL Query,0.347371537,0.01510311,0.349917234,0.457411958,0.015213792,0.019887476,1.4951309547723496E7,0.010867302,0.020560229,8.59155802349245E-6,0.002931135961277206,65.72983250987,50.28290166132695,236627.39703553196,181018.44598077703
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q14.rq,Remote SPARQL Query,0.430259102,0.018706917,0.432675531,4.769141633,0.018811979,0.207353984,1.5419785026128668E7,0.010647387,0.082592387,3.1654939734844045E-4,0.017791835131555165,53.157618345204405,4.822670781189331,191367.42604273587,17361.61481228159
