Total Response Time,Average Response Time (Arithmetic),Total Runtime,Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour
549.45003283,183.150010943,549.457960215,183.152653405,182.8213695544121,171.521184716,198.099444089,184.84448777251365,13.595752563669054,19.65573489148108
Options Summary,
Query Endpoint,http://opoce1.mondeca.com:8000/v1/graphs/sparql?database=opoceProd
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,0
Warmups,20
Runs,5
Random Operation Order,true
Outliers,1
Timeout,60s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,1
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,179.835148742,179.83733141000002,0.006151551000000001,60.00009163
2,217.61137755500002,217.613982161,0.014409553,60.000099849
3,171.518121481,171.521184716,0.0074308379999999995,60.000205805
4,171.129401001,171.132227651,0.006101397000000001,60.000098566
5,198.09676260700002,198.099444089,0.005498187,60.000098834999996
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Queries per Second,Queries per Hour
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q1.rq,Remote SPARQL Query,3.831812284,0.16660053400000002,3.831812284,0.16660053400000002,1.5910497206304976E8,0.090741792,0.263534981,0.0025983357259248365,0.05097387297356202,6.002381721057388,21608.574195806596
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q2.rq,Remote SPARQL Query,4.6349180059999995,0.201518174,4.6349180059999995,0.201518174,1.8302095629537666E8,0.07858290200000001,0.46298484500000003,0.008611825850344177,0.09279992376259895,4.9623315860335255,17864.393709720694
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q3.rq,Remote SPARQL Query,5.577275653,0.242490245,5.577275653,0.242490245,2.2084736722728175E8,0.086674741,0.39261343699999995,0.009902329152698447,0.09951044745502076,4.123877230607771,14845.958030187978
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q4.rq,Remote SPARQL Query,1.657532212,0.072066617,1.657532212,0.072066617,5.529467542278773E7,0.008521229,0.144501576,0.0015645583755639853,0.039554498803094265,13.876050266103098,49953.780957971154
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q5.rq,Remote SPARQL Query,109.328807986,4.753426434,109.33030885800001,4.7534916890000005,7.130899288287867E8,0.010679869,42.623217652,120.04777969161553,10.956631767638061,0.21037167316692448,757.3380234009281
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q6.rq,Remote SPARQL Query,11.618930125,0.505170875,11.620204013,0.505226261,2.2383660220102152E8,0.0072746880000000005,1.1587942900000001,0.14356739693510895,0.3789028858891273,1.9793112060736684,7125.520341865206
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q7.rq,Remote SPARQL Query,70.40489560600001,3.061082417,70.40620775000001,3.061139467,6.674187888740165E8,0.011096980000000001,49.12900452,101.45654372506152,10.072563910199902,0.32667573979568704,1176.0326632644733
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q8.rq,Remote SPARQL Query,106.268608503,4.620374281999999,106.270801224,4.6204696180000004,4.950831607296601E8,0.006261617000000001,59.12031982,159.6736362917567,12.63620339705549,0.21642821675621282,779.1415803223662
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q9.rq,Remote SPARQL Query,68.419748633,2.974771679,68.42109216,2.974830093,4.305005641672052E8,0.005785475,21.336252511999998,33.53790850178961,5.791192321257308,0.3361536520532973,1210.15314739187
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q10.rq,Remote SPARQL Query,1378.625178047,59.940225132,1378.625178047,59.940225132,5.994003101201458E10,59.437552342000004,60.000148802000005,0.024231420322927622,0.15566444784512493,0.016683287354990844,60.05983447796704
