Total Response Time,Average Response Time (Arithmetic),Total Runtime,Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour
759.010868409,253.003622803,759.013536936,253.004512312,252.95680666526587,246.133640135,257.138871182,35.89515640900424,5.991256663589387,14.228995234521957
Options Summary,
Query Endpoint,http://opoce.mondeca.com:5820/opoceProd/query
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,0
Warmups,20
Runs,5
Random Operation Order,true
Outliers,1
Timeout,60s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,1
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,255.74012093899998,255.741025619,0.006489311,60.000156794000006
2,241.60085688100003,241.601946734,0.008361687999999999,60.000277122
3,257.137989763,257.138871182,0.006887519,60.000145399000004
4,270.39421918,270.395137165,0.006793052999999999,60.000592979000004
5,246.13275770700002,246.133640135,0.008578971,60.000140294
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Queries per Second,Queries per Hour
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q1.rq,Remote SPARQL Query,1.605402255,0.069800098,1.605402255,0.069800098,4.245002258515759E7,0.020641816,0.553627715,0.012738873619359077,0.11286661871146436,14.326627449720771,51575.85881899478
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q2.rq,Remote SPARQL Query,5.832329167,0.253579529,5.832329167,0.253579529,4.264933245290703E7,0.019314512,4.876402322,1.0171823299682796,1.0085545746107543,3.943535994185082,14196.729579066296
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q3.rq,Remote SPARQL Query,1380.0043857179999,60.000190683,1380.0043857179999,60.000190683,6.000019068330518E10,60.000125687,60.000592979000004,1.0807899759077376E-8,1.0396104923997919E-4,0.016666613699335,59.999809317606
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q4.rq,Remote SPARQL Query,6.969488905,0.303021256,6.969488905,0.303021256,3.6412782691602916E7,0.012986735,4.898569762,1.0682311473274355,1.0335526824150936,3.3000985251014865,11880.354690365351
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q5.rq,Remote SPARQL Query,20.71832008,0.900796525,20.722118455,0.900961671,2.896277148442129E8,0.136489913,13.020616976,7.201843324358719,2.6836250342323758,1.1099251302112274,3995.7304687604183
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q6.rq,Remote SPARQL Query,3.04879774,0.132556423,3.0542727650000003,0.132794468,2.5249362180347595E7,0.008361687999999999,1.964508976,0.17435600615196878,0.4175595839541571,7.530434174411543,27109.56302788155
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q7.rq,Remote SPARQL Query,5.3440288350000005,0.232349079,5.347626948,0.232505519,2.276236548681061E7,0.008792352,4.786334881,0.9865722978327425,0.9932634584201426,4.300973173888401,15483.503425998246
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q8.rq,Remote SPARQL Query,32.307383199,1.404668834,32.311723466,1.404857542,3.0700399595818114E8,0.12883949,13.032075825,11.474741030890513,3.3874387124921554,0.7118159458192238,2562.5374049492057
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q9.rq,Remote SPARQL Query,11.668075283,0.5073076209999999,11.672420687,0.507496551,3.330290310674938E7,0.009555013000000001,10.039757843,4.349650777260438,2.085581640037243,1.9704567410941871,7093.644267939074
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q10.rq,Remote SPARQL Query,1380.003330475,60.000144803000005,1380.003330475,60.000144803000005,6.00001448032586E10,60.000119421,60.000181643999994,2.9112562726743974E-10,1.7062403912328402E-5,0.01666662644370818,59.99985519734946
