Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour,Actual Operation Mixes per Hour
966.994405217,322.331468405,966.999490164,5528.447082314001,322.333163388,1842.815694104,322.20977311051155,311.408053915,333.25018039400004,119.26967139717485,10.92106548818268,11.168568453090243,1.9535323101046007
Options Summary,
Query Endpoint,http://opoce.mondeca.com:5820/opoceProd/query
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,0
Warmups,20
Runs,5
Random Operation Order,true
Outliers,1
Timeout,60s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,100
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,309.655163142,309.656835125,0.006901063,60.000180224999994
2,311.406444995,311.408053915,0.007002612,60.000252855999996
3,322.33971012,322.341255855,0.007136055,60.000161728
4,333.24825010200004,333.25018039400004,0.006866283,60.000284093000005
5,364.56710934800003,364.568898667,0.005466276,60.00019445
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Operations per Second,Actual Operations per Second,Operations per Hour,Actual Operations per Hour
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q1.rq,Remote SPARQL Query,5.201399897,0.226147821,5.201399897,15.401993627,0.226147821,0.669651896,3.912812448695178E7,0.018225021,3.288645304,0.510302292732284,0.7143544587473951,4.421886514661576,1.4933131765522547,15918.791452781674,5375.927435588116
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q2.rq,Remote SPARQL Query,8.008594683,0.348199768,8.008594683,15.60126249,0.348199768,0.6783157599999999,4.603236896194078E7,0.015937852,5.507427977,1.3563482295073659,1.1646236428595145,2.8719146073641264,1.4742396667888125,10338.892586510856,5307.262800439725
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q3.rq,Remote SPARQL Query,1380.004059684,60.000176507999996,1380.004059684,1462.29430629,60.000176507999996,63.578013315999996,6.0000176507987946E10,60.000127341,60.000284093000005,1.4858716247153196E-9,3.854700539231705E-5,0.016666617636810904,0.015728707895129222,59.999823492519255,56.6233484224652
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q4.rq,Remote SPARQL Query,14.967349923,0.650754344,14.967349923,29.993509569999997,0.650754344,1.304065633,7.126376137460303E7,0.008989373,4.223784332,1.7262144255646177,1.3138547962254494,1.5366781785170842,0.766832569384949,5532.041442661503,2760.5972497858165
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q5.rq,Remote SPARQL Query,5.8176620560000005,0.252941828,5.8234242290000005,16.023976791,0.253192357,0.6966946430000001,1.9814390218796706E8,0.14330806899999998,1.720767833,0.10685226441950792,0.32688264625016106,3.9495662975324333,1.4353490586549549,14218.43867111676,5167.256611157838
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q6.rq,Remote SPARQL Query,2.561870901,0.111385691,2.567451298,3.6210921010000003,0.11162831699999999,0.157438787,2.06120800462114E7,0.006866283,0.970366901,0.06863635044553808,0.2619854012068956,8.958300428376074,6.351674952881846,32249.881542153864,22866.029830374646
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q7.rq,Remote SPARQL Query,16.401263679,0.71309842,16.407491597,22.440131406,0.713369199,0.975657887,2.9011587239622053E7,0.007991727,5.632074766,2.7657014744842376,1.6630398294942421,1.4017986778820823,1.0249494349652093,5046.4752403754965,3689.8179658747536
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q8.rq,Remote SPARQL Query,30.686255958,1.334185041,30.691994434,44.233129822,1.33443454,1.9231795569999999,4.2431894357257223E8,0.154993899,11.617858188,7.214284105162583,2.6859419400207782,0.7493810824171263,0.5199722492682466,2697.771896701655,1871.9000973656878
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q9.rq,Remote SPARQL Query,10.863588162,0.47232992,10.869202774,16.010700356,0.472574033,0.6961174059999999,2.694369755330309E7,0.007110071999999999,4.088758253,1.2843473537487677,1.1332904983934031,2.116070562852953,1.4365392840069282,7617.854026270631,5171.541422424942
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q10.rq,Remote SPARQL Query,1380.0039169240001,60.000170301,1380.0039169240001,1460.394135487,60.000170301,63.495397194999995,6.000017030101506E10,60.000134986999996,60.000429513,3.5834864646304648E-9,5.98622290315894E-5,0.016666619360967604,0.0157491730767336,59.99982969948338,56.69702307624095
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q11.rq,Remote SPARQL Query,2.201988927,0.095738649,2.207169339,3.9613743770000003,0.095963884,0.172233668,1.0564027616786644E7,0.004894903,1.176391106,0.08883429951856478,0.29805083378270353,10.420586978326138,5.806065745519628,37514.11312197409,20901.836683870657
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q12.rq,Remote SPARQL Query,1243.70311257,54.074048372,1243.7056734579999,1252.311714648,54.074159715,54.448335419,5.37153982637964E10,43.011029753,60.000200396,39.177448711258364,6.2591891416746925,0.0184931213960705,0.018366034375608208,66.5752370258538,66.11772375218955
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q13.rq,Remote SPARQL Query,22.013498047000002,0.95710861,22.016057112,38.331507206000005,0.957219874,1.666587269,4.827724216634672E7,0.009443638,11.179894363999999,6.034574215950513,2.456537037365916,1.0446920578667385,0.6000285845217266,3760.891408320258,2160.1029042782156
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q14.rq,Remote SPARQL Query,173.447970301,7.5412161,173.45083303,203.795922687,7.541340566,8.860692290000001,5.867702525744867E9,2.505827247,35.814686818,62.14997911969976,7.883525805101406,0.13260241879387893,0.11285799881896134,477.3687076579642,406.28879574826084
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q15.rq,Remote SPARQL Query,347.895238668,15.125879942,347.898762906,314.58667436900004,15.126033169,13.677681494,8.80784596347404E9,2.854310329,59.131843841,320.20425295078127,17.894251952813825,0.06611118651051531,0.07311180629836064,238.00027143785513,263.2025026740983
