Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour,Actual Operation Mixes per Hour
3.310618893,1.103539631,3.32900454,29.050971105000002,1.10966818,9.683657035,1.1095800953477002,1.090762304,1.124022515,2.92097803047141E-4,0.017090868996254723,3244.21305835768,371.7603780254079
Options Summary,
Query Endpoint,http://opoce.mondeca.com:8890/sparql
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,2
Warmups,20
Runs,5
Random Operation Order,true
Outliers,1
Timeout,60s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,50
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,1.117866733,1.124022515,0.003652123,0.29699659300000003
2,1.079156451,1.084956951,0.003311855,0.277336902
3,1.1593891369999998,1.165850507,0.003889966,0.28397177599999995
4,1.1082673090000001,1.114219721,0.003272376,0.277393642
5,1.084484851,1.090762304,0.004526194,0.276025206
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Operations per Second,Actual Operations per Second,Operations per Hour,Actual Operations per Hour
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q1.rq,Remote SPARQL Query,0.566102135,0.024613136,0.566102135,0.680356046,0.024613136,0.029580697,2.395412977115049E7,0.019187286,0.042788277,4.2714462954421155E-5,0.00653563026451322,40.62871143278939,33.80582952457138,146263.36115804178,121700.98628845696
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q2.rq,Remote SPARQL Query,0.548596158,0.023852006,0.548596158,0.645667162,0.023852006,0.028072485,2.3499868117921714E7,0.017044761000000002,0.03881897,2.0551133314509836E-5,0.004533335782236943,41.925194887172175,35.622069082947235,150930.70159381983,128239.44869861004
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q3.rq,Remote SPARQL Query,0.594319631,0.025839983,0.594319631,0.804701631,0.025839983,0.034987027,2.5529107200931042E7,0.020861729,0.041879413,2.020710473135213E-5,0.004495231332351221,38.69971586281616,28.58202270230049,139318.9771061382,102895.28172828176
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q4.rq,Remote SPARQL Query,0.225667078,0.009811612,0.225667078,0.310533901,0.009811612,0.013501473,9736145.143226733,0.00840287,0.014863388,1.8358185433823552E-6,0.00135492381460448,101.92005146554918,74.06599265132034,366912.18527597707,266637.57354475325
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q5.rq,Remote SPARQL Query,2.19954093,0.09563221400000001,2.20253009,2.349393138,0.09576217699999999,0.102147527,9.561611042335023E7,0.09018109699999999,0.111853699,3.0791870337425234E-5,0.00554904229010964,10.442536200905291,9.789762213234981,37593.13032325905,35243.143967645934
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q6.rq,Remote SPARQL Query,6.421980509,0.279216543,6.4244588469999995,6.987929815999999,0.279324297,0.303823035,2.792492745289776E8,0.265847245,0.29323737699999997,4.388478242024505E-5,0.006624559035909112,3.580068081223883,3.291389673597329,12888.24509240598,11849.002824950385
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q7.rq,Remote SPARQL Query,1.511074448,0.065698889,1.513353073,1.67182766,0.065797959,0.072688159,6.568449178201507E7,0.059496432,0.074555464,1.599327013895323E-5,0.003999158678891504,15.198039805459619,13.757398918302497,54712.943299654624,49526.63610588899
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q8.rq,Remote SPARQL Query,2.312093118,0.10052578699999999,2.314468922,2.81865194,0.100629083,0.122550084,1.0049367335288687E8,0.092399492,0.110177564,2.885292456120293E-5,0.0053714918375813376,9.937484971417259,8.159929127425158,35774.94589710214,29375.744858730573
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q9.rq,Remote SPARQL Query,1.213299283,0.052752142,1.213299283,1.523301359,0.052752142,0.066230493,5.26030920077179E7,0.049872055000000005,0.063558435,1.7716719576739287E-5,0.004209123373903323,18.956576208791674,15.098785388778548,68243.67435165003,54355.627399602774
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q10.rq,Remote SPARQL Query,2.7739275080000003,0.120605543,2.7739275080000003,3.043884682,0.120605543,0.132342812,1.2044716584546973E8,0.10117304199999999,0.130942797,3.8273016744959515E-5,0.006186518952121582,8.291492871102948,7.556133838232181,29849.374335970613,27202.08181763585
