Total Response Time,Average Response Time (Arithmetic),Total Runtime,Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour
3.309864893,1.103288297,3.326330379,1.108776793,1.108741087842654,1.096489426,1.1171937490000001,1.18402308703773E-4,0.010881282493519457,3246.8212021822137
Options Summary,
Query Endpoint,http://opoce.mondeca.com:8890/sparql
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,0
Warmups,20
Runs,5
Random Operation Order,true
Outliers,1
Timeout,60s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,1
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,1.141854719,1.14733076,0.0035374340000000003,0.285217598
2,1.107094797,1.1126472040000002,0.0033153320000000003,0.277600018
3,1.111515,1.1171937490000001,0.003848179,0.27514122300000005
4,1.0910834420000002,1.0963118,0.0034729899999999996,0.27746603599999997
5,1.091255096,1.096489426,0.003535766,0.275494925
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Queries per Second,Queries per Hour
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q1.rq,Remote SPARQL Query,0.504529876,0.021936081000000003,0.504529876,0.021936081000000003,2.180274679463122E7,0.018889532,0.028415635999999998,6.589508390104169E-6,0.0025670037767997478,45.58699432227661,164113.1795601958
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q2.rq,Remote SPARQL Query,0.532884714,0.0231689,0.532884714,0.0231689,2.2911427860933933E7,0.019234228000000003,0.032780275000000005,1.3962422819386882E-5,0.0037366325507583536,43.16130675172322,155380.70430620358
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q3.rq,Remote SPARQL Query,0.5819953339999999,0.025304144,0.5819953339999999,0.025304144,2.4991601689930428E7,0.021347768,0.037367458,1.8668458783844782E-5,0.004320701191224033,39.51921867026998,142269.1872129719
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q4.rq,Remote SPARQL Query,0.22355775,0.009719901999999999,0.22355775,0.009719901999999999,9641612.823255092,0.008066933,0.013196177,1.7701116118500601E-6,0.0013304554152056582,102.8816957208005,370374.10459488176
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q5.rq,Remote SPARQL Query,2.210239907,0.09609738699999999,2.211456937,0.096150301,9.606268837680915E7,0.091285425,0.10696805399999999,1.8115181309098698E-5,0.004256193288503084,10.400383457977943,37441.38044872059
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q6.rq,Remote SPARQL Query,6.5398256009999995,0.284340243,6.541118851,0.28439647100000004,2.842084222716794E8,0.27514122300000005,0.32295579300000005,1.178339801405837E-4,0.010855136118012693,3.516218033521238,12658.384920676457
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q7.rq,Remote SPARQL Query,1.469366344,0.063885493,1.470519332,0.063935623,6.367334781630289E7,0.045882503,0.07415832,3.259796513648027E-5,0.005709462771266685,15.6407328665586,56306.63831961097
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q8.rq,Remote SPARQL Query,2.327374676,0.10119020299999999,2.328627448,0.101244671,1.011880903699321E8,0.09660257300000001,0.10746359200000001,1.2096399513117705E-5,0.00347798785407852,9.877063060435052,35557.42701756619
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q9.rq,Remote SPARQL Query,1.197189012,0.052051696,1.197189012,0.052051696,5.194257563959775E7,0.047263907,0.061802717,1.272153438196788E-5,0.0035667260032090885,19.211669875271692,69162.01155097809
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q10.rq,Remote SPARQL Query,2.778238536,0.12079297900000001,2.778238536,0.12079297900000001,1.2068111090136336E8,0.105908384,0.130513696,2.7506101387986342E-5,0.005244625953105363,8.27862685628442,29803.056682623912
