Total Response Time,Average Response Time (Arithmetic),Total Runtime,Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour
4471.597097746,1490.532365915,4476.777582375999,1492.259194125,1491.2110141236644,1413.907490908,1533.5774377540001,4608.8318913601715,67.88837817594535,2.412449535692687
Options Summary,
Query Endpoint,http://opoce.mondeca.com:3030/oracle/sparql
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,0
Warmups,20
Runs,5
Random Operation Order,true
Outliers,1
Timeout,600s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,1
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,1531.798593861,1533.5774377540001,0.061140173,600.000517599
2,1623.949331732,1625.7082805329999,0.037480159,600.000185548
3,1412.136390366,1413.907490908,0.035613778000000006,600.0001754440001
4,1527.6621135189998,1529.292653714,0.046834847000000006,600.000166284
5,1386.0297881879999,1387.669521225,0.035872684999999994,600.000218197
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Queries per Second,Queries per Hour
/home/mondeca/bench/cmd/queries/group2/oracle/q1.rq,Remote SPARQL Query,97.543408978,4.241017780999999,97.61609822099999,4.244178183,3.8711716522522135E9,3.096077996,17.965184214,9.019227874139121,3.0032029358901338,0.23561687490065494,848.2207496423579
/home/mondeca/bench/cmd/queries/group2/oracle/q2.rq,Remote SPARQL Query,670.1359304380001,29.136344801,670.13852748,29.136457716000002,5.925575208866093E9,3.520501429,519.936783265,11546.43020599714,107.45431683276917,0.03432126203354019,123.55654332074468
/home/mondeca/bench/cmd/queries/group2/oracle/q3.rq,Remote SPARQL Query,13578.668791091,590.37690396,13578.693149674,590.377963029,5.88113900486371E11,378.68904385900004,600.00036558,2129.5053005978793,46.146563258794025,0.001693830160714991,6.097788578573968
/home/mondeca/bench/cmd/queries/group2/oracle/q4.rq,Remote SPARQL Query,2.0854897599999997,0.09067346700000001,2.0854897599999997,0.09067346700000001,7.208943186577968E7,0.032659046,0.333419695,0.005346509119583133,0.0731198271304243,11.02858458031609,39702.90448913793
/home/mondeca/bench/cmd/queries/group2/oracle/q5.rq,Remote SPARQL Query,915.091158314,39.7865721,915.111176658,39.787442463,3.978209169827069E10,38.809530675000005,41.726558173,0.45039435627090085,0.6711142646903737,0.02513355818057272,90.4808094500618
/home/mondeca/bench/cmd/queries/group2/oracle/q6.rq,Remote SPARQL Query,6.357872043,0.276429219,6.357872043,0.276429219,1.836716392280563E8,0.062640472,1.092704098,0.07862666301958351,0.2804044632661604,3.617562584800415,13023.225305281494
/home/mondeca/bench/cmd/queries/group2/oracle/q7.rq,Remote SPARQL Query,12.075189343,0.525008232,12.076372768999999,0.525059685,2.7509165563262284E8,0.13768895,2.5372437100000003,0.6251337969221504,0.790654031117372,1.9045453851594034,6856.363386573852
/home/mondeca/bench/cmd/queries/group2/oracle/q8.rq,Remote SPARQL Query,327.186091928,14.225482257,327.199932574,14.226084024,1.4041430511638163E10,10.786708572,20.715085104,5.660664377828504,2.379215075992186,0.07029341302307494,253.0562868830698
/home/mondeca/bench/cmd/queries/group2/oracle/q9.rq,Remote SPARQL Query,10.655685233,0.463290662,10.660732249999999,0.46351009699999995,3.319404692703679E8,0.167939346,1.854505854,0.2192530030370124,0.46824459744562175,2.1574503046909896,7766.821096887562
/home/mondeca/bench/cmd/queries/group2/oracle/q10.rq,Remote SPARQL Query,13800.00562874,600.000244727,13800.00562874,600.000244727,6.00000244727815E11,600.0001449580001,600.0004829430001,1.10497409314073E-8,1.051177479372884E-4,0.0016666659868697217,5.999997552730998
/home/mondeca/bench/cmd/queries/group2/oracle/q11.rq,Remote SPARQL Query,55.684715729000004,2.421074596,55.685981684,2.421129638,2.0501665987051365E9,1.117279021,7.944488584,3.2514860406315607,1.80318774414412,0.41303034100481323,1486.9092276173276
/home/mondeca/bench/cmd/queries/group2/oracle/q12.rq,Remote SPARQL Query,1869.807559767,81.295980859,1908.0312000909998,82.957878264,7.881187055763382E10,70.58695625099999,244.009868474,1400.9460322300715,37.42921362024684,0.012054310222564542,43.39551680123235
/home/mondeca/bench/cmd/queries/group2/oracle/q13.rq,Remote SPARQL Query,1959.412222888,85.191835777,1959.434373113,85.19279883099999,4.4219343452483505E10,14.612037952000001,500.994840744,13399.240443069668,115.75508819516172,0.011738081313465659,42.25709272847637
/home/mondeca/bench/cmd/queries/group2/oracle/q14.rq,Remote SPARQL Query,4745.060618211999,206.3069834,4745.100992343,206.308738797,1.5047408708219913E11,50.099759061,600.000207208,32218.06341331139,179.49390912594052,0.004847104421417467,17.44957591710288
/home/mondeca/bench/cmd/queries/group2/oracle/q15.rq,Remote SPARQL Query,85.79034047399999,3.730014803,86.16183896300001,3.746166911,3.647733460415191E9,3.0842944510000003,7.093903891,0.9793546089268204,0.9896234682579129,0.26693952078420885,960.9822748231519
/home/mondeca/bench/cmd/queries/group2/oracle/q16.rq,Remote SPARQL Query,2.2828049679999998,0.099252389,2.284088493,0.099308195,6.906954667211106E7,0.028834454000000002,0.5763176919999999,0.014622999263299642,0.12092559391336327,10.06966242816114,36250.78474138011
/home/mondeca/bench/cmd/queries/group2/oracle/q17.rq,Remote SPARQL Query,1.3796365430000002,0.059984197,1.3810152519999999,0.060044141,5.077013766325204E7,0.028857476,0.22690765799999998,0.002059854146292998,0.045385616072639114,16.654414291645875,59955.89144992515
/home/mondeca/bench/cmd/queries/group2/oracle/q18.rq,Remote SPARQL Query,67.495771628,2.934598766,67.511242702,2.935271421,2.3450368897553625E9,1.626818045,7.760368254,5.655878043896347,2.3782089992043063,0.3406839970047186,1226.4623892169868
/home/mondeca/bench/cmd/queries/group2/oracle/q19.rq,Remote SPARQL Query,14.478708188,0.629509051,14.480006900000001,0.629565517,6.166294519737047E8,0.541540543,1.18390478,0.022898144751942833,0.15132132946793336,1.5883970341406104,5718.229322906198
/home/mondeca/bench/cmd/queries/group2/oracle/q20.rq,Remote SPARQL Query,13.924649393,0.605419538,13.925884709,0.605473248,5.983450706840416E8,0.533800559,1.007909755,0.011503738100434629,0.10725548051467873,1.651600633559288,5945.762280813437
/home/mondeca/bench/cmd/queries/group2/oracle/q21.rq,Remote SPARQL Query,22.620679786,0.983507816,22.621971039,0.983563958,8.800785391881497E8,0.687340744,3.266149113,0.38118918543855573,0.6174052036050196,1.0167106997631568,3660.158519147364
/home/mondeca/bench/cmd/queries/group2/oracle/q22.rq,Remote SPARQL Query,16.184751956,0.7036848670000001,16.186016379999998,0.703739842,7.012214457977405E8,0.6271344520000001,0.888608555,0.004075829038267072,0.0638422198726444,1.4209796579912837,5115.526768768622
/home/mondeca/bench/cmd/queries/group2/oracle/q23.rq,Remote SPARQL Query,15.839878704,0.688690378,15.841263364,0.688750581,6.880712505730757E8,0.650459059,0.782345607,0.001015485205141601,0.03186667860228927,1.4519044013699351,5226.855844931767
/home/mondeca/bench/cmd/queries/group2/oracle/q24.rq,Remote SPARQL Query,30.784126776,1.338440294,30.787185572,1.3385732849999998,1.337580781466025E9,1.2783579299999999,1.456631615,0.0028407719708423095,0.05329889277313657,0.747064065304426,2689.4306350959337
