Total Response Time,Average Response Time (Arithmetic),Total Runtime,Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour
383.911829755,127.97060991800001,404.918992363,134.972997454,134.9334322934868,130.399750283,137.657425423,15.844190594715261,3.980476176880759,26.67200156999486
Options Summary,
Query Endpoint,http://opoce.mondeca.com:7200/repositories/opoceProdRdfsPlus
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,0
Warmups,20
Runs,5
Random Operation Order,true
Outliers,1
Timeout,600s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,1
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,130.589463448,137.657425423,0.005419568,46.168997604999994
2,123.584624146,130.399750283,0.0052992280000000004,46.941182337
3,123.020609975,129.957054565,0.005372005,46.134220896
4,129.737742161,136.861816657,0.005556758,48.449089715
5,132.752148759,139.91513938499997,0.007067423,46.123733719
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Queries per Second,Queries per Hour
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group2/q1.rq,Remote SPARQL Query,168.301029314,7.317436057,168.302825837,7.317514166,7.304700927227859E9,6.830629709,8.907421954,0.21027824614513754,0.45856106043267303,0.13665843035144185,491.97034926519063
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group2/q2.rq,Remote SPARQL Query,282.903521991,12.30015313,282.905177794,12.300225120999999,1.2289822323856758E10,11.711841061,13.34696605,0.27258886409255134,0.5221004348710614,0.08129932502558139,292.677570092093
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group2/q3.rq,Remote SPARQL Query,729.214347894,31.704971646999997,730.170870237,31.746559575,3.1506733917239395E10,28.925582072,48.70577235,19.46491948992125,4.411906559518374,0.0314994762704141,113.39811457349076
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group2/q4.rq,Remote SPARQL Query,0.22864262,0.009940982999999999,0.22864262,0.009940982999999999,9834218.469731573,0.007978991,0.01235503,2.2735038004421704E-6,0.001507814246000538,100.59367368398077,362137.2252623307
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group2/q5.rq,Remote SPARQL Query,283.75767221300003,12.337290096,347.227818425,15.096861670000001,1.5066271627470846E10,14.460716640000001,19.602636755,1.116580861138212,1.056683898400185,0.06623893242574833,238.46015673269395
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group2/q6.rq,Remote SPARQL Query,3.8902976600000003,0.16914337599999998,3.8902976600000003,0.16914337599999998,1.6492738241874215E8,0.148845759,0.332404737,0.002198278076177201,0.04688579823546999,5.912144026260893,21283.718494539215
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group2/q7.rq,Remote SPARQL Query,0.233554227,0.010154531,0.234542357,0.010197493,1.001648247143325E7,0.00800406,0.014225712,4.195491466835905E-6,0.0020482898883790604,98.06331811161822,353027.9452018256
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group2/q8.rq,Remote SPARQL Query,11.882196067999999,0.51661722,11.883381718,0.51666877,5.1637639766438335E8,0.499308376,0.557847183,3.2447021650963296E-4,0.018013056834130986,1.9354759917074145,6967.713570146692
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group2/q9.rq,Remote SPARQL Query,45.171971475,1.963998759,45.173054249,1.964045836,1.805741796659691E9,1.416464084,4.951052405,1.0291336017475132,1.0144622229277505,0.5091530867918095,1832.951112450514
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group2/q10.rq,Remote SPARQL Query,1055.675590649,45.898938723,1508.082755179,65.568815442,5.231772074127965E10,46.134220896,465.53548043,7603.890135908885,87.2002874760679,0.01525115244585388,54.904148805073966
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group2/q11.rq,Remote SPARQL Query,55.208780098000005,2.400381743,56.088283428000004,2.4386210179999996,2.311545195674716E9,1.986972449,7.384743009,1.275702654313147,1.1294700767674843,0.4100678180901335,1476.2441451244806
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group2/q12.rq,Remote SPARQL Query,1465.6781557149998,63.725137204999996,1509.726666389,65.640289843,2.188615528568345E10,14.768373101,600.000162995,26909.370118999545,164.0407574933728,0.015234545770468467,54.84436477368648
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group2/q13.rq,Remote SPARQL Query,0.348528388,0.015153408,0.35016224599999995,0.015224445,1.3085963816341585E7,0.009935543,0.083614754,2.245234012683676E-4,0.014984104953862529,65.68383937805287,236461.8217609903
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group2/q14.rq,Remote SPARQL Query,0.254570848,0.011068297,0.256164996,0.011137608,1.0971388745535426E7,0.009188745000000002,0.017672323,4.5463418943934414E-6,0.0021322152551732296,89.78588580240928,323229.1888886734
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group2/q15.rq,Remote SPARQL Query,1.37195327,0.059650142,1.373047149,0.059697702,5.958977950546468E7,0.054752879,0.06819157199999999,1.3871189522524846E-5,0.003724404586309716,16.751063550151393,60303.82878054502
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group2/q16.rq,Remote SPARQL Query,0.218649858,0.009506515,0.219651999,0.009550086000000001,9396750.333684532,0.007323133000000001,0.015168423,3.5157277710617196E-6,0.0018750274054161766,104.71109893670067,376959.9561721224
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group2/q17.rq,Remote SPARQL Query,0.19928547900000002,0.008664586,0.20015488099999998,0.008702386000000001,8492089.140348526,0.006329403,0.015319734,4.5545443462305724E-6,0.00213413784611739,114.9110140598222,413679.6506153599
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group2/q18.rq,Remote SPARQL Query,0.227064759,0.00987238,0.227982516,0.009912283000000001,9725939.724823302,0.007968307,0.015305424,4.5092001886337655E-6,0.0021234877415784075,100.88493236119267,363185.7565002936
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group2/q19.rq,Remote SPARQL Query,0.169493842,0.007369297,0.170375245,0.007407619000000001,7210906.077251442,0.005556758,0.013077155,3.609452906125601E-6,0.0018998560224726508,134.99614383515134,485986.1178065448
