Total Response Time,Average Response Time (Arithmetic),Total Runtime,Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour
531.27159445,177.090531483,541.5010030190001,180.500334339,180.4984004684073,179.33777781199998,181.25925202000002,1.0452090223097434,1.022354646054755,19.944561394766136
Options Summary,
Query Endpoint,http://opoce.mondeca.com:7200/repositories/opoceProd
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,0
Warmups,20
Runs,5
Random Operation Order,true
Outliers,1
Timeout,600s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,1
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,178.894372978,181.25925202000002,0.007294819,60.026952705999996
2,176.035635059,178.385137219,0.006992789,60.031145401
3,182.231636905,184.402941307,0.005399275,60.041411956999994
4,177.111284108,179.33777781199998,0.006323915,60.043641889999996
5,175.26593736400002,180.903973187,0.005863705,60.04049801
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Queries per Second,Queries per Hour
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group2/q1.rq,Remote SPARQL Query,137.19474236,5.964988798,137.196430749,5.965062206,5.931820642225302E9,5.47580311,8.706419098,0.4923119274114745,0.7016494334149174,0.16764284519851996,603.5142427146719
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group2/q2.rq,Remote SPARQL Query,228.795292384,9.947621408000002,228.79735262600002,9.947710983,9.938737095649914E9,9.309672717,10.737980117,0.1874118885183574,0.43291094756122467,0.10052563868300314,361.8922992588113
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group2/q3.rq,Remote SPARQL Query,597.86894681,25.994302035,606.862199569,26.385313024,2.6305858223523006E10,24.336387101,33.144080256,4.855664590244921,2.2035572582179297,0.037899872519624955,136.43954107064985
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group2/q4.rq,Remote SPARQL Query,0.30888397700000003,0.013429738,0.30888397700000003,0.013429738,1.3106914733234031E7,0.009879422,0.019509701,9.427731641306113E-6,0.003070461144731539,74.46161645148997,268061.8192253639
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group2/q5.rq,Remote SPARQL Query,429.16058885900003,18.659156037,480.513290778,20.891882207,1.6454970803054787E10,11.490681193,60.013771585,340.35837922556067,18.448804276309094,0.04786548143876389,172.31573317955
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group2/q6.rq,Remote SPARQL Query,3.451699016,0.15007387,3.451699016,0.15007387,1.4995066124339917E8,0.141743365,0.164901439,3.953444681511399E-5,0.006287642389251634,6.663385171582501,23988.186617697003
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group2/q7.rq,Remote SPARQL Query,0.272659427,0.011854756999999999,0.273787248,0.011903793000000001,1.1601004368522637E7,0.008944378000000001,0.021544781,9.205020822492159E-6,0.003033977722807496,84.00683714846183,302424.6137344626
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group2/q8.rq,Remote SPARQL Query,11.064604859,0.481069776,11.065770455,0.481120454,4.801975115622717E8,0.441276385,0.545077982,9.37424341602635E-4,0.030617386263406533,2.0784815770896325,7482.533677522678
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group2/q9.rq,Remote SPARQL Query,40.675868222999995,1.7685160089999998,40.677506708,1.768587248,1.6793163594695253E9,1.398281702,5.469513111,0.6802752398744494,0.8247879969267553,0.5654230522869856,2035.5229882331482
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group2/q10.rq,Remote SPARQL Query,1381.2623469179998,60.054884648,1381.2623469179998,60.054884648,6.005486879857937E10,60.027058276999995,60.202804742,0.0019924996364708678,0.04463742416930964,0.016651434864312954,59.94516551152664
