Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour,Actual Operation Mixes per Hour
31.070632693,10.356877564,31.24502517,222.332205171,10.41500839,74.110735057,10.414993238622618,10.397362004,10.439327816,4.73679441336036E-4,0.021764177938439027,345.65502639983947,48.57595862773687
Options Summary,
Query Endpoint,http://opoce.mondeca.com:8890/sparql
Update Endpoint,http://opoce.mondeca.com:8890/sparql
Graph Store Endpoint,null
Sanity Checking Level,0
Warmups,20
Runs,5
Random Operation Order,true
Outliers,1
Timeout,10s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,5
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,10.350945409,10.387843243999999,0.004302078,10.00010833
2,10.366452701,10.444003607,0.004777412,10.000228988
3,10.358410235,10.397362004,0.004645055,10.000142453
4,10.369828378,10.439327816,0.005188282,10.000142153
5,10.34239408,10.40833535,0.004817609,10.000301671999999
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Operations per Second,Actual Operations per Second,Operations per Hour,Actual Operations per Hour
/home/mondeca/bench/cmd/queries/group3/q1.rq,Remote SPARQL Query,8.036975598,0.349433721,10.122431987,10.708798949,0.44010573799999997,0.46559995400000004,4.3752977663352436E8,0.372987455,0.5391827260000001,0.0024403110385874875,0.04939950443665895,2.2721812365918304,2.147766535217484,8179.852451730589,7731.959526782943
/home/mondeca/bench/cmd/queries/group3/q2.rq,Remote SPARQL Update,230.004862819,10.000211426,230.004862819,212.009748537,10.000211426,9.217815153,1.0000211426849884E10,10.000142153,10.000301671999999,1.3207844227216299E-9,3.634259790826228E-5,0.09999788578470001,0.10848557748248437,359.99238882492006,390.54807893694374
/home/mondeca/bench/cmd/queries/group3/q3.rq,Remote SPARQL Update,0.137061655,0.005959202,0.137061655,0.180020745,0.005959202,0.007826988,5905308.948519014,0.004497014,0.008129988000000001,6.770155743986127E-7,8.228095614409282E-4,167.8077031119267,127.76306798988321,604107.7312029361,459947.04476357956
/home/mondeca/bench/cmd/queries/group3/q4.rq,Remote SPARQL Update,0.155007811,0.00673947,0.155007811,0.185859512,0.00673947,0.008080848,6718279.199472744,0.00592465,0.007871986,3.0328476415567976E-7,5.507129598581095E-4,148.37962035590337,123.74938867801993,534166.6332812521,445497.79924087174
/home/mondeca/bench/cmd/queries/group3/q5.rq,Remote SPARQL Update,0.153692455,0.0066822800000000005,0.153692455,0.519122672,0.0066822800000000005,0.02257055,6444248.774474836,0.004645055,0.013117572,4.085106464561873E-6,0.0020211646307418587,149.6495208222343,44.3055220187368,538738.2749600435,159499.8792674525
