Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour,Actual Operation Mixes per Hour
0.085203123,0.028401041,0.085203123,1.389649686,0.028401041,0.463216562,0.028391581330930886,0.027545491999999998,0.029337778000000002,8.080158949569999E-7,8.988970435800754E-4,126755.917151065,7771.742841958228
Options Summary,
Query Endpoint,http://opoce.mondeca.com:3030/oracle/sparql
Update Endpoint,http://opoce.mondeca.com:3030/oracle/update
Graph Store Endpoint,null
Sanity Checking Level,0
Warmups,20
Runs,5
Random Operation Order,true
Outliers,1
Timeout,10s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,70
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,0.029337778000000002,0.029337778000000002,0.004248295,0.006832377
2,0.028319853,0.028319853,0.004756324,0.007856675
3,0.027545491999999998,0.027545491999999998,0.004825605,0.006197247
4,0.02949256,0.02949256,0.005173063,0.008378183999999999
5,0.026947657,0.026947657,0.00464996,0.006025474
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Operations per Second,Actual Operations per Second,Operations per Hour,Actual Operations per Hour
/home/mondeca/bench/cmd/queries/group3/oracle/q1.rq,Remote SPARQL Query,0.145559648,0.006328680000000001,0.145559648,0.207556331,0.006328680000000001,0.009024188,6238628.720640819,0.005157031,0.010200962000000001,1.3947217726003271E-6,0.00118098339217803,158.01083322272572,110.81329422658304,568838.9996018127,398927.85921569896
/home/mondeca/bench/cmd/queries/group3/oracle/q2.rq,Remote SPARQL Update,0.16364536300000002,0.007115015,0.16364536300000002,0.201929794,0.007115015,0.008779555999999999,7064152.11343786,0.006025474,0.008861751,7.972357711006334E-7,8.928806029367159E-4,140.54784143111434,113.90097631360858,505972.2291520116,410043.5147289909
/home/mondeca/bench/cmd/queries/group3/oracle/q3.rq,Remote SPARQL Update,0.13487068500000002,0.005863942,0.13487068500000002,0.165933885,0.005863942,0.007214516,5803428.302249172,0.004418386,0.007856675,7.672864465554234E-7,8.759488835288411E-4,170.53374675261114,138.6094368631243,613921.4883094002,498993.9727072475
/home/mondeca/bench/cmd/queries/group3/oracle/q4.rq,Remote SPARQL Update,0.13595164399999998,0.005910941,0.13595164399999998,0.170393151,0.005910941,0.007408397,5854811.469370735,0.00464996,0.0077476459999999995,7.209709389677706E-7,8.491000759438021E-4,169.1778009626555,134.9819670841074,609040.0834655599,485935.08150278666
/home/mondeca/bench/cmd/queries/group3/oracle/q5.rq,Remote SPARQL Update,0.137109984,0.005961303,0.137109984,0.6587153849999999,0.005961303,0.028639799,5868949.151056602,0.004825605,0.010455803,1.438081623936511E-6,0.001199200410246974,167.7485610109065,34.916446166399425,603894.8196392634,125699.20619903792
