Total Response Time,Average Response Time (Arithmetic),Total Runtime,Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour
2477.639653722,825.879884574,2496.8049201960002,832.2683067319999,832.268257410178,831.9065586749999,832.6072862980001,0.12314360354562036,0.35091822914408477,4.325528163070184
Options Summary,
Query Endpoint,https://db-opoceprod-fo1.ctllocetqpml.eu-west-3.neptune.amazonaws.com:8182/sparql
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,0
Warmups,20
Runs,5
Random Operation Order,true
Outliers,1
Timeout,600s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,1
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,826.378839815,832.785134217,0.016249265000000002,600.000236927
2,825.509699767,831.9065586749999,0.015941962,600.0003007519999
3,825.113506025,831.54721248,0.018494251,600.000195795
4,826.230975307,832.6072862980001,0.015758886,600.000193325
5,825.898978648,832.291075223,0.016723130000000003,600.003016433
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Queries per Second,Queries per Hour
/home/ec2-user/bench/queries/cat2-updates/q1.rq,Remote SPARQL Query,298.271681382,12.968333973,298.273803113,12.968426222,1.2967123503313559E10,12.654067274,13.332124331000001,0.035372430557179264,0.1880755979843724,0.07711035887327423,277.59729194378724
/home/ec2-user/bench/queries/cat2-updates/q2.rq,Remote SPARQL Query,249.040283135,10.827838396999999,249.042444116,10.827932352,1.0827652700762266E10,10.710446003,11.058626366,0.006369320539356607,0.07980802302623846,0.09235373545857928,332.47344765088536
/home/ec2-user/bench/queries/cat2-updates/q3.rq,Remote SPARQL Query,266.65493225800003,11.593692706,354.48354142000005,15.412327887,1.5411646185960758E10,15.185135163,15.934164355,0.022214654150133364,0.1490458122529223,0.06488312520547143,233.57925073969716
/home/ec2-user/bench/queries/cat2-updates/q4.rq,Remote SPARQL Query,21.360879257,0.92873388,21.362419728,0.9288008569999999,9.280663371387832E8,0.88268958,1.034847455,0.0014588506290705734,0.03819490318184579,1.0766570599751288,3875.965415910464
/home/ec2-user/bench/queries/cat2-updates/q5.rq,Remote SPARQL Query,153.157308868,6.659013429,157.166202655,6.833313158,6.833097633684277E9,6.748985992,6.979976029,0.0030905027153395486,0.05559229007101208,0.14634189548729593,526.8308237542653
/home/ec2-user/bench/queries/cat2-updates/q6.rq,Remote SPARQL Query,21.332928543999998,0.9275186320000001,21.334650974,0.9275935200000001,9.27023284990105E8,0.8693015759999999,1.005827614,0.0011176633747378164,0.033431472817359045,1.0780584150695662,3881.010294250438
/home/ec2-user/bench/queries/cat2-updates/q7.rq,Remote SPARQL Query,1.707346821,0.07423247000000001,1.875106094,0.08152635100000001,8.126118939952591E7,0.07259990000000001,0.098793144,4.774853587966693E-5,0.006910031539701315,12.265972752785169,44157.50191002661
/home/ec2-user/bench/queries/cat2-updates/q8.rq,Remote SPARQL Query,5.912990300000001,0.257086534,5.945077372,0.258481624,2.581884233601638E8,0.238931945,0.281781879,1.5794510370085088E-4,0.012567621242735272,3.8687469713514333,13927.48909686516
/home/ec2-user/bench/queries/cat2-updates/q9.rq,Remote SPARQL Query,1.7176225280000001,0.07467924,1.7192135849999999,0.07474841600000001,7.401741836300227E7,0.066458165,0.125719257,1.5008154349750185E-4,0.012250777260953765,13.378209914173965,48161.555691026275
/home/ec2-user/bench/queries/cat2-updates/q10.rq,Remote SPARQL Query,13800.005838108,600.0002538299999,13800.005838108,600.0002538299999,6.000002538307836E11,600.000195795,600.000492854,3.65364422609733E-9,6.0445382173474014E-5,0.0016666659615836318,5.999997461701075
