Total Response Time,Average Response Time (Arithmetic),Total Runtime,Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour
2483.388934681,827.7963115599999,2502.7146646019996,834.238221534,834.2381952308958,834.082531186,834.5343722550001,0.06583692519624003,0.25658707137391007,4.31531414777461
Options Summary,
Query Endpoint,https://db-opoceprod.cluster-ctllocetqpml.eu-west-3.neptune.amazonaws.com:8182/sparql
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,0
Warmups,20
Runs,5
Random Operation Order,true
Outliers,1
Timeout,600s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,1
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,827.240703476,833.689843188,0.016822027,600.000194142
2,828.122949504,834.5343722550001,0.019385384999999998,600.00025461
3,827.589283331,834.082531186,0.016556304,600.0002295229999
4,829.261867338,835.681503857,0.016502174,600.000241744
5,827.676701846,834.097761161,0.016871332,600.000231944
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Queries per Second,Queries per Hour
/home/ec2-user/bench/queries/cat2-updates/q1.rq,Remote SPARQL Query,301.914613492,13.126722325000001,301.916795462,13.126817194,1.3126079363379852E10,12.920600058,13.353895758,0.020262540361897265,0.14234655022829765,0.07617992886021752,274.24774389678305
/home/ec2-user/bench/queries/cat2-updates/q2.rq,Remote SPARQL Query,246.582015147,10.72095718,246.58420211,10.721052265,1.0720948490180483E10,10.625975945,10.781790756,0.0023228034546590643,0.04819547130861016,0.09327442636061059,335.78793489819816
/home/ec2-user/bench/queries/cat2-updates/q3.rq,Remote SPARQL Query,264.216784409,11.487686278,351.876055674,15.298958941999999,1.5298887620348179E10,15.216181130999999,15.397708172,0.0022837312385581583,0.0477884006695993,0.06536392468213738,235.31012885569456
/home/ec2-user/bench/queries/cat2-updates/q4.rq,Remote SPARQL Query,21.622578323000003,0.9401121010000001,21.62429148,0.940186586,9.394173545645229E8,0.8839975470000001,1.028751961,0.001526449038670747,0.039069797013431586,1.0636186634553835,3829.0271884393806
/home/ec2-user/bench/queries/cat2-updates/q5.rq,Remote SPARQL Query,152.968508379,6.650804712,157.04625657600002,6.828098111999999,6.827765652954648E9,6.722085946,6.944926615,0.004748298477414705,0.06890789851254138,0.14645366595458786,527.2331974365163
/home/ec2-user/bench/queries/cat2-updates/q6.rq,Remote SPARQL Query,21.747326631,0.94553594,21.748911014,0.945604826,9.447165080335637E8,0.879776316,1.025706156,0.0017706457433034758,0.04207904161579106,1.0575242136084446,3807.0871689904
/home/ec2-user/bench/queries/cat2-updates/q7.rq,Remote SPARQL Query,1.8876919330000002,0.08207356199999999,2.037631534,0.088592675,8.73693308959962E7,0.073925959,0.15348556600000002,2.8748607789995194E-4,0.016955414412510004,11.28761491850201,40635.413706607236
/home/ec2-user/bench/queries/cat2-updates/q8.rq,Remote SPARQL Query,6.203119528999999,0.269700849,6.236985588,0.271173286,2.707038701717841E8,0.244084508,0.316957361,2.736149487431552E-4,0.0165413103695915,3.6876788814662222,13275.6439732784
/home/ec2-user/bench/queries/cat2-updates/q9.rq,Remote SPARQL Query,1.782871827,0.077516166,1.784565008,0.077589782,7.702246954931472E7,0.068368292,0.108513671,1.0193512637347506E-4,0.010096292704427455,12.888295007711196,46397.862027760304
/home/ec2-user/bench/queries/cat2-updates/q10.rq,Remote SPARQL Query,13800.005952157,600.000258789,13800.005952157,600.000258789,6.000002587894325E11,600.000222365,600.000321038,6.232902342575705E-10,2.4965781266717264E-5,0.0016666659478086433,5.999997412111116
/home/ec2-user/bench/queries/cat2-updates/q11.rq,Remote SPARQL Query,6.211059908999999,0.270046083,7.358933006999999,0.31995360899999997,3.196643600759887E8,0.30261843499999996,0.35684206,1.9970492057913875E-4,0.014131699139846514,3.1254531027965373,11251.631170067534
/home/ec2-user/bench/queries/cat2-updates/q12.rq,Remote SPARQL Query,319.51677913500004,13.892033875,374.088847306,16.264732491,1.6263568127081282E10,15.713828965000001,16.43410652,0.0390084877360137,0.19750566507321682,0.06148272039231782,221.33779341234415
/home/ec2-user/bench/queries/cat2-updates/q13.rq,Remote SPARQL Query,1057.267049614,45.968132591,1057.553603863,45.980591472,4.598003855574906E10,45.670473547,46.47326123,0.053227186982030696,0.2307101796237667,0.021748306578634434,78.29390368308397
/home/ec2-user/bench/queries/cat2-updates/q14.rq,Remote SPARQL Query,1448.416014656,62.974609332,1448.838330453,62.992970889,6.29923888473288E10,62.412791941,63.461082934,0.07664160015988519,0.2768421936047415,0.01587478707365781,57.14923346516812
/home/ec2-user/bench/queries/cat2-updates/q15.rq,Remote SPARQL Query,416.341030397,18.10178393,416.342659586,18.101854764,1.8100580372735565E10,17.766040535,18.403605499,0.04818840732119847,0.21951858081082445,0.055242957864668464,198.87464831280647
/home/ec2-user/bench/queries/cat2-updates/q16.rq,Remote SPARQL Query,0.63349625,0.027543315,0.6350318549999999,0.02761008,2.6960451929157738E7,0.020630648,0.039532952999999996,3.904535153569859E-5,0.0062486279722590785,36.218656374773275,130387.16294918378
/home/ec2-user/bench/queries/cat2-updates/q17.rq,Remote SPARQL Query,0.6137045950000001,0.026682808000000002,0.617363806,0.026841904,2.5922522071707383E7,0.019530701,0.042326759000000005,5.780903112980678E-5,0.007603225047952137,37.2551813015947,134118.65268574093
/home/ec2-user/bench/queries/cat2-updates/q18.rq,Remote SPARQL Query,385.696135842,16.769397209999998,385.697816374,16.769470277,1.676806874857489E10,16.379383832,17.141942625,0.049093030199992185,0.2215694703698869,0.05963217582200793,214.67583295922856
/home/ec2-user/bench/queries/cat2-updates/q19.rq,Remote SPARQL Query,0.565208158,0.024574267,0.5667155460000001,0.024639806,2.358559701101696E7,0.017312683,0.044183441999999996,6.217771476339597E-5,0.007885284697675536,40.58473512332037,146105.04644395332
/home/ec2-user/bench/queries/cat2-updates/q20.rq,Remote SPARQL Query,0.5422402,0.02357566,0.543747372,0.023641190000000003,2.2703274526912224E7,0.016556304,0.044684907,5.7089618414422246E-5,0.007555767228708296,42.29905516600475,152276.5985976171
/home/ec2-user/bench/queries/cat2-updates/q21.rq,Remote SPARQL Query,536.488022789,23.325566208,536.489865814,23.325646339,2.332434853419452E10,22.909155023,23.72633897,0.06333751452929316,0.25166945489926495,0.04287126647924952,154.33655932529828
/home/ec2-user/bench/queries/cat2-updates/q22.rq,Remote SPARQL Query,37.955789809,1.65025173,37.957501287,1.650326142,1.650235873460037E9,1.629390792,1.696435657,3.1472016025978526E-4,0.01774035400604467,0.6059408346935099,2181.387004896636
/home/ec2-user/bench/queries/cat2-updates/q23.rq,Remote SPARQL Query,31.117919707000002,1.35295303,31.119532876,1.353023168,1.3528978300962713E9,1.328598884,1.394220777,3.56698170864674E-4,0.018886454692839363,0.7390856443930456,2660.7083198149644
/home/ec2-user/bench/queries/cat2-updates/q24.rq,Remote SPARQL Query,1.625657283,0.070680751,1.628831078,0.070818742,7.033406857022215E7,0.06319662300000001,0.086973766,7.618525423557267E-5,0.008728416479268888,14.12055582687419,50834.000976747084
