Total Response Time,Average Response Time (Arithmetic),Total Runtime,Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour
1616.7559255049998,538.918641835,1644.187630381,548.0625434599999,548.062258759188,547.369458632,548.737432329,0.4680863286321052,0.6841683481659359,6.568593389492862
Options Summary,
Query Endpoint,https://opoce10b.cluster-ctllocetqpml.eu-west-3.neptune.amazonaws.com:8182/sparql
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,0
Warmups,20
Runs,5
Random Operation Order,true
Outliers,1
Timeout,600s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,1
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,539.376479331,548.737432329,0.018347885,62.635388137
2,539.039140962,548.08073942,0.016669688000000002,62.592610567
3,537.739735802,546.856852806,0.015178241,62.475097623
4,539.843807793,549.060333966,0.015391322,62.619801943
5,538.3403052120001,547.369458632,0.01529043,62.640117006
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Queries per Second,Queries per Hour
/home/ec2-user/bench/queries/cat2-updates/q1.rq,Remote SPARQL Query,645.96079876,28.08525212,645.96304825,28.085349923000003,2.797237003430576E10,27.109381226,41.443641637,8.545219658705793,2.9232207680409283,0.035605751850756456,128.18070666272322
/home/ec2-user/bench/queries/cat2-updates/q2.rq,Remote SPARQL Query,658.546763601,28.632467981999998,658.5487766240001,28.632555505,2.813252405854671E10,26.845084802000002,61.00156078,49.85713263253536,7.060958336694485,0.034925279366886185,125.73100572079028
/home/ec2-user/bench/queries/cat2-updates/q3.rq,Remote SPARQL Query,801.0079312940001,34.826431795,802.6358064269999,34.897208975,3.4727131218327156E10,33.522203498,53.368548752,16.36382300968066,4.04522224478219,0.028655586775331796,103.16011239119446
/home/ec2-user/bench/queries/cat2-updates/q4.rq,Remote SPARQL Query,205.654465672,8.941498507,205.656651165,8.941593528,8.935125249608875E9,8.621399009000001,10.222517475,0.12894162468896178,0.3590844255728196,0.11183688867857469,402.6127992428689
/home/ec2-user/bench/queries/cat2-updates/q5.rq,Remote SPARQL Query,701.481053151,30.499176223,850.949114041,36.997787566999996,3.67258294562804E10,35.143011956,60.102076346000004,28.114864796278667,5.302345216626193,0.027028643217897313,97.30311558443033
/home/ec2-user/bench/queries/cat2-updates/q6.rq,Remote SPARQL Query,209.864166271,9.124528968,209.867118323,9.124657317999999,9.096131172772076E9,8.667898673,12.499477279999999,0.6467798959357998,0.8042262716025881,0.10959315677831795,394.5353644019446
/home/ec2-user/bench/queries/cat2-updates/q7.rq,Remote SPARQL Query,8.677201884,0.37726964700000004,9.081435499,0.39484502099999996,3.316650017520843E8,0.290176896,2.411116833,0.19326737020338297,0.4396218490969062,2.5326392554409343,9117.501319587363
/home/ec2-user/bench/queries/cat2-updates/q8.rq,Remote SPARQL Query,14.841218154,0.645270354,14.879873257,0.646951011,6.36955562466182E8,0.5844601239999999,1.31606276,0.021582181431696185,0.14690875205955628,1.5457120910195163,5564.563527670259
/home/ec2-user/bench/queries/cat2-updates/q9.rq,Remote SPARQL Query,3.3261576909999997,0.144615551,3.327811994,0.144687478,1.0838004856932828E8,0.08864523099999999,1.1833633179999998,0.051318580164717735,0.226536046060484,6.911448135131638,24881.2132864739
/home/ec2-user/bench/queries/cat2-updates/q10.rq,Remote SPARQL Query,1382.565857822,60.111559035,1382.565857822,60.111559035,6.0111552567166176E10,60.064498858,60.171034277,8.130332908779712E-4,0.028513738633823015,0.016635735556579878,59.888648003687564
