Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour,Actual Operation Mixes per Hour
2157.889062023,719.296354007,2164.920566225,11708.744478552,721.640188741,3902.914826184,721.6395913019022,720.614059024,722.863214394,1.2937509764161543,1.1374317458274823,4.988635688764359,0.9223875386283618
Options Summary,
Query Endpoint,https://opoce10b.cluster-ctllocetqpml.eu-west-3.neptune.amazonaws.com:8182/sparql
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,0
Warmups,20
Runs,5
Random Operation Order,true
Outliers,1
Timeout,600s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,100
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,712.815465885,716.254557449,0.020965817999999997,61.473585394000004
2,717.178980595,720.614059024,0.019396556,61.391097517
3,717.930360533,721.443292807,0.018995422999999997,61.218061182
4,722.7797208950001,722.863214394,0.018751122,61.509100311000005
5,727.666762635,731.024863958,0.017477419999999997,61.288267126
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Operations per Second,Actual Operations per Second,Operations per Hour,Actual Operations per Hour
/home/ec2-user/bench/queries/cat2-updates/q1.rq,Remote SPARQL Query,766.768580235,33.337764358,766.773943403,810.234582972,33.33799753900001,35.227590563999996,3.1582127768184044E10,27.209512821,61.473585394000004,170.39823151387284,13.053667358787447,0.029995802802197807,0.028386840655004273,107.9848900879121,102.19262635801539
/home/ec2-user/bench/queries/cat2-updates/q2.rq,Remote SPARQL Query,762.833987727,33.166695118,762.8379787050001,810.376340511,33.166868639,35.233753935,3.138345078188089E10,26.83260843,61.219447681,172.59393618849646,13.137501139428933,0.030150570163386715,0.028381875001023786,108.54205258819218,102.17475000368563
/home/ec2-user/bench/queries/cat2-updates/q3.rq,Remote SPARQL Query,889.1332653420001,38.657968058,890.423196184,943.981288403,38.714052007999996,41.042664713,3.765480758946685E10,33.639935547,61.129430891999995,109.66875022574932,10.472284861755304,0.02583041423288259,0.024364889731032898,92.98949123837733,87.71360303171843
/home/ec2-user/bench/queries/cat2-updates/q4.rq,Remote SPARQL Query,227.696664833,9.899854992,227.699879414,252.021568436,9.899994757,10.957459497,9.70007572217831E9,8.668850322,14.874783407,5.118971694125655,2.262514462743974,0.10101015450467071,0.09126203024284836,363.6365562168146,328.5433088742541
/home/ec2-user/bench/queries/cat2-updates/q5.rq,Remote SPARQL Query,790.708026926,34.378609866,916.793301474,954.183213942,39.860578324,41.486226693,3.899535945838739E10,35.150155532,60.034782247,89.8224149185569,9.477468803354453,0.025087443334907696,0.024104385472317025,90.3147960056677,86.7757877003413
/home/ec2-user/bench/queries/cat2-updates/q6.rq,Remote SPARQL Query,229.508936711,9.978649422,229.512170135,254.296031336,9.978790005,11.056349188,9.788627072236118E9,8.659018905,14.988044296,4.850519390102988,2.2023894728460243,0.10021255077007706,0.0904457685802244,360.7651827722774,325.60476688880783
/home/ec2-user/bench/queries/cat2-updates/q7.rq,Remote SPARQL Query,7.713840566,0.335384372,8.143016977,9.075523454,0.354044216,0.394587976,3.435398812330947E8,0.297562947,0.606660883,0.009985730152243385,0.0999286252894704,2.8245059650967437,2.53428908335514,10168.221474348276,9123.440700078503
/home/ec2-user/bench/queries/cat2-updates/q8.rq,Remote SPARQL Query,17.278841408,0.7512539739999999,17.329044769,19.670827027999998,0.753436729,0.8552533489999999,7.146729954039782E8,0.588149496,1.4799158339999998,0.08479559963002477,0.29119684000693546,1.3272514618808822,1.1692441791303645,4778.105262771175,4209.279044869312
/home/ec2-user/bench/queries/cat2-updates/q9.rq,Remote SPARQL Query,2.444452907,0.10628056100000001,2.448874527,2.753192924,0.10647280499999999,0.11970404000000001,1.0519516591792451E8,0.08846705099999999,0.15804821000000002,3.3228318943511636E-4,0.01822863652155905,9.39206964632894,8.353936926439575,33811.450726784184,30074.17293518247
/home/ec2-user/bench/queries/cat2-updates/q10.rq,Remote SPARQL Query,1382.699883341,60.117386231999994,1382.699883341,1331.413345049,60.117386231999994,57.887536741000005,6.0117375775332886E10,60.042029447,60.173458792999995,0.0013141503259755532,0.03625121137252593,0.016634123049543165,0.017274875669251444,59.88284297835539,62.1895524093052
