Total Response Time,Average Response Time (Arithmetic),Total Runtime,Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour
5446.462591572,1815.487530524,5477.193945147001,1825.7313150490002,1825.6422885391821,1812.127467159,1851.269948431,489.8627885872579,22.132844114285398,1.9718125938500326
Options Summary,
Query Endpoint,https://opoce10b.cluster-ctllocetqpml.eu-west-3.neptune.amazonaws.com:8182/sparql
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,0
Warmups,20
Runs,5
Random Operation Order,true
Outliers,1
Timeout,600s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,1
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,1767.165215795,1778.0672660399998,0.024035841999999998,600.000264279
2,1841.194693843,1851.269948431,0.03302079,600.000279454
3,1802.021952731,1812.127467159,0.018834888,600.00022344
4,1855.542369642,1865.360461987,0.017546786999999998,600.000250318
5,1803.2459449980001,1813.796529557,0.022704225,600.000189597
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Queries per Second,Queries per Hour
/home/ec2-user/bench/queries/cat2-updates/q1.rq,Remote SPARQL Query,789.4521928270001,34.324008383,789.4544269080001,34.32410551700001,3.2972527905276142E10,27.930168844,58.073838155,124.76365656851482,11.169765287082573,0.029134043988552624,104.88255835878945
/home/ec2-user/bench/queries/cat2-updates/q2.rq,Remote SPARQL Query,682.263092419,29.663612713,682.265827304,29.663731621,2.934843498076607E10,27.582001545,48.733252389,25.747437902987734,5.074193325346181,0.03371120035660196,121.36032128376705
/home/ec2-user/bench/queries/cat2-updates/q3.rq,Remote SPARQL Query,803.8916804759999,34.951812194,805.816918468,35.035518194,3.503133722219828E10,34.538291365999996,37.312289004,0.3158664062084467,0.562019933995625,0.02854246352124042,102.75286867646551
/home/ec2-user/bench/queries/cat2-updates/q4.rq,Remote SPARQL Query,224.571699426,9.763986931,224.5734651,9.764063700000001,9.759047297602957E9,9.446047837,10.651933122,0.10618372983799614,0.3258584506162088,0.10241637403492153,368.69894652571753
/home/ec2-user/bench/queries/cat2-updates/q5.rq,Remote SPARQL Query,994.389787281,43.234338577,1160.426048984,50.453306477,4.976967259342718E10,37.621530439000004,60.787922638,68.24999100099996,8.261355276284876,0.019820306533445277,71.353103520403
/home/ec2-user/bench/queries/cat2-updates/q6.rq,Remote SPARQL Query,222.903152507,9.691441413,222.904964027,9.691520174999999,9.68733768270552E9,9.350973435,10.732337364000001,0.08802586717281312,0.2966915353912428,0.10318298697655036,371.4587531155813
/home/ec2-user/bench/queries/cat2-updates/q7.rq,Remote SPARQL Query,24.421238957,1.0617929979999998,24.598702303,1.069508795,9.053214414382682E8,0.311039698,1.6611630050000001,0.2531859515274532,0.5031758654063738,0.9350086737715888,3366.03122557772
/home/ec2-user/bench/queries/cat2-updates/q8.rq,Remote SPARQL Query,42.711905358,1.8570393630000002,42.806060664,1.861133072,1.4723958317460613E9,0.624462292,3.5977524709999997,1.3628179575253654,1.1673979430876882,0.5373070926762834,1934.3055336346201
/home/ec2-user/bench/queries/cat2-updates/q9.rq,Remote SPARQL Query,19.133727237,0.8319011839999999,19.136080973,0.83200352,5.471407655161642E8,0.099853346,1.563199245,0.28127518877883473,0.5303538335666433,1.201917991885419,4326.904770787508
/home/ec2-user/bench/queries/cat2-updates/q10.rq,Remote SPARQL Query,13800.006054731,600.000263249,13800.006054731,600.000263249,6.000002632491715E11,600.000204627,600.000347622,1.2046981963540648E-9,3.470876252985785E-5,0.0016666659354197652,5.999997367511155
/home/ec2-user/bench/queries/cat2-updates/q11.rq,Remote SPARQL Query,57.941009015000006,2.519174305,58.718583063,2.5529818719999997,1.9201507049675403E9,0.34229639500000003,4.569281677,2.27206275688833,1.507336311805806,0.39169882519244154,1410.1157706927895
/home/ec2-user/bench/queries/cat2-updates/q12.rq,Remote SPARQL Query,666.278762217,28.968641835,730.954948043,31.780649914,3.1704626105133553E10,28.788212453,35.988178739000006,5.072160840640642,2.2521458302340553,0.03146568753962078,113.27647514263481
/home/ec2-user/bench/queries/cat2-updates/q13.rq,Remote SPARQL Query,1958.068140683,85.133397421,1958.3677608429998,85.146424384,8.471878277912422E10,74.10928644399999,97.175838709,76.36465812784458,8.738687437358346,0.01174447438321217,42.28010777956381
/home/ec2-user/bench/queries/cat2-updates/q14.rq,Remote SPARQL Query,7733.542924332,336.24099671,7734.206791592,336.269860504,3.35052541612345E11,278.32881337,391.566979194,844.6153078888385,29.062266048758804,0.0029738020484535955,10.705687374432943
/home/ec2-user/bench/queries/cat2-updates/q15.rq,Remote SPARQL Query,4304.552188721,187.15444298699998,4304.554040379,187.154523494,1.8714237807050574E11,184.246310256,192.030492382,4.7687736519324435,2.1837521956331134,0.005343178360484881,19.235442097745572
/home/ec2-user/bench/queries/cat2-updates/q16.rq,Remote SPARQL Query,1.3034756870000002,0.056672855,1.305138444,0.056745148999999995,5.246897965752539E7,0.022807169999999998,0.117225983,5.211875034812236E-4,0.022829531389873592,17.622651761827257,63441.54634257812
/home/ec2-user/bench/queries/cat2-updates/q17.rq,Remote SPARQL Query,0.869306451,0.037795932,0.8708794910000001,0.037864325000000004,3.667521113238658E7,0.020512339999999997,0.055918082,9.469948495090514E-5,0.009731366037248067,26.41008389823402,95076.30203364248
/home/ec2-user/bench/queries/cat2-updates/q18.rq,Remote SPARQL Query,3998.80195621,173.860954617,3998.8039120820004,173.861039655,1.738529070242616E11,171.717000551,177.87175434000002,2.9737931817986265,1.7244689564612716,0.0057517198906916886,20.70619160649008
