Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour,Actual Operation Mixes per Hour
1.774957334,0.5916524439999999,2.348064242,17.819290347,0.78268808,5.939763449,0.7819367665375757,0.7365508620000001,0.817715788,0.0017395022346954655,0.041707340297547926,4599.533443769835,606.0847424161453
Options Summary,
Query Endpoint,https://opoce10b.cluster-ctllocetqpml.eu-west-3.neptune.amazonaws.com:8182/sparql
Update Endpoint,https://opoce10b.cluster-ctllocetqpml.eu-west-3.neptune.amazonaws.com:8182/sparql
Graph Store Endpoint,null
Sanity Checking Level,0
Warmups,20
Runs,5
Random Operation Order,false
Outliers,1
Timeout,10s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,100
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,0.584755049,0.793797592,0.013272698999999999,0.483849588
2,0.480263911,0.661072181,0.018912802,0.369602904
3,0.5660513949999999,0.7365508620000001,0.013320973,0.44816670399999997
4,0.62415089,0.817715788,0.011762349,0.366685163
5,1.437587695,1.642764501,0.013568835999999999,1.346080535
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Operations per Second,Actual Operations per Second,Operations per Hour,Actual Operations per Hour
/home/ec2-user/bench/queries/cat3/q1.rq,Remote SPARQL Query,0.799513182,0.034761442000000004,3.150647623,4.045660482,0.136984679,0.175898281,1.2619128121999167E8,0.07917685000000001,0.26682440300000004,0.0038385165895130626,0.06195576316625486,7.300086457113937,5.685103881145945,26280.311245610177,20466.373972125402
/home/ec2-user/bench/queries/cat3/q2.rq,Remote SPARQL Update,12.016906442,0.522474193,12.016906442,12.208240282999999,0.522474193,0.530793055,4.8482271002684486E8,0.262132204,0.947300742,0.043951398000023394,0.20964588715265414,1.9139701317266784,1.8839734065473033,6890.292474216043,6782.304263570291
/home/ec2-user/bench/queries/cat3/q3.rq,Remote SPARQL Update,0.535849283,0.023297794,0.535849283,0.931342441,0.023297794,0.040493149,2.263151100115904E7,0.013320973,0.039671796,3.359724293122217E-5,0.005796312873820924,42.92251875864299,24.69553553367756,154521.06753111474,88903.92792123923
/home/ec2-user/bench/queries/cat3/q4.rq,Remote SPARQL Update,0.5134081220000001,0.022322092,0.5134081220000001,0.600754715,0.022322092,0.02611977,2.1708802656376116E7,0.01513702,0.043430729,3.52588681430911E-5,0.005937917828927166,44.79866851189395,38.28517632429382,161275.20664281823,137826.63476745776
/home/ec2-user/bench/queries/cat3/q5.rq,Remote SPARQL Update,0.404409212,0.017583009,0.404409212,0.469680159,0.017583009,0.020420876,1.7235941473959737E7,0.012313256000000002,0.025943926000000003,1.3370573146456176E-5,0.0036565794325374877,56.87308696708283,48.969495725844475,204743.11308149816,176290.1846130401
