Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour,Actual Operation Mixes per Hour
1.442575357,0.480858452,2.110924248,18.699013262,0.7036414160000001,6.23300442,0.7028988718431793,0.658495159,0.7283999609999999,0.0015334144361110092,0.039158835990246305,5116.242333296651,577.570583529283
Options Summary,
Query Endpoint,https://db-opoceprod.cluster-ctllocetqpml.eu-west-3.neptune.amazonaws.com:8182/sparql
Update Endpoint,https://db-opoceprod.cluster-ctllocetqpml.eu-west-3.neptune.amazonaws.com:8182/sparql
Graph Store Endpoint,null
Sanity Checking Level,0
Warmups,20
Runs,5
Random Operation Order,false
Outliers,1
Timeout,10s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,100
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,0.231671761,0.413057318,0.015732408,0.26123234
2,0.417999525,0.658495159,0.011611517,0.336208933
3,0.5230588589999999,0.7283999609999999,0.014794046,0.399767678
4,1.1925341699999998,1.407667686,0.011865875000000001,1.085510103
5,0.501516973,0.724029128,0.019200433,0.36031515000000003
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Operations per Second,Actual Operations per Second,Operations per Hour,Actual Operations per Hour
/home/ec2-user/bench/queries/cat3/q1.rq,Remote SPARQL Query,0.877045136,0.038132397,3.375387741,4.262998555999999,0.146755988,0.185347763,1.3282448638194726E8,0.077741034,0.298163605,0.005372788244627281,0.07329930589458049,6.81403201074153,5.395263389286225,24530.51523866951,19422.948201430412
/home/ec2-user/bench/queries/cat3/q2.rq,Remote SPARQL Update,12.627854360999999,0.549037146,12.627854360999999,12.745662916999999,0.549037146,0.554159257,5.0058124950528383E8,0.265675343,1.023823413,0.060344640104191154,0.24565146061888407,1.8213703886621908,1.8045354063263441,6556.933399183888,6496.327462774839
/home/ec2-user/bench/queries/cat3/q3.rq,Remote SPARQL Update,0.565893585,0.024604068000000003,0.565893585,0.6388186960000001,0.024604068000000003,0.027774725,2.3853195738616265E7,0.011865875000000001,0.037803771,3.8171693396768244E-5,0.006178324481343484,40.64368542632868,36.00395683485615,146317.26753478326,129614.24460548215
/home/ec2-user/bench/queries/cat3/q4.rq,Remote SPARQL Update,0.45918893200000005,0.019964735999999997,0.45918893200000005,0.530161119,0.019964735999999997,0.023050483,1.9709086120664623E7,0.015971191,0.025976661,1.097241577465461E-5,0.0033124637016357797,50.08831571827447,43.38303887168004,180317.9365857881,156178.93993804816
/home/ec2-user/bench/queries/cat3/q5.rq,Remote SPARQL Update,0.445106714,0.019352465,0.445106714,0.530649676,0.019352465,0.023071725,1.8977437383189708E7,0.014237074,0.026573745,1.574892882658915E-5,0.003968492009137621,51.673003929990315,43.34309636578973,186022.81414796514,156035.14691684302
