Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour,Actual Operation Mixes per Hour
2080.3256335720002,693.441877857,2110.6317052130003,10701.09840136,703.5439017369999,3567.0328004529997,703.4340361700672,686.034968617,712.442110864,229.94271619326392,15.163862179315133,5.1169514668691685,1.0092421913089258
Options Summary,
Query Endpoint,http://51.210.0.29:5820/opoce/query
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,0
Warmups,20
Runs,5
Random Operation Order,false
Outliers,1
Timeout,600s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,100
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,676.161714298,686.034968617,0.040362737,89.306182952
2,673.6813415690001,682.667211167,0.042784303,89.473969045
3,703.801131632,714.118358689,0.035924616,89.462706679
4,702.3031212000001,712.154625732,0.040528207999999996,89.308121553
5,701.8607980740001,712.442110864,0.040227755000000004,89.585968283
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Operations per Second,Actual Operations per Second,Operations per Hour,Actual Operations per Hour
/home/ubuntu/bench/queries/cat2-stardog/q1.rq,Remote SPARQL Query,74.343560046,3.232328697,74.34814982200001,53.137246469,3.232528253,2.310315063,2.800759556517524E9,2.199909221,8.041276214,4.755438441202157,2.1806967788306006,0.3093553781229704,0.43284139726876725,1113.6793612426936,1558.229030167562
/home/ubuntu/bench/queries/cat2-stardog/q2.rq,Remote SPARQL Query,92.160950629,4.006997853,92.163664544,78.947084778,4.007115849,3.432481946,3.938131542087305E9,3.58380247,5.966668178,0.707315993093562,0.8410208041978284,0.24955604920919772,0.29133438011679497,898.4017771531118,1048.803768420462
/home/ubuntu/bench/queries/cat2-stardog/q3.rq,Remote SPARQL Query,189.017939047,8.218171262,203.369866175,159.58775755599999,8.842168094,6.938598154,8.26360557253579E9,6.934305856,17.577182137,15.386806953745785,3.922602064159171,0.1130944344609968,0.14412133082292922,407.13996405958846,518.8367909625451
/home/ubuntu/bench/queries/cat2-stardog/q4.rq,Remote SPARQL Query,774.3656124409999,33.668070106,790.761849493,652.214772697,34.38094997699999,28.35716403,3.2705991740061897E10,27.711165386,71.35637845000001,177.93072606269376,13.33906766092345,0.02908587460989226,0.03526445729700143,104.70914859561213,126.95204626920516
/home/ubuntu/bench/queries/cat2-stardog/q5.rq,Remote SPARQL Query,58.368059335,2.5377417099999997,163.14801193899999,161.59500993900002,7.093391823,7.025869997,7.034626561546974E9,6.428090682,9.713323218,0.9941948390954051,0.9970931947894365,0.1409762811575621,0.1423311277360659,507.51461216722356,512.3920598498373
/home/ubuntu/bench/queries/cat2-stardog/q6.rq,Remote SPARQL Query,648.684425327,28.203670666,662.293656037,604.824148844,28.795376348999998,26.296702123,2.833026821854119E10,24.961737436,44.286070368,34.6524438452535,5.886632640589482,0.03472779754221646,0.038027582140247373,125.02007115197924,136.89929570489056
/home/ubuntu/bench/queries/cat2-stardog/q7.rq,Remote SPARQL Query,0.884740007,0.038466956000000004,0.886978307,1.01082673,0.038564273999999996,0.043948988,3.83875714405524E7,0.034233306,0.049872055000000005,1.5575183165296175E-5,0.003946540658006221,25.930735789295557,22.75365248455778,93350.648841464,81913.148944408
/home/ubuntu/bench/queries/cat2-stardog/q8.rq,Remote SPARQL Query,115.249955733,5.010867640000001,115.252644351,110.365120711,5.010984537000001,4.7984835089999995,4.820812349842997E9,4.365968044000001,10.795761554,3.236327609166402,1.7989796022096531,0.1995615816844417,0.2083991740566384,718.4216940639902,750.2370266038984
/home/ubuntu/bench/queries/cat2-stardog/q9.rq,Remote SPARQL Query,11.18561799,0.486331216,11.187581442,11.790335123999999,0.486416584,0.512623266,4.863171791091889E8,0.473592066,0.5141182649999999,1.0243592767754672E-4,0.010121063564544328,2.05585095758166,1.9507503196314153,7401.063447293976,7022.701150673095
/home/ubuntu/bench/queries/cat2-stardog/q10.rq,Remote SPARQL Query,1755.057482446,76.306847062,1755.057482446,1673.1686544220001,76.306847062,72.74646323500001,7.592436574720256E10,61.17612402100001,82.358640692,56.468943485303384,7.514582056595256,0.013104983871073731,0.013746372751752925,47.177941935865434,49.48694190631053
