Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour,Actual Operation Mixes per Hour
6288.545513682,2096.181837894,7523.979310699,32046.123271153,2507.9931035659997,10682.041090384,2507.992435323374,2505.4540482009998,2509.700015757,5.0264068190093925,2.2419649459814024,1.4354106456199285,0.33701424377039035
Options Summary,
Query Endpoint,http://localhost:5820/opoceGen10b/query
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,0
Warmups,20
Runs,5
Random Operation Order,false
Outliers,1
Timeout,600s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,1000
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,2096.2634064189997,2505.4540482009998,0.089761114,600.000124306
2,2095.6851415,2508.8252467410002,0.066959817,600.000157825
3,2102.100872916,2505.442280927,0.10135026999999999,600.000172189
4,2095.218749297,2509.993521372,0.08618574,600.0001376409999
5,2096.5969657630003,2509.700015757,0.066103088,600.000122833
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Operations per Second,Actual Operations per Second,Operations per Hour,Actual Operations per Hour
/home/ubuntu/bench/queries/cat2-stardog/q1.rq,Remote SPARQL Query,91.48042108099999,3.9774096119999998,91.484996147,81.975198275,3.977608528,3.564139055,3.97210458685864E9,3.799803501,4.4340864369999995,0.04823714503837491,0.2196295632158269,0.2514073451322809,0.2805726669382152,905.0664424762114,1010.0616009775746
/home/ubuntu/bench/queries/cat2-stardog/q2.rq,Remote SPARQL Query,117.861204764,5.124400207,117.864495534,107.030020309,5.1245432840000005,4.653479142999999,5.121703915903538E9,4.951287095,5.502814841999999,0.03136406295284246,0.17709902019165,0.19513934112376988,0.21489297991251363,702.5016280455716,773.614727685049
/home/ubuntu/bench/queries/cat2-stardog/q3.rq,Remote SPARQL Query,200.800085388,8.730438495,218.749354372,191.834140077,9.510841494000001,8.340614785,9.449210823213062E9,8.701443595,12.134111416,1.3868590922525892,1.1776498173279648,0.10514316747165421,0.11989523863377896,378.51540289795514,431.6228590816043
/home/ubuntu/bench/queries/cat2-stardog/q4.rq,Remote SPARQL Query,582.049851207,25.306515269,3064.202049047,2726.141271544,133.226176045,118.52788137099999,1.3286335971513889E11,125.987629869,156.603109995,109.29546529998093,10.45444715420098,0.007506032445622613,0.008436833498018367,27.021716804241407,30.372600592866124
/home/ubuntu/bench/queries/cat2-stardog/q5.rq,Remote SPARQL Query,50.438684906,2.1929863,2842.241273065,2531.003459182,123.575707524,110.04362866,1.2323185034421036E11,117.80758742500001,145.291893366,96.48053908021745,9.822450767513038,0.008092205337410568,0.00908730484605959,29.131939214678045,32.71429744581452
/home/ubuntu/bench/queries/cat2-stardog/q6.rq,Remote SPARQL Query,50.310206754,2.187400293,2436.5086769570003,2170.727573281,105.935159867,94.379459707,1.0560903385706128E11,101.169369321,126.25234212800001,78.90154353659192,8.882654081781633,0.009439736545028912,0.010595525796656275,33.98305156210408,38.14389286796259
/home/ubuntu/bench/queries/cat2-stardog/q7.rq,Remote SPARQL Query,6.35423506,0.276271089,6.704877979,7.070199542999999,0.291516433,0.30739998,2.9145792408134925E8,0.286905548,0.31635399000000003,3.719065753104857E-5,0.006098414345635148,3.4303383507714638,3.2530906475660797,12349.21806277727,11711.126331237887
/home/ubuntu/bench/queries/cat2-stardog/q8.rq,Remote SPARQL Query,128.81874813599998,5.6008151360000005,166.378742771,162.136469653,7.233858381,7.049411724,7.233131803548107E9,7.135860001,7.539805791,0.011189843310327383,0.10578205571044355,0.1382388135530186,0.14185580856278554,497.65972879086695,510.68091082602797
/home/ubuntu/bench/queries/cat2-stardog/q9.rq,Remote SPARQL Query,1.756243716,0.07635842200000001,1.7582131509999999,1.940659514,0.07644405,0.0843765,7.614349501341632E7,0.066959817,0.10135026999999999,5.368604122987832E-5,0.007327075899011715,13.081462847664403,11.85164115600908,47093.26625159185,42665.90816163269
/home/ubuntu/bench/queries/cat2-stardog/q10.rq,Remote SPARQL Query,1742.213368788,75.748407338,2006.422033388,1840.596252946,87.235740582,80.02592404100001,8.723419050883951E10,86.254431661,88.262341891,0.2827947150144015,0.5317844629306139,0.01146319150073608,0.012495950680777718,41.267489402649886,44.98542245079978
