Total Response Time,Average Response Time (Arithmetic),Total Runtime,Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour
3389.012182076,1129.6707273579998,4390.402487372,1463.4674957900002,1463.467379305108,1462.673045555,1464.0596312530001,0.5113534251062253,0.7150898021271351,2.459911142786721
Options Summary,
Query Endpoint,http://localhost:5820/opoceGen10b/query
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,0
Warmups,20
Runs,5
Random Operation Order,false
Outliers,1
Timeout,600s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,1
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,1126.440131092,1464.0596312530001,0.07426434999999999,600.0001220380001
2,1126.437064363,1461.335024462,0.073119243,600.000123743
3,1129.4045346530002,1463.6698105639998,0.07765864,600.000118563
4,1132.3618601800001,1465.067097432,0.089229495,600.0001127319999
5,1133.1675163310001,1462.673045555,0.077510072,600.000128058
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Queries per Second,Queries per Hour
/home/ubuntu/bench/queries/cat2-stardog/q1.rq,Remote SPARQL Query,88.599788636,3.852164723,88.60111004699999,3.852222175,3.8514149321883163E9,3.741374938,4.095762383,0.0066293307129938455,0.08142070199276007,0.25959042717986536,934.5255378475152
/home/ubuntu/bench/queries/cat2-stardog/q2.rq,Remote SPARQL Query,117.334449579,5.101497806999999,117.33693818100001,5.101606007,5.101169899378591E9,4.959512113,5.250851697,0.004661246021783552,0.06827331852036747,0.196016705058737,705.6601382114533
/home/ubuntu/bench/queries/cat2-stardog/q3.rq,Remote SPARQL Query,187.87720125400003,8.168573967,205.746828079,8.945514264,8.945358254852968E9,8.869383411000001,9.057840743,0.002921165592981632,0.05404780840128147,0.11178787160670722,402.43633778414596
/home/ubuntu/bench/queries/cat2-stardog/q4.rq,Remote SPARQL Query,585.260296983,25.446099868,3094.946521509,134.562892239,1.3453172102941608E11,127.85653233800001,140.29316268099998,8.709198648274645,2.95113514571506,0.007431469280727697,26.75328941061971
/home/ubuntu/bench/queries/cat2-stardog/q5.rq,Remote SPARQL Query,49.242512484,2.140978803,2603.453398511,113.193626022,1.1317276777849236E11,109.531436464,117.701194795,4.966779940431672,2.2286273668856516,0.008834419703152215,31.80391093134797
/home/ubuntu/bench/queries/cat2-stardog/q6.rq,Remote SPARQL Query,48.831414488,2.123104977,2250.3603108390002,97.841752645,9.780963305804793E10,93.336442763,101.385337317,6.51641785130083,2.552727531739498,0.010220585516577037,36.79410785967733
/home/ubuntu/bench/queries/cat2-stardog/q7.rq,Remote SPARQL Query,6.6737244,0.29016192999999996,7.057961086000001,0.30686787299999996,3.059913680660304E8,0.29204965299999996,0.38755294900000004,6.323226522194965E-4,0.025146026569211617,3.2587314866942756,11731.433352099391
/home/ubuntu/bench/queries/cat2-stardog/q8.rq,Remote SPARQL Query,127.667996695,5.550782465,165.139312155,7.179970093,7.178689388542923E9,7.08886532,7.64558065,0.019785347500750977,0.14066039776977374,0.1392763461473098,501.3948461303152
/home/ubuntu/bench/queries/cat2-stardog/q9.rq,Remote SPARQL Query,2.183135738,0.09491894499999999,2.184156968,0.094963346,8.814603027464665E7,0.073119243,0.34524001299999996,0.003112466837815173,0.055789486803654795,10.530378742130674,37909.363471670425
/home/ubuntu/bench/queries/cat2-stardog/q10.rq,Remote SPARQL Query,1647.715216006,71.639792,1904.09285543,82.786645888,8.277793017154301E10,81.003482623,85.627230742,1.51470954171388,1.230735366239989,0.012079242844949599,43.48527424181855
/home/ubuntu/bench/queries/cat2-stardog/q11.rq,Remote SPARQL Query,894.592950315,38.895345665,896.769632294,38.989984012,3.8982937218261444E10,37.565770335,40.383115377,0.5730670470039779,0.7570119199880395,0.02564761246612024,92.33140487803286
/home/ubuntu/bench/queries/cat2-stardog/q12.rq,Remote SPARQL Query,159.985856726,6.9559068139999995,192.640825369,8.375688059,8.373979280950972E9,8.163851318,8.998329108,0.030692944976750236,0.1751940209503459,0.11939317617320543,429.81543422353957
/home/ubuntu/bench/queries/cat2-stardog/q13.rq,Remote SPARQL Query,2653.36742818,115.363801225,2660.630442276,115.67958444599999,1.1565592131372078E11,111.453425078,119.492944798,5.69856329544898,2.3871663736423945,0.008644567706472067,31.120443743299443
/home/ubuntu/bench/queries/cat2-stardog/q14.rq,Remote SPARQL Query,3756.428905353,163.322995884,3762.756416195,163.598105051,1.6356202043850208E11,156.795467395,168.597078065,12.28216090625389,3.504591403609541,0.006112540238092981,22.00514485713473
/home/ubuntu/bench/queries/cat2-stardog/q15.rq,Remote SPARQL Query,446.97992445799997,19.433909759,446.98096276,19.433954902,1.9409039272541286E10,18.836983312,23.179719314000003,1.1050259689725637,1.0512021541894612,0.051456330172768246,185.2427886219657
/home/ubuntu/bench/queries/cat2-stardog/q16.rq,Remote SPARQL Query,70.53283357400001,3.066644938,70.53379162200001,3.066686592,3.0664179544146085E9,3.019179983,3.182636247,0.001745851577509544,0.04178338877484142,0.3260848378209494,1173.905416155418
/home/ubuntu/bench/queries/cat2-stardog/q17.rq,Remote SPARQL Query,23.579768882,1.0252073419999999,23.58073988,1.02524956,1.0247068151723605E9,0.992061898,1.1447035479999998,0.0012200403217089493,0.03492907559196134,0.9753722791161208,3511.3402048180346
/home/ubuntu/bench/queries/cat2-stardog/q18.rq,Remote SPARQL Query,907.720432555,39.466105763,907.721508945,39.466152562000005,3.946519819771835E10,39.097440057,40.114946684,0.0791127451581536,0.28126987957858834,0.025338167900431478,91.21740444155331
/home/ubuntu/bench/queries/cat2-stardog/q19.rq,Remote SPARQL Query,68.212466282,2.965759403,68.21344237400001,2.965801842,2.965751163441195E9,2.9385700590000003,3.013999167,3.1535601606395944E-4,0.017758266133380236,0.33717694346215865,1213.8369964637711
/home/ubuntu/bench/queries/cat2-stardog/q20.rq,Remote SPARQL Query,23.061986947,1.002695084,23.062971946,1.00273791,1.0026590929122242E9,0.985257778,1.045466067,1.6738361409821486E-4,0.012937681944545353,0.9972695656834197,3590.170436460311
/home/ubuntu/bench/queries/cat2-stardog/q21.rq,Remote SPARQL Query,13800.003118142,600.0001355710001,13800.003118142,600.0001355710001,6.000001355713909E11,600.0001127319999,600.000189093,2.8835033785988834E-10,1.698088153953994E-5,0.0016666662900806403,5.999998644290305
/home/ubuntu/bench/queries/cat2-stardog/q22.rq,Remote SPARQL Query,62.017820976,2.6964269979999997,62.018973706,2.6964771169999997,2.6963776677026467E9,2.652745264,2.752946916,5.618136909215166E-4,0.023702609369466405,0.3708542504201048,1335.075301512377
/home/ubuntu/bench/queries/cat2-stardog/q23.rq,Remote SPARQL Query,23.259887208,1.011299443,23.260854969,1.01134152,1.0112806816934084E9,0.985253438,1.0318717549999998,1.283469862529371E-4,0.011329032891334417,0.9887856675754794,3559.628403271726
/home/ubuntu/bench/queries/cat2-stardog/q24.rq,Remote SPARQL Query,23.404065993,1.017568086,23.406064620000002,1.0176549830000001,1.0175164028695035E9,0.9892270280000001,1.0612593240000001,2.9783743910652253E-4,0.01725796740947562,0.9826513078647204,3537.544708312994
