Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour,Actual Operation Mixes per Hour
30.796916923,10.265638974,38.113243753,259.912796419,12.704414584,86.637598806,12.704309462588137,12.631802183,12.747413999,0.0039992197341945975,0.06323938435970575,283.36606745609964,41.552398145996236
Options Summary,
Query Endpoint,http://localhost:5820/opoceGen10b/query
Update Endpoint,http://localhost:5820/opoceGen10b/update
Graph Store Endpoint,null
Sanity Checking Level,0
Warmups,20
Runs,5
Random Operation Order,true
Outliers,1
Timeout,10s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,1000
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,10.223773391,12.596787216000001,0.006422823,10.000162348
2,10.218413149,12.734027571,0.006473944000000001,10.00015948
3,10.274852573,12.631802183,0.007965978,10.000157947
4,10.303651201000001,12.747413999,0.005681797000000001,10.000160976
5,10.295569943,13.157136419,0.007626330000000001,10.000121569000001
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Operations per Second,Actual Operations per Second,Operations per Hour,Actual Operations per Hour
/home/ubuntu/bench/queries/cat3/q1.rq,Remote SPARQL Query,3.903178086,0.169703395,53.144615934,50.69053127,2.310635475,2.203936142,2.0317427358726E9,0.329873995,3.377630215,0.7795634537351416,0.8829289063877914,0.43278137586803905,0.4537336545025904,1558.0129531249406,1633.4411562093255
/home/ubuntu/bench/queries/cat3/q2.rq,Remote SPARQL Update,230.003388366,10.00014732,230.003388366,214.480362594,10.00014732,9.325233156,1.0000147320253824E10,10.000130627,10.000174819,1.4674605546732255E-10,1.2113878630204389E-5,0.09999852682170286,0.10723592464351248,359.99469655813033,386.04932871664494
/home/ubuntu/bench/queries/cat3/q3.rq,Remote SPARQL Update,0.169005765,0.007348076,0.169005765,0.199414738,0.007348076,0.008670206,7323145.386096858,0.006422823,0.008901325,3.909618549972925E-7,6.252694259255705E-4,136.09004588411986,115.33751331859935,489924.1651828315,415215.0479469577
/home/ubuntu/bench/queries/cat3/q4.rq,Remote SPARQL Update,0.207370908,0.009016126,0.207370908,0.453686026,0.009016126,0.019725479,8985249.709277892,0.00784526,0.010425773,5.867283674058932E-7,7.659819628463148E-4,110.91238077196348,50.69585382438621,399284.57077906857,182505.07376779037
/home/ubuntu/bench/queries/cat3/q5.rq,Remote SPARQL Update,0.733136576,0.031875503,0.733136576,0.711781396,0.031875503,0.030947017,3.063558697373061E7,0.022932721,0.060990651,1.1182865411857975E-4,0.01057490681370667,31.372053956293648,32.313292101788036,112939.39424265713,116327.85156643692
