Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour,Actual Operation Mixes per Hour
2619.359566308,873.1198554360001,2619.368887967,5402.48649011,873.122962655,1800.8288300360002,872.2450244208976,844.113832107,929.054764978,2347.3632108233733,48.4495945372443,4.123130594404582,1.999079501591516
Options Summary,
Query Endpoint,http://opoce.mondeca.com:3030/oracle/sparql
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,0
Warmups,20
Runs,5
Random Operation Order,true
Outliers,1
Timeout,60s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,20
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,844.112126807,844.113832107,0.131013895,60.00023158
2,846.196598265,846.200290882,0.012591591,60.000216305
3,843.580448236,843.58151161,0.050987349,60.000199384
4,930.804584043,930.805149004,0.38790409,60.00020279100001
5,929.050841236,929.054764978,1.1091438009999999,60.000204786000005
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Operations per Second,Actual Operations per Second,Operations per Hour,Actual Operations per Hour
/home/mondeca/bench/cmd/queries/group1/oracle/q1.rq,Remote SPARQL Query,116.754417217,5.076279009,116.754417217,176.809769155,5.076279009,7.687381267,1.3381839548760433E8,0.044895929,60.000159556999996,269.8583598094273,16.42736618601495,0.19699468808295362,0.13008330994232709,709.180877098633,468.2999157923775
/home/mondeca/bench/cmd/queries/group1/oracle/q2.rq,Remote SPARQL Query,146.11493077499998,6.352823077,146.11493077499998,146.175242546,6.352823077,6.355445328,1.402589037817206E8,0.045138827,60.000202701,313.2107503445737,17.69776116757636,0.15741033362324186,0.15734538626181382,566.6772010436707,566.4433905425298
/home/mondeca/bench/cmd/queries/group1/oracle/q3.rq,Remote SPARQL Query,1380.0042946649999,60.000186724,1380.0042946649999,1440.250552841,60.000186724,62.619589253,6.000018672455859E10,60.000159561000004,60.000283838,8.62360288403767E-10,2.9365971606670313E-5,0.016666614799050305,0.015969443618669085,59.999813276581094,57.4899970272087
/home/mondeca/bench/cmd/queries/group1/oracle/q4.rq,Remote SPARQL Query,81.078847719,3.525167292,81.078847719,141.106428168,3.525167292,6.135062094,4.280068320721589E7,0.012591591,54.991392700999995,152.1965908786162,12.33679824259991,0.28367448043370763,0.1629975352617841,1021.2281295613474,586.7911269424227
/home/mondeca/bench/cmd/queries/group1/oracle/q5.rq,Remote SPARQL Query,645.172523666,28.050979289,645.174996383,728.5187078260001,28.051086799,31.674726427000003,2.6570326530282124E10,23.350153294,60.000153712,133.97616386274802,11.574807292683019,0.03564924265378728,0.031570911979450764,128.3372735536342,113.65528312602274
/home/mondeca/bench/cmd/queries/group1/oracle/q6.rq,Remote SPARQL Query,625.176518559,27.181587763,625.178895381,706.642387346,27.181691103000002,30.723582058,2.5437961827643948E10,21.538922795999998,60.000153121000004,144.82698114062904,12.034408217300468,0.03678946965480126,0.03254828809063342,132.44209075728455,117.1738371262803
/home/mondeca/bench/cmd/queries/group1/oracle/q7.rq,Remote SPARQL Query,637.015350919,27.696319605,637.0176172390001,660.419313625,27.696418140000002,28.713883201,2.6546543951603428E10,23.33820189,60.000158751,106.80578855971761,10.334688604874247,0.036105751832067046,0.034826358838332724,129.98070659544135,125.37489181799782
/home/mondeca/bench/cmd/queries/group1/oracle/q8.rq,Remote SPARQL Query,681.929746851,29.649119428000002,681.9318841500001,765.030656291,29.649212354,33.262202447,2.77097245556512E10,23.163691066,60.000181065,174.33545373794905,13.203615176835056,0.03372770878566321,0.03006415469911832,121.41975162838756,108.23095691682596
/home/mondeca/bench/cmd/queries/group1/oracle/q9.rq,Remote SPARQL Query,685.105303695,29.787187117000002,685.107566835,768.361987583,29.787285514,33.407042938,2.805381773009336E10,23.270417883999997,60.000182679,151.52887623294671,12.30970658598111,0.03357137056110738,0.02993380772599048,120.85693401998658,107.76170781356574
/home/mondeca/bench/cmd/queries/group1/oracle/q10.rq,Remote SPARQL Query,82.524652785,3.588028381,82.527373539,142.795199147,3.588146675,6.208486919,6.049907867772009E8,0.24906410399999998,39.676410036,95.15634867808883,9.754811565483406,0.27869540756719485,0.16106984085601808,1003.3034672419014,579.8514270816651
/home/mondeca/bench/cmd/queries/group1/oracle/q11.rq,Remote SPARQL Query,154.64216643799998,6.723572453,154.64607884699998,190.598026734,6.723742558,8.286870727,1.8855943747866604E8,0.027494126,53.085135858,250.95109604660928,15.841436047486644,0.1487266937087272,0.12067281280759383,535.416097351418,434.42212610733776
/home/mondeca/bench/cmd/queries/group1/oracle/q12.rq,Remote SPARQL Query,705.1190421580001,30.657349659,705.16282983,730.004503069,30.65925347,31.73932622,2.8864417832774555E10,24.676716009,60.000187477,164.08845961219657,12.80970177686415,0.032616580210555274,0.03150665496389356,117.41968875799897,113.42395787001682
/home/mondeca/bench/cmd/queries/group1/oracle/q13.rq,Remote SPARQL Query,171.68908366,7.464742767,171.69194445899998,185.719851393,7.46486715,8.074776147,2.4316715765127483E8,0.047737502,49.190343229999996,275.1812286677351,16.588587301748603,0.13396085689214174,0.12384244241514081,482.2590848117103,445.8327926945069
/home/mondeca/bench/cmd/queries/group1/oracle/q14.rq,Remote SPARQL Query,496.412514158,21.583152789,496.43305744,540.0022258920001,21.584045975000002,23.478357647,1.9374706397360123E10,15.959929114000001,60.000169925,175.6803615300606,13.254446858698428,0.04633051658425222,0.04259241702657073,166.789859703308,153.33270129565466
/home/mondeca/bench/cmd/queries/group1/oracle/q15.rq,Remote SPARQL Query,143.076887196,6.220734225,143.076887196,203.466828255,6.220734225,8.846383837,1.0205067461496435E8,0.023416357999999998,51.988751656,212.70577667793125,14.584436111071668,0.16075272850931033,0.11304053932381954,578.7098226335172,406.94594156575033
/home/mondeca/bench/cmd/queries/group1/oracle/q16.rq,Remote SPARQL Query,145.965720262,6.346335663,145.968651467,197.18204183100002,6.346463107,8.573132252999999,7.868139691965437E7,0.01267365,50.381259486000005,244.15283072923694,15.625390578453933,0.1575680789662235,0.11664348227569564,567.2450842784045,419.9165361925043
/home/mondeca/bench/cmd/queries/group1/oracle/q17.rq,Remote SPARQL Query,97.748285455,4.249925454,97.75122374899999,157.978010763,4.250053206,6.868609163,4.7574525632569414E8,0.183697583,49.006382126,130.72872300683355,11.433666210224677,0.23529117202303562,0.1455898823573811,847.0482192829282,524.123576486572
/home/mondeca/bench/cmd/queries/group1/oracle/q18.rq,Remote SPARQL Query,174.20334708000001,7.574058568000001,174.301343154,234.389544637,7.5783192669999995,10.190849766,2.561822076414249E8,0.08022668899999999,60.000170428,386.0193345160563,19.64737474870514,0.1319553801796828,0.09812724384735082,475.03936864685807,353.25807785046294
/home/mondeca/bench/cmd/queries/group1/oracle/q19.rq,Remote SPARQL Query,148.267274212,6.446403226,148.267274212,208.319748821,6.446403226,9.057380383,9.565054444143233E7,0.022843540000000002,60.000163822000005,286.68410607319333,16.93174846473905,0.15512526364574017,0.11040719918056245,558.4509491246646,397.4659170500248
/home/mondeca/bench/cmd/queries/group1/oracle/q20.rq,Remote SPARQL Query,123.969366589,5.38997246,123.971838149,184.06882704900002,5.390079919,8.00299248,2.8665533631530607E8,0.06719932799999999,49.325912414,203.8498260491621,14.277598749410284,0.18552600611263775,0.12495325998357056,667.8936220054959,449.831735940854
