Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour,Actual Operation Mixes per Hour
876.991376911,292.33045897,877.0026066649999,5543.387039356,292.334202221,1847.795679785,292.0488536136454,275.172567249,306.04724842800005,247.23105783568457,15.723582856196755,12.314672633749701,1.9482673541150815
Options Summary,
Query Endpoint,http://opoce1.mondeca.com:8000/v1/graphs/sparql?database=opoceProd
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,0
Warmups,20
Runs,5
Random Operation Order,true
Outliers,1
Timeout,60s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,20
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,263.309367673,263.31701050099997,0.017409568,60.000119704999996
2,275.169338553,275.172567249,0.007533168,60.000122655
3,295.777796729,295.782790988,0.016008972,60.000115087
4,306.044241629,306.04724842800005,0.007102177,60.000117255999996
5,337.750746091,337.759295662,0.009498085,60.001797583
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Operations per Second,Actual Operations per Second,Operations per Hour,Actual Operations per Hour
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q1.rq,Remote SPARQL Query,8.372598222,0.364026009,8.372598222,9.35071493,0.364026009,0.406552823,3.369787943406684E8,0.131313965,0.799263373,0.020989701738467866,0.1448782307265928,2.7470564610123778,2.4597049717202433,9889.403259644561,8854.937898192875
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q2.rq,Remote SPARQL Query,9.794770839,0.425859601,9.794770839,11.074394689999998,0.425859601,0.48149542100000003,3.9408981625598854E8,0.198299958,0.777591311,0.030558578392466867,0.1748101209669133,2.3481917459458663,2.0768629490248047,8453.49028540512,7476.706616489298
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q3.rq,Remote SPARQL Query,11.65166677,0.506594207,11.65166677,13.943361926,0.506594207,0.606233127,4.5633518751379174E8,0.19937983399999998,0.91205306,0.05249155806538494,0.22911036219556927,1.9739665124121721,1.6495304454056996,7106.27944468382,5938.309603460519
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q4.rq,Remote SPARQL Query,3.872379048,0.168364306,3.872379048,5.435121032,0.168364306,0.23630961,8.603882231939463E7,0.01287576,1.380048429,0.07888324466199166,0.2808616112287182,5.939501214705213,4.231736491799889,21382.204372938762,15234.2513704796
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q5.rq,Remote SPARQL Query,262.369165016,11.407354999999999,262.37220372400003,322.474838873,11.407487117999999,14.020645168,1.5896625865966902E9,0.013288375,60.000109822,424.3661933749517,20.60015032408627,0.08766172511578725,0.07132339403912372,315.5822104168341,256.7642185408454
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q6.rq,Remote SPARQL Query,22.820605539,0.99220024,22.823054193,25.993455306,0.992306704,1.13015023,5.493361989548188E8,0.009498085,2.777543161,0.6245244653123154,0.7902686032687338,1.0077529416751778,0.8848381157255527,3627.9105900306404,3185.4172166119897
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q7.rq,Remote SPARQL Query,30.398522486999997,1.32167489,30.402505403,42.019921720999996,1.3218480609999999,1.8269531179999998,7.503221831499975E8,0.031036015,6.349459103,2.735201944442614,1.653844595009644,0.7565165993763939,0.5473594205278343,2723.459757755018,1970.4939139002036
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q8.rq,Remote SPARQL Query,561.8066741949999,24.426377138,561.808045353,500.424415253,24.426436753999997,21.757583270999998,6.4866414125723915E9,0.390982474,60.000112996000006,763.0478919290726,27.623321522385258,0.04093924996392456,0.04596098691405992,147.38129987012843,165.45955289061573
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q9.rq,Remote SPARQL Query,26.328658967,1.144724302,26.331819388,86.37242546499999,1.144861712,3.755322846,4.2057747547264546E8,0.007533168,3.763395607,1.2901365808168483,1.1358417939206358,0.8734679389819615,0.2662886896835394,3144.4845803350613,958.6392828607419
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q10.rq,Remote SPARQL Query,1380.004311295,60.000187446999995,1380.004311295,1369.284048299,60.000187446999995,59.534089056,6.000018744662538E10,60.000097249999996,60.001797583,1.2333063834876861E-7,3.511846214582418E-4,0.016666614598218225,0.016797099205790526,59.99981255358561,60.46955714084589
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q11.rq,Remote SPARQL Query,0.8235316229999999,0.035805722000000005,0.826041559,0.9133865879999999,0.03591485,0.03971246,3.1489316414898794E7,0.007283367,0.074040318,2.788706793733317E-4,0.01669942152810485,27.843635710576546,25.181013717105415,100237.08855807557,90651.64938157948
