Total Response Time,Average Response Time (Arithmetic),Total Runtime,Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour
3600.00816352,1200.002721173,3600.00816352,1200.002721173,1200.0027211733307,1200.002666359,1200.0028236740002,7.892492096333335E-9,8.883969887574663E-5,2.9999931970829263
Options Summary,
Query Endpoint,http://opoce.mondeca.com:3030/oracle/sparql
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,0
Warmups,20
Runs,5
Random Operation Order,true
Outliers,1
Timeout,60s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,1
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,1146.634240792,1146.6343695419998,6.6318110180000005,60.000146944
2,1200.002893029,1200.002893029,60.000121549000006,60.000220975999994
3,1200.002666359,1200.002666359,60.000103774,60.000155607
4,1200.002673487,1200.002673487,60.00010444,60.000153394
5,1200.0028236740002,1200.0028236740002,60.000110665,60.000164056
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Queries per Second,Queries per Hour
/home/mondeca/bench/cmd/queries/group1/oracle/q1.rq,Remote SPARQL Query,1380.003685079,60.00016022,1380.003685079,60.00016022,6.000016022082233E10,60.000127289999995,60.000220975999994,4.838822040752719E-10,2.199732265697969E-5,0.016666622161229955,59.99983978042784
/home/mondeca/bench/cmd/queries/group1/oracle/q2.rq,Remote SPARQL Query,1380.003798149,60.00016513600001,1380.003798149,60.00016513600001,6.000016513691003E10,60.00013337,60.000194896,4.119733527121294E-10,2.0297126710747247E-5,0.016666620795681802,59.99983486445449
/home/mondeca/bench/cmd/queries/group1/oracle/q3.rq,Remote SPARQL Query,1380.003728136,60.000162092,1380.003728136,60.000162092,6.000016209286545E10,60.000132433,60.00021001,4.877518597453063E-10,2.2085104929461085E-5,0.01666662164123275,59.9998379084379
/home/mondeca/bench/cmd/queries/group1/oracle/q4.rq,Remote SPARQL Query,1380.003619859,60.000157385,1380.003619859,60.000157385,6.000015738516801E10,60.000103774,60.000218745,7.309337220786069E-10,2.7035785952670338E-5,0.016666622948725788,59.99984261541283
/home/mondeca/bench/cmd/queries/group1/oracle/q5.rq,Remote SPARQL Query,1380.003573904,60.000155387,1380.003573904,60.000155387,6.00001553871265E10,60.000122257,60.000203736,4.875202774181249E-10,2.2079861354141807E-5,0.016666623503722895,59.999844613402416
/home/mondeca/bench/cmd/queries/group1/oracle/q6.rq,Remote SPARQL Query,1328.105828561,57.743731676,1328.1059959909999,57.743738956,5.499797459736757E10,8.102546527000001,60.000186002,117.10269353970747,10.82139979576152,0.01731789485890388,62.34442149205396
/home/mondeca/bench/cmd/queries/group1/oracle/q7.rq,Remote SPARQL Query,1380.0037311160002,60.000162222,1380.0037311160002,60.000162222,6.000016222243149E10,60.000128443,60.000191594,4.116044213940796E-10,2.028803641050754E-5,0.016666621605121834,59.9998377784386
/home/mondeca/bench/cmd/queries/group1/oracle/q8.rq,Remote SPARQL Query,1380.003690583,60.00016046,1380.003690583,60.00016046,6.0000160460126366E10,60.00012349,60.000200062000005,5.107270781149401E-10,2.2599271627973767E-5,0.016666622094563648,59.99983954042913
/home/mondeca/bench/cmd/queries/group1/oracle/q9.rq,Remote SPARQL Query,1327.792987386,57.730129886,1327.793148772,57.730136903,5.490387475037331E10,7.789611051,60.000297532999994,118.51919589996022,10.886652189721145,0.017321975204739798,62.35911073706327
/home/mondeca/bench/cmd/queries/group1/oracle/q10.rq,Remote SPARQL Query,1380.00359043,60.000156105,1380.00359043,60.000156105,6.0000156105649506E10,60.000121549000006,60.000182118999994,3.2364441657284764E-10,1.79901199710521E-5,0.016666623304279485,59.999843895406144
/home/mondeca/bench/cmd/queries/group1/oracle/q11.rq,Remote SPARQL Query,1380.0035429539998,60.000154041,1380.0035429539998,60.000154041,6.000015404147475E10,60.000119988,60.000188212,3.937494484914011E-10,1.98431209362691E-5,0.016666623877609855,59.99984595939547
/home/mondeca/bench/cmd/queries/group1/oracle/q12.rq,Remote SPARQL Query,1380.003775809,60.000164165,1380.003775809,60.000164165,6.000016416560539E10,60.000124636,60.000198019,4.346413685886326E-10,2.0848054311820867E-5,0.016666621065402547,59.99983583544917
/home/mondeca/bench/cmd/queries/group1/oracle/q13.rq,Remote SPARQL Query,1380.003613284,60.000157099,1380.003613284,60.000157099,6.000015709930014E10,60.000108741,60.000196556000006,5.178463500784696E-10,2.275623760814756E-5,0.016666623028169816,59.999842901411334
/home/mondeca/bench/cmd/queries/group1/oracle/q14.rq,Remote SPARQL Query,1380.00370267,60.000160985,1380.00370267,60.000160985,6.000016098564959E10,60.000138297,60.000196134999996,3.2393648885546136E-10,1.7998235715076668E-5,0.016666621948731093,59.99983901543193
