Total Response Time,Average Response Time (Arithmetic),Total Runtime,Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour
338.250697554,112.750232518,338.253000385,112.751000128,112.7499607776598,112.332070991,113.43013545,0.3522168328037251,0.5934785866429598,31.928763345009074
Options Summary,
Query Endpoint,http://opoce.mondeca.com:3030/oracle/sparql
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,0
Warmups,20
Runs,5
Random Operation Order,true
Outliers,1
Timeout,60s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,1
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,113.859833862,113.86072954800001,0.015828449,25.571647417
2,112.331261107,112.332070991,0.013376001,24.617297502
3,112.490082861,112.490793944,0.016661273,24.729141639
4,112.08933159099999,112.090031961,0.012028065,24.633777668
5,113.42935358599999,113.43013545,0.015572704,24.644027633
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Queries per Second,Queries per Hour
/home/mondeca/bench/cmd/queries/group1/oracleopti/q1.rq,Remote SPARQL Query,2.030769305,0.08829431700000001,2.030769305,0.08829431700000001,8.083961841082184E7,0.057507013999999995,0.20511093600000002,0.001867434660782917,0.04321382488027318,11.325757239845911,40772.726063445276
/home/mondeca/bench/cmd/queries/group1/oracleopti/q2.rq,Remote SPARQL Query,1.7370361330000001,0.07552331,1.7370361330000001,0.07552331,7.356846910220525E7,0.060405560999999997,0.156456299,4.2906284778858344E-4,0.02071383228155967,13.240945080399682,47667.402289438854
/home/mondeca/bench/cmd/queries/group1/oracleopti/q3.rq,Remote SPARQL Query,1.5755526,0.068502286,1.5755526,0.068502286,6.637980800576734E7,0.048260814000000006,0.12999702700000001,4.0000077209915324E-4,0.02000001930246952,14.598052975925505,52552.99071333182
/home/mondeca/bench/cmd/queries/group1/oracleopti/q4.rq,Remote SPARQL Query,0.738494352,0.03210845,0.738494352,0.03210845,1.9900600590878338E7,0.013748102,0.346594474,0.004713685427446457,0.06865628469008833,31.14444951406873,112120.01825064742
/home/mondeca/bench/cmd/queries/group1/oracleopti/q5.rq,Remote SPARQL Query,563.374109895,24.494526516999997,563.375534808,24.494588469,2.4446795892358704E10,23.273005099000002,29.567121893,2.6860706790089104,1.6389236342822415,0.04082534398426761,146.9712383433634
/home/mondeca/bench/cmd/queries/group1/oracleopti/q6.rq,Remote SPARQL Query,711.4074887390001,30.930760379,711.408460323,30.930802621999998,2.7912030444909992E10,21.26762639,60.000194697,261.25524094688126,16.163392000037653,0.0323302312009432,116.3888323233955
/home/mondeca/bench/cmd/queries/group1/oracleopti/q7.rq,Remote SPARQL Query,268.014710983,11.652813521,268.016483322,11.652890579000001,1.161732751678013E10,11.174394184999999,14.883168513000001,1.0008237163003306,1.0004117733715108,0.08581561744020216,308.9362227847278
/home/mondeca/bench/cmd/queries/group1/oracleopti/q8.rq,Remote SPARQL Query,269.30074884100003,11.708728209999999,269.302075959,11.708785911000001,1.1663868914572618E10,11.175122845,15.315041491,1.2920065098765732,1.1366646426614022,0.08540595136004105,307.4614248961478
/home/mondeca/bench/cmd/queries/group1/oracleopti/q9.rq,Remote SPARQL Query,269.19429821600005,11.704099922,269.195569307,11.704155187,1.1665200364601809E10,11.164725511,15.05672224,1.1074315990415948,1.0523457602145765,0.08543974204227202,307.5830713521793
/home/mondeca/bench/cmd/queries/group1/oracleopti/q10.rq,Remote SPARQL Query,9.556767397,0.415511625,9.558235599,0.41557546,3.0959481506198275E8,0.224769553,2.196676715,0.2700380802561555,0.51965188372232,2.4063018543010215,8662.686675483677
