Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour,Actual Operation Mixes per Hour
721.205915806,240.401971935,721.210990229,5069.523794118,240.403663409,1689.841264706,240.4036247713756,240.30243010299998,240.596363279,0.02787377705290319,0.1669544160928461,14.974813399059155,2.1303776130868313
Options Summary,
Query Endpoint,http://opoce.mondeca.com:7200/repositories/opoceProdRdfsPlus
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,0
Warmups,20
Runs,5
Random Operation Order,true
Outliers,1
Timeout,60s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,5
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,240.299375179,240.300649186,0.003447577,60.000184223999995
2,241.388286639,241.389959466,0.005122909,60.000316985
3,240.594630266,240.596363279,0.005402361,60.000203312
4,240.310357789,240.31219684700002,0.005140273999999999,60.000159117
5,240.30092775100002,240.30243010299998,0.005056164,60.000202469
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Operations per Second,Actual Operations per Second,Operations per Hour,Actual Operations per Hour
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q1.rq,Remote SPARQL Query,1.798578467,0.078199063,1.798578467,4.478043429,0.078199063,0.19469754,6.564463000429425E7,0.038275524,0.284979942,0.0038033343592260623,0.061671179324106186,12.787877010751394,5.136171725641732,46036.35723870502,18490.218212310232
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q2.rq,Remote SPARQL Query,2.019332717,0.08779707399999999,2.019332717,2.348771539,0.08779707399999999,0.102120501,7.227372635089563E7,0.035943011,0.257929878,0.004523611301146794,0.06725779732601117,11.389901216981333,9.792353055533873,41003.6443811328,35252.47099992194
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q3.rq,Remote SPARQL Query,1380.003705661,60.000161115000004,1380.003705661,1381.6292102950001,60.000161115000004,60.07083523,6.000016111569333E10,60.000128887,60.000202469,2.535367132354892E-10,1.5922836218321446E-5,0.016666621912620173,0.0166470134162641,59.99983888543263,59.92924829855075
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q4.rq,Remote SPARQL Query,1380.003785562,60.000164589,1380.003785562,1381.513974386,60.000164589,60.065824973000005,6.0000164589641335E10,60.000122214,60.000301967,1.3713755115508136E-9,3.703208759374516E-5,0.016666620947625416,0.016648401989808794,59.99983541145149,59.93424716331165
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q5.rq,Remote SPARQL Query,0.24251119299999999,0.010543964000000001,0.248400426,1.0653591839999998,0.010800018,0.046319964,1.0672066327632006E7,0.007964075000000001,0.015798862,3.0773627430106265E-6,0.0017542413582545095,92.59243827186214,21.588963238399753,333332.7777787037,77720.26765823911
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q6.rq,Remote SPARQL Query,0.24463889,0.010636473,0.249280507,0.664940428,0.010838282,0.028910453,1.0603526830165567E7,0.006663422,0.016662398,5.525860387765992E-6,0.002350714867389491,92.2655454065506,34.58956523441539,332155.96346358216,124522.43484389539
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q7.rq,Remote SPARQL Query,0.259949793,0.011302164,0.26536171999999997,0.449520819,0.011537466,0.019544383,1.1211125812709602E7,0.008062338,0.019188934,8.68122794948808E-6,0.0029463923617685547,86.67414491188967,51.165595762219766,312026.9216828028,184196.14474399117
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q8.rq,Remote SPARQL Query,0.263893576,0.011473632999999999,0.26897488399999997,0.599388528,0.01169456,0.02606037,1.1276455179472264E7,0.008782303,0.024287355,1.4277208389244695E-5,0.0037785193382123498,85.50984389322899,38.37244060617712,307835.43801562436,138140.78618223764
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q9.rq,Remote SPARQL Query,0.244546003,0.010632434,0.25031981200000003,0.30127944500000003,0.010883470000000001,0.013099106000000001,1.0716774201404063E7,0.00865809,0.015989062000000002,4.171503843846355E-6,0.002042425970224222,91.88246028150947,76.34108770476396,330776.8570134341,274827.9157371503
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q10.rq,Remote SPARQL Query,1380.00374294,60.000162736,1380.00374294,1385.242392282,60.000162736,60.227930099,6.00001627365151E10,60.000122016,60.000230774,8.105687468206294E-10,2.847048905130766E-5,0.01666662146234483,0.01660359235916367,59.99983726444138,59.77293249298921
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q11.rq,Remote SPARQL Query,0.134228389,0.005836016,0.138244468,0.165357009,0.006010629,0.007189434999999999,5942651.221044875,0.0047569,0.008483359999999999,9.31245377964407E-7,9.650105584730185E-4,166.371938777123,139.09298853108766,598938.9795976428,500734.7587119155
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q12.rq,Remote SPARQL Query,1.531851512,0.066602239,1.5357652499999999,5.811949508,0.066772402,0.252693456,6.2831757114281245E7,0.036456787,0.212070659,0.0010803438920293268,0.03286858518447861,14.976247222617513,3.9573640561550594,53914.490001423044,14246.510602158214
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q13.rq,Remote SPARQL Query,0.31449093699999997,0.013673519,0.316896594,0.404891932,0.013778112,0.017603997,1.3569037289934766E7,0.009509124,0.018683023,6.167932287675815E-6,0.0024835322199794015,72.57888453802668,56.80528120971618,261283.98433689607,204499.01235497824
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q14.rq,Remote SPARQL Query,0.291005278,0.012652403,0.293235469,0.8279829009999999,0.012749368,0.035999256,1.2492645116339006E7,0.008842243,0.017244776000000003,6.942428031763266E-6,0.002634848768290747,78.43526047722523,27.778351863716296,282366.9377180108,100002.06670937866
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q15.rq,Remote SPARQL Query,0.193764566,0.008424546,0.195977228,0.292767469,0.008520749000000001,0.01272902,7074499.490267256,0.005022406,0.050858732000000004,8.700302012719123E-5,0.009327540947494748,117.36057475698438,78.560643317396,422498.06912514375,282818.3159426256
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q16.rq,Remote SPARQL Query,0.187795055,0.008165002,0.190116738,0.23518934100000002,0.008265945,0.010225623000000001,8077610.892109786,0.006230951,0.013258056,3.8530450001456625E-6,0.0019629174715574934,120.97830314622223,97.79355252975783,435521.89132640004,352056.7891071282
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q17.rq,Remote SPARQL Query,0.466958384,0.020302538,0.47086444699999996,0.615939382,0.020472366999999998,0.026779973,1.818976805388991E7,0.012407939000000002,0.06401955100000001,1.9131586499990475E-4,0.01383169783504197,48.846330275341394,37.341337125321225,175846.78899122903,134428.8136511564
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q18.rq,Remote SPARQL Query,1.964509964,0.085413476,1.967330795,3.426685402,0.08553612099999999,0.148986321,8.043728319274345E7,0.066646384,0.23716278,0.001598895409635545,0.039986190236574744,11.690967375057843,6.712025595960585,42087.48255020824,24163.292145458105
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q19.rq,Remote SPARQL Query,1380.004040778,60.000175686000006,1380.004040778,1442.122526032,60.000175686000006,62.700979392,6.000017568599602E10,60.000146555,60.000253242,5.093423492912343E-10,2.2568614252789964E-5,0.016666617865142893,0.015948714193890084,59.99982431451442,57.4153710980043
