Total Response Time,Average Response Time (Arithmetic),Total Runtime,Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour
720.886950008,240.295650002,720.889977378,240.296659126,240.29665900165182,240.290733566,240.307578627,8.9643605057041E-5,0.009468030685260849,14.981481694726073
Options Summary,
Query Endpoint,http://opoce.mondeca.com:7200/repositories/opoceProd
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,0
Warmups,20
Runs,5
Random Operation Order,true
Outliers,1
Timeout,60s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,1
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,240.290537834,240.291665185,0.00581137,60.000407698000004
2,240.306634706,240.307578627,0.005546138,60.000170083
3,240.28977746799998,240.290733566,0.005125845,60.000164707
4,240.308702992,240.309822836,0.004877964,60.000241523999996
5,240.287797034,240.28884031599998,0.006465351,60.000353260000004
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Queries per Second,Queries per Hour
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q1.rq,Remote SPARQL Query,0.668065216,0.029046313,0.668065216,0.029046313,2.8419829288128685E7,0.020325671,0.044669954,3.925456989480744E-5,0.0062653467497663234,34.4277774600859,123939.99885630923
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q2.rq,Remote SPARQL Query,0.786551515,0.034197891,0.786551515,0.034197891,3.173183338768755E7,0.024352317,0.12001015599999999,3.792596366752654E-4,0.01947458951236881,29.241569311978918,105269.6495231241
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q3.rq,Remote SPARQL Query,1380.003805814,60.00016547,1380.003805814,60.00016547,6.000016547015222E10,60.000105746,60.000353260000004,2.710007699741749E-9,5.205773429320325E-5,0.01666662070290454,59.99983453045634
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q4.rq,Remote SPARQL Query,1380.003585236,60.000155879,1380.003585236,60.000155879,6.000015587982316E10,60.000112644,60.000182099999996,3.1361020365173727E-10,1.7709042990848975E-5,0.016666623367056935,59.99984412140497
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q5.rq,Remote SPARQL Query,0.313866392,0.013646364,0.31774192799999995,0.013814866,1.3372086866455518E7,0.009569117,0.021425042999999998,1.4045364550354525E-5,0.0037477145769594738,72.38579078508616,260588.84682631015
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q6.rq,Remote SPARQL Query,0.25382402200000004,0.011035827,0.257378448,0.011190367,1.0853376721513333E7,0.008309175,0.019418887000000003,9.591204544589222E-6,0.003096966991201104,89.36257407822282,321705.26668160217
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q7.rq,Remote SPARQL Query,0.255778773,0.011120816,0.259754914,0.011293691000000002,1.0979372407073278E7,0.008494087,0.018679839,8.809496653452539E-6,0.002968079623839721,88.54501154671222,318762.041568164
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q8.rq,Remote SPARQL Query,0.313459088,0.013628656,0.318200655,0.013834811,1.3397906957211448E7,0.008450030999999998,0.023343088,1.3497826188096449E-5,0.0036739387839342737,72.28143557580945,260213.16807291404
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q9.rq,Remote SPARQL Query,0.252511749,0.010978771,0.256111043,0.011135262000000002,1.0841646061458418E7,0.007895843,0.021041337,8.22861759572602E-6,0.0028685567095189215,89.80480207829864,323297.2874818751
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q10.rq,Remote SPARQL Query,1380.003434592,60.00014933,1380.003434592,60.00014933,6.000014933008105E10,60.000108778000005,60.000241523999996,7.291010965379906E-10,2.700187209320847E-5,0.01666662518621435,59.99985067037166
