Total Response Time,Average Response Time (Arithmetic),Total Runtime,Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour
529.4537330239999,176.484577674,529.461491379,176.487163793,176.40117216874887,170.34518416,183.740828402,45.78770377895503,6.766661198771151,20.39808404549128
Options Summary,
Query Endpoint,http://opoce1.mondeca.com:8000/v1/graphs/sparql?database=opoceProd
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,0
Warmups,20
Runs,5
Random Operation Order,true
Outliers,1
Timeout,60s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,1
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,154.08608568399998,154.087952001,0.006001296,60.000110659
2,202.68727061899997,202.68961014599998,0.006982983,60.000102356000006
3,175.372520241,175.375478817,0.006181162,60.000096602999996
4,170.342463311,170.34518416,0.006824377,60.000109725
5,183.738749472,183.740828402,0.005427845,60.000117145
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Queries per Second,Queries per Hour
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q1.rq,Remote SPARQL Query,3.947612759,0.171635337,3.947612759,0.171635337,1.4714175281026143E8,0.048312424,0.344454413,0.007855454546424234,0.08863100217431953,5.826306036268044,20974.70173056496
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q2.rq,Remote SPARQL Query,3.859507756,0.167804685,3.859507756,0.167804685,1.4259913763182685E8,0.058167843,0.38432801499999997,0.010188369352209924,0.10093745267347459,5.95930918138549,21453.513052987764
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q3.rq,Remote SPARQL Query,5.073289711,0.22057781299999998,5.073289711,0.22057781299999998,1.851473015850145E8,0.062524682,0.449862283,0.015894993212863053,0.12607534736364226,4.533547533178235,16320.771119441646
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q4.rq,Remote SPARQL Query,1.239341269,0.053884403,1.239341269,0.053884403,3.469302541323337E7,0.006858694,0.16747472200000002,0.0016560784590425731,0.04069494390022639,18.55824588053801,66809.68516993684
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q5.rq,Remote SPARQL Query,10.273019913,0.446653039,10.274494482,0.446717151,1.7232699729194295E8,0.0061482460000000004,0.950227394,0.1211884942646645,0.34812137863777415,2.2385529585363964,8058.790650731026
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q6.rq,Remote SPARQL Query,11.356896493,0.493778108,11.357962686,0.49382446399999996,1.666887112358949E8,0.006402866,1.059386817,0.1609058107592205,0.40113066544359394,2.025011057370378,7290.03980653336
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q7.rq,Remote SPARQL Query,8.360427868999999,0.363496863,8.361652443,0.36355010600000004,1.1560389214779875E8,0.005772755,0.911249593,0.11895203900558803,0.34489424321897294,2.750652478148363,9902.348921334105
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q8.rq,Remote SPARQL Query,10.17864608,0.442549829,10.179956545,0.442606806,1.6134180296355575E8,0.006779354,0.91464345,0.12215596796635259,0.34950818011364565,2.259341669499768,8133.630010199165
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q9.rq,Remote SPARQL Query,7.6594285300000005,0.333018631,7.660690818,0.333073513,1.0001504401379612E8,0.006754318,0.886525149,0.10564885448806936,0.32503669714059885,3.0023402071001666,10808.4247455606
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q10.rq,Remote SPARQL Query,1287.4164927999998,55.974630121000004,1287.416802738,55.974643597000004,5.520511914155358E10,31.63035946,60.000112427,69.46328720821263,8.334463822479082,0.01786523210758944,64.31483558732198
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q11.rq,Remote SPARQL Query,0.517281487,0.022490499,0.517281487,0.022490499,1.763865033552934E7,0.0051809989999999995,0.040709852,1.67457637392449E-4,0.012940542391741122,44.46321978005023,160067.59120818085
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q12.rq,Remote SPARQL Query,193.413365471,8.409276759,193.46199337000002,8.411391016,7.986070287942422E9,3.384425611,11.699668487999999,6.154317759792233,2.4807897451803997,0.11888640037038078,427.99104133337084
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q13.rq,Remote SPARQL Query,16.290612981,0.70828752,16.291487923000002,0.708325561,2.989614587610355E8,0.016312393,1.571932939,0.34139733606617284,0.5842921666993087,1.4117801969312245,5082.408708952408
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q14.rq,Remote SPARQL Query,93.496155264,4.0650502280000005,93.500917551,4.065257283999999,2.525760797678629E9,0.49766636999999997,9.62240757,10.393816442075387,3.223944236812322,0.2459868909000644,885.5528072402319
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q15.rq,Remote SPARQL Query,4.09167714,0.17789900600000003,4.092457067,0.177932915,1.160272858092882E8,0.020471574,0.443903273,0.02087490823628782,0.14448151520622912,5.620095641101591,20232.34430796573
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q16.rq,Remote SPARQL Query,35.907427243,1.5611924879999999,35.908390752,1.5612343800000001,1.2028153168073123E9,0.043877383,2.5964972349999997,0.6191559670044433,0.7868646433818482,0.6405188181930761,2305.867745495074
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q17.rq,Remote SPARQL Query,16.130015669,0.701305029,16.131041056,0.7013496109999999,2.174169723164616E8,0.007294577,1.613303896,0.40656910202659097,0.6376277142867858,1.425822420538849,5132.960713939856
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q18.rq,Remote SPARQL Query,502.064798738,21.828904292,502.16679780100003,21.833339034,2.046791659459126E10,10.066436164,34.174140502,60.41781573021307,7.772889792748452,0.045801514758816705,164.88545313174015
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q19.rq,Remote SPARQL Query,1380.002565683,60.000111551,1380.002565683,60.000111551,6.000011155143314E10,60.000096602999996,60.000150298,2.1623414297995977E-10,1.4704902005112438E-5,0.016666635680335388,59.99988844920739
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q20.rq,Remote SPARQL Query,3.9572557280000002,0.172054596,3.957994582,0.17208672000000003,7.082612089838563E7,0.006481245,0.453052475,0.02415272684804926,0.15541147592134005,5.8110236513311415,20919.68514479211
