Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour,Actual Operation Mixes per Hour
1071.6459305110002,357.21531017,1071.65087437,5559.452111419,357.216958123,1853.1507038060001,356.04963925379474,336.30403649199997,398.805429105,1297.2147753446447,36.016867928022904,10.077909007781253,1.9426374728220006
Options Summary,
Query Endpoint,http://opoce.mondeca.com:5820/opoceProd/query
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,0
Warmups,20
Runs,5
Random Operation Order,true
Outliers,1
Timeout,60s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,20
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,324.315068835,324.316691884,0.007430514,60.000157352
2,336.53975214400003,336.541408773,0.006377936,60.000163964
3,336.302062982,336.30403649199997,0.008826038999999999,60.000177957
4,398.804115385,398.805429105,0.008763666,60.000181084999994
5,403.08793280599997,403.08953,0.009584557,60.000184524999995
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Operations per Second,Actual Operations per Second,Operations per Hour,Actual Operations per Hour
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q1.rq,Remote SPARQL Query,10.347528159,0.449892528,10.347528159,26.21331001,0.449892528,1.13970913,6.547110826465906E7,0.020343482000000003,3.185441879,0.90598405415897,0.9518319463849539,2.2227530749299307,0.8774168545969269,8001.911069747751,3158.700676548937
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q2.rq,Remote SPARQL Query,8.758357257,0.380798141,8.758357257,14.715643344,0.380798141,0.6398105799999999,5.041975637927308E7,0.016778937,3.642464362,0.9411455239525912,0.9701265504832816,2.626063240156417,1.562962588083492,9453.827664563101,5626.665317100572
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q3.rq,Remote SPARQL Query,1380.003440556,60.000149589,1380.003440556,1393.690099541,60.000149589,60.595221719,6.000014958938723E10,60.000103504,60.000201235,5.240348606874905E-10,2.2891807719957164E-5,0.01666662511427026,0.01650295141483811,59.99985041137295,59.410625093417195
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q4.rq,Remote SPARQL Query,8.513482027,0.37015139199999997,8.513482027,14.68529831,0.37015139199999997,0.63849123,2.867986782270069E7,0.011797755,5.337936092,1.5024400993966345,1.2257406330038318,2.7015972967082615,1.5661922247545985,9725.750268149743,5638.292009116554
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q5.rq,Remote SPARQL Query,19.024352599,0.827145765,19.029618434,48.253586184,0.8273747140000001,2.097982008,2.0409034788804054E8,0.11906311,15.2680484,9.91080090199894,3.148142452621695,1.2086422065830742,0.4766485108960954,4351.111943699067,1715.9346392259433
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q6.rq,Remote SPARQL Query,13.297100544000001,0.578134806,13.302943538,22.927329320000002,0.5783888490000001,0.996840405,3.916663986668697E7,0.008301698,7.979812689,2.896914707475614,1.7020325224494433,1.7289406628930355,1.003169609682906,6224.186386414928,3611.4105948584615
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q7.rq,Remote SPARQL Query,33.391896837,1.451821601,33.398391612,56.310318936,1.452103983,2.4482747359999997,2.8083487206808455E7,0.007814431,18.837638101,18.92964548656674,4.3508212427732245,0.6886559170053596,0.4084508920897512,2479.1613012192943,1470.4232115231043
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q8.rq,Remote SPARQL Query,8.966280269,0.38983827200000004,8.972200236,27.669145613,0.390095662,1.203006331,2.1212849618602273E8,0.112295744,3.22825138,0.537025998072518,0.7328205769985707,2.563473776850151,0.8312508207406931,9228.505596660543,2992.502954666495
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q9.rq,Remote SPARQL Query,18.112560383,0.787502625,18.117841883,25.32487491,0.787732255,1.1010815170000001,5.88829472927306E7,0.007023463,4.003305994,1.8450645704616573,1.3583315392280548,1.2694668698059088,0.9081979713224083,4570.080731301272,3269.51269676067
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q10.rq,Remote SPARQL Query,1380.003499489,60.000152151,1380.003499489,1444.172322803,60.000152151,62.790100991,6.000015215169242E10,60.000132881,60.000193720000006,4.033479718754784E-10,2.0083524886719427E-5,0.016666624402607175,0.01592607726723253,59.99984784938583,57.33387816203712
