Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour,Actual Operation Mixes per Hour
14.066838675000001,4.688946225,14.169996816000001,158.83556875,4.7233322719999995,52.945189583,4.723061609082419,4.656660292,4.778860003,0.0038263380564513808,0.06185740098364447,762.1737774708051,67.99484577076502
Options Summary,
Query Endpoint,http://opoce.mondeca.com:8890/sparql
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,0
Warmups,20
Runs,5
Random Operation Order,true
Outliers,1
Timeout,60s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,100
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,4.78748293,4.821813232999999,0.003738798,2.784318013
2,4.622285669,4.656660292,0.003691139,2.622738162
3,4.744722081,4.778860003,0.0032063229999999996,2.7947551969999997
4,4.6998309250000005,4.7344765209999995,0.00371241,2.705949584
5,4.618919398,4.653748193999999,0.00412456,2.62651612
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Operations per Second,Actual Operations per Second,Operations per Hour,Actual Operations per Hour
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q1.rq,Remote SPARQL Query,0.523334089,0.022753656,0.523334089,4.849751470999999,0.022753656,0.21085875899999998,2.252079376760568E7,0.015827661,0.030347744,1.0884829314933608E-5,0.003299216469850623,43.94898120987678,4.742511075861923,158216.3323555564,17073.039873102927
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q2.rq,Remote SPARQL Query,0.544626707,0.023679422,0.544626707,0.617753306,0.023679422,0.026858839,2.3455024041755393E7,0.019273888,0.032721597000000005,1.208349703273133E-5,0.003476132482045431,42.23076053123256,37.23169121345863,152030.73791243724,134034.08836845108
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q3.rq,Remote SPARQL Query,0.6005150730000001,0.026109351,0.6005150730000001,0.6931139080000001,0.026109351,0.030135387000000003,2.5607707619432226E7,0.021530591,0.046693884,3.60615788801361E-5,0.00600512938079906,38.30045411699433,33.18357915894692,137881.63482117958,119460.8849722089
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q4.rq,Remote SPARQL Query,0.223601406,0.0097218,0.223601406,0.269247919,0.0097218,0.011706431,9589614.213706464,0.005981898,0.013415051999999998,2.7067859543502025E-6,0.001645231276857513,102.86160998991957,85.42313195200143,370301.79596371047,307523.2750272051
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q5.rq,Remote SPARQL Query,3.47781491,0.151209343,3.4802800269999996,3.8866248519999997,0.15131652199999998,0.168983689,1.5124222357556522E8,0.139685687,0.160415985,2.3333582672415357E-5,0.0048304847243744965,6.6086636593458055,5.917730911887005,23791.1891736449,21303.831282793217
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q6.rq,Remote SPARQL Query,56.087115518,2.438570239,56.089548758999996,76.54049656800001,2.438676033,3.3278476759999998,2.4344714332018046E9,2.3260375410000003,2.7947551969999997,0.02267208412481823,0.150572521147845,0.41005856721764894,0.3004945229951084,1476.210841983536,1081.7802827823903
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q7.rq,Remote SPARQL Query,1.809389788,0.07866912100000001,1.811860348,2.078775472,0.078776536,0.090381542,7.871252889921778E7,0.074218178,0.089852759,1.102747872230895E-5,0.0033207647797320653,12.69413521813145,11.064206007903694,45698.88678527322,39831.1416284533
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q8.rq,Remote SPARQL Query,6.167349291000001,0.268145621,6.169784622,7.482105269,0.268251505,0.325308924,2.6802625870746714E8,0.26011620599999996,0.313972945,1.361406700469993E-4,0.011667933409434565,3.7278448819886396,3.0740011300765913,13420.241575159103,11066.40406827573
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q9.rq,Remote SPARQL Query,1.279656618,0.055637244,1.279656618,1.411569053,0.055637244,0.061372566999999996,5.559377287697558E7,0.052092234,0.060721215,5.125736228643113E-6,0.0022640088844002163,17.973571803808255,16.293924938808573,64704.85849370971,58658.129779710864
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q10.rq,Remote SPARQL Query,2.762912665,0.12012663700000001,2.762912665,3.132607375,0.12012663700000001,0.13620032,1.2007198137244463E8,0.108437219,0.130186059,1.3542429047987071E-5,0.0036800039467352573,8.324548368069273,7.3421266557964024,29968.374125049384,26431.65596086705
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q11.rq,Remote SPARQL Query,0.09540147,0.00414789,0.097294263,0.11859684699999999,0.004230185,0.005156384,4179794.7845728416,0.0032063229999999996,0.005731136,4.7410846477923674E-7,6.885553461990087E-4,236.39628054092196,193.93435399690946,851026.6099473191,698163.6743888741
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q12.rq,Remote SPARQL Query,4.333512197,0.188413573,4.371930649,8.703742357,0.190083941,0.37842358000000004,1.8967254850582436E8,0.160789747,0.227643809,1.7111265778399907E-4,0.013081003699410803,5.26083368610292,2.642541461079143,18939.00126997051,9513.149259884914
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q13.rq,Remote SPARQL Query,17.729458457,0.7708460189999999,18.496695955,32.235275211,0.804204171,1.401533704,8.040051058625845E8,0.783373466,0.846076871,3.3958580252717806E-4,0.018427853985941448,1.2434653239320244,0.7135040685400457,4476.475166155287,2568.614646744164
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q14.rq,Remote SPARQL Query,0.392154411,0.017050191000000003,0.414344536,2.9679567189999996,0.018014979,0.129041596,1.7877735903178092E7,0.015351956,0.025666513999999998,5.885237320367788E-6,0.0024259508074913204,55.50936251438317,7.749439180835922,199833.7050517794,27897.98105100932
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q15.rq,Remote SPARQL Query,0.146585848,0.006373297,0.14837180900000002,0.241806046,0.006450948000000001,0.010513306,6342092.261354263,0.0048893,0.009467859,1.6501267944401775E-6,0.0012845726115872848,155.01597594648103,95.1175586442552,558057.5134073317,342423.2111193187
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q16.rq,Remote SPARQL Query,0.236729847,0.010292602,0.23875052700000002,0.76858024,0.010380457,0.033416532,1.0337434654723918E7,0.009420156,0.013020249,1.0087344508210388E-6,0.001004357730502951,96.33487234714234,29.925307629169897,346805.5404497124,107731.10746501164
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q17.rq,Remote SPARQL Query,0.803425331,0.034931536,0.8058315629999999,1.259386673,0.035036154,0.054755941999999995,3.492965978437736E7,0.030781976,0.044531902000000005,8.415498536623621E-6,0.0029009478686497663,28.541945557152193,18.26285812049403,102751.00400574789,65746.2892337785
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q18.rq,Remote SPARQL Query,2.014012037,0.08756574,2.103640337,4.79453484,0.09146262299999999,0.20845803599999999,9.121693683114539E7,0.080917457,0.106195182,4.858164680882603E-5,0.00697005357288063,10.933427964339051,4.797128569320302,39360.34067162059,17269.66284955309
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q19.rq,Remote SPARQL Query,2.457061441,0.106828758,2.459407428,13.510610532000001,0.106930757,0.587417849,1.0675283220174937E8,0.090112195,0.113440107,3.687023246033026E-5,0.006072086335052414,9.351846260660064,1.7023657039062834,33666.64653837623,6128.516534062621
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q20.rq,Remote SPARQL Query,0.157006342,0.006826362,0.158880188,0.456368651,0.006907834,0.019842115,6855202.750887948,0.005943342999999999,0.009416092000000001,8.557046008221101E-7,9.250430264707205E-4,144.7631775749099,50.39785325304283,521147.4392696756,181432.2717109542
