Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour,Actual Operation Mixes per Hour
3.2515362220000004,1.083845407,3.2709021050000002,31.669497897,1.0903007009999999,10.556499298999999,1.090285482130743,1.084125358,1.097997723,4.984725486423034E-5,0.007060258838330952,3301.8414064103226,341.0221417189904
Options Summary,
Query Endpoint,http://opoce.mondeca.com:8890/sparql
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,2
Warmups,20
Runs,5
Random Operation Order,true
Outliers,1
Timeout,60s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,100
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,1.1029374580000002,1.1088593439999999,0.003359977,0.276268601
2,1.0824110630000001,1.088779024,0.003404706,0.30239922
3,1.07203209,1.0797257750000002,0.0033204280000000003,0.276945954
4,1.09219043,1.097997723,0.002616232,0.27494397800000003
5,1.076934729,1.084125358,0.00369551,0.236960714
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Operations per Second,Actual Operations per Second,Operations per Hour,Actual Operations per Hour
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q1.rq,Remote SPARQL Query,1.099204972,0.04779152,1.099204972,1.376886966,0.04779152,0.05986465,3.275354921491117E7,0.016488582999999998,0.176243705,0.0026864536692442977,0.05183101069093962,20.924214170212625,16.704348893712734,75327.17101276545,60135.65601736584
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q2.rq,Remote SPARQL Query,0.567360509,0.024667848,0.567360509,0.6461597060000001,0.024667848,0.0280939,2.438257691558469E7,0.019198992,0.033268721,1.5538969540125904E-5,0.003941949966720266,40.53859907033642,35.594915622252515,145938.9566532111,128141.69624010906
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q3.rq,Remote SPARQL Query,0.576631993,0.025070956,0.576631993,0.6477870370000001,0.025070956,0.028164653,2.4888584681710884E7,0.020898536,0.033404722,1.0200965488606982E-5,0.003193895034062169,39.88679171229051,35.505496907773015,143592.45016424585,127819.78886798285
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q4.rq,Remote SPARQL Query,0.22121930599999998,0.00961823,0.22121930599999998,0.256429346,0.00961823,0.011149102,9583189.829056729,0.008313723,0.011588978,7.32790343814676E-7,8.560317422938685E-4,103.96923342444504,89.69332238596436,374289.24032800214,322895.96058947174
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q5.rq,Remote SPARQL Query,2.259063293,0.098220143,2.261527252,2.488117022,0.098327271,0.108179,9.808321484399045E7,0.08861406100000001,0.112544076,5.129309278669462E-5,0.007161919630008048,10.170118521849346,9.243938287467993,36612.42667865765,33278.17783488477
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q6.rq,Remote SPARQL Query,6.433531668,0.279718768,6.436404807,6.99687572,0.279843687,0.304211987,2.7978818292702824E8,0.267306965,0.293641734,3.2732863284100826E-5,0.0057212641333975155,3.57342347336926,3.28718144824451,12864.324504129336,11833.853213680235
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q7.rq,Remote SPARQL Query,1.500054169,0.065219746,1.5024164880000002,1.649998292,0.065322456,0.07173905600000001,6.521962654394449E7,0.060886159999999995,0.07461919,1.4785402300330088E-5,0.0038451790986025716,15.308671186521217,13.93940840258617,55111.21627147638,50181.87024931022
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q8.rq,Remote SPARQL Query,2.384102173,0.103656616,2.3865724289999997,2.8330441879999997,0.103764018,0.123175834,1.0347527295736864E8,0.093054938,0.124113975,6.587490936558962E-5,0.008116335956919825,9.63725209638663,8.118475576954486,34694.107546991865,29226.51207703615
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q9.rq,Remote SPARQL Query,1.197489513,0.052064760999999994,1.197489513,1.453932416,0.052064760999999994,0.063214452,5.199155357084846E7,0.045184557,0.058166904000000005,7.974810192199075E-6,0.0028239706429421456,19.20684894721787,15.819167427094044,69144.65620998434,56949.002737538554
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q10.rq,Remote SPARQL Query,2.8154927290000002,0.122412727,2.8154927290000002,3.2013868000000003,0.122412727,0.13919073,1.2228403655338289E8,0.115610118,0.13834135900000002,3.4131076067690066E-5,0.00584218076301051,8.169085229185361,7.184386488956555,29408.7068250673,25863.7913602436
