Total Response Time,Average Response Time (Arithmetic),Total Runtime,Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour
10817.935846194001,3605.978615398,10825.04622106,3608.348740353,3604.4084587340367,3451.568682489,3844.824271936,43426.01605621902,208.38909773838702,0.9976862712133021
Options Summary,
Query Endpoint,http://opoce1.mondeca.com:8000/v1/graphs/sparql?database=opoceProd
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,0
Warmups,20
Runs,5
Random Operation Order,true
Outliers,1
Timeout,600s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,1
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,3525.715517955,3528.653266635,0.13223404,600.001049088
2,2964.443566588,2969.406672224,0.267157111,600.00013912
3,3448.6513485110004,3451.568682489,0.240119646,600.002027119
4,3843.5689797279997,3844.824271936,0.134462654,600.001354471
5,3860.594710208,3867.246948067,0.15614209199999998,600.000110117
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Queries per Second,Queries per Hour
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group2/q1.rq,Remote SPARQL Query,602.325307329,26.18805684,602.366152241,26.189832706,2.615822902005938E10,25.044454796,29.580185734,1.8205856037034707,1.3492907780398822,0.03818275630950874,137.45792271423147
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group2/q2.rq,Remote SPARQL Query,706.464598204,30.715852095,706.481336191,30.716579834,3.0671106643445847E10,29.057569512999997,36.631393677,3.129002737453824,1.7688987357827537,0.032555707875168635,117.2005483506071
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group2/q3.rq,Remote SPARQL Query,1591.929877364,69.214342494,1593.711847064,69.291819437,6.91772439003888E10,66.027282018,82.419899344,18.068142729179424,4.250663798653032,0.014431718031436572,51.95418491317166
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group2/q4.rq,Remote SPARQL Query,2387.464053082,103.80278491600001,2394.0803596339997,104.09045041799999,1.0332411686272487E11,92.92071038499999,152.459551951,197.9587730912449,14.069782268793105,0.00960702923259782,34.58530523735216
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group2/q5.rq,Remote SPARQL Query,1925.140520676,83.701761768,1925.2931986229999,83.70839994,8.316286540586063E10,78.00375055500001,128.721114484,120.49321380268984,10.976940092880614,0.01194623240578931,43.006436660841516
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group2/q6.rq,Remote SPARQL Query,2042.226959447,88.792476497,2042.286659828,88.795072166,8.868861866217902E10,81.80856121,97.24862589199999,19.883013971298077,4.459037336836066,0.01126188622416486,40.5427904069935
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group2/q7.rq,Remote SPARQL Query,8.833931791000001,0.38408399,8.83527143,0.384142236,2.7973828767188835E8,0.12409619100000001,1.497543232,0.14487454033138572,0.38062388302809597,2.6032024242187206,9371.528727187395
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group2/q8.rq,Remote SPARQL Query,495.311023185,21.535261877,495.314988957,21.535434302000002,2.0723494313343666E10,11.25482998,42.815873719,40.892441132793444,6.3947197853223745,0.046435097893852535,167.16635241786915
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group2/q9.rq,Remote SPARQL Query,7.759218361,0.33735732,7.759218361,0.33735732,2.734817728982032E8,0.03138515,1.570561462,0.09048742518369858,0.3008112783518906,2.9642161017878608,10671.177966436298
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group2/q10.rq,Remote SPARQL Query,11885.455437266999,516.758932055,11919.553800902,518.241469604,5.107797953234343E11,322.828899079,600.0028641920001,7281.774801733825,85.33331589557402,0.0019296024317855584,6.94656875442801
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group2/q11.rq,Remote SPARQL Query,8103.044994226,352.30630409599996,8105.381172683,352.407877073,3.204902766017361E11,96.037360708,600.001764014,21956.955211776516,148.17879474397313,0.0028376210211466233,10.215435676127845
