Total Response Time,Average Response Time (Arithmetic),Total Runtime,Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour
11994.795884999,3998.265294999,12000.798187110999,4000.26606237,3886.5709727341623,3285.811948212,5416.039951291999,1503354.9061321206,1226.1137411072925,0.8999401399483768
Options Summary,
Query Endpoint,http://opoce.mondeca.com:5820/opoceProd/query
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,0
Warmups,20
Runs,5
Random Operation Order,true
Outliers,1
Timeout,600s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,1
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,3206.383050864,3208.169382532,0.010140685,600.000156258
2,3297.118245749,3298.946287607,0.01350301,600.0001639430001
3,3283.95143242,3285.811948212,0.012368798,600.000200067
4,5413.72620683,5416.039951291999,0.0136903,600.000182625
5,14400.002993402,14400.002993402,600.000081065,600.000154511
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Queries per Second,Queries per Hour
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group2/q1.rq,Remote SPARQL Query,3.891008046,0.169174262,3.892724307,0.16924888200000002,2.4690472608766776E7,0.010140685,2.123016079,0.2594769384065478,0.5093887890467828,5.908458526774788,21270.450696389235
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group2/q2.rq,Remote SPARQL Query,222.291559083,9.664850393999998,222.29339259,9.664930112,9.553947502567259E9,7.0657675069999994,14.060019463,2.3141133597491073,1.5212210095016132,0.10346686302039552,372.48070687342386
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group2/q3.rq,Remote SPARQL Query,363.614158087,15.809311221,364.32549871900005,15.840239074,1.5678993012317915E10,12.983033969000001,20.02038812,5.482158479448076,2.341400965116414,0.06313036030127786,227.2692970846003
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group2/q4.rq,Remote SPARQL Query,354.82140074999995,15.427017422999999,354.822543175,15.427067094,1.5312471978263845E10,11.860208448,17.953552626,3.539010651294761,1.8812258373982536,0.06482113508075212,233.35608629070762
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group2/q5.rq,Remote SPARQL Query,279.85059246000003,12.167417063,279.873854011,12.168428435,1.2032589285729433E10,9.266899051000001,15.293357546,3.281915769954542,1.811605853919263,0.08217988093875,295.84757137950004
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group2/q6.rq,Remote SPARQL Query,512.894701382,22.299769625,512.895853318,22.299819708999998,1.514761735874609E10,10.653589073,214.8988547,1765.9109842300925,42.02274365424148,0.04484341187729017,161.43628275824463
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group2/q7.rq,Remote SPARQL Query,604.242509119,26.271413439,604.2435572740001,26.271459010999997,1.9793567806213507E8,0.072898958,600.000135177,15642.179291541184,125.06869828834544,0.03806412120397633,137.03083633431478
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group2/q8.rq,Remote SPARQL Query,623.532948466,27.110128194,623.5341066459999,27.110178549,1.1015756837064395E9,0.5359375740000001,600.000133501,15597.86383119514,124.89140815602626,0.03688651471596031,132.7914529774571
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group2/q9.rq,Remote SPARQL Query,2.561848242,0.111384706,2.56296801,0.111433391,1.0523162127549517E8,0.061810329000000004,0.33706384,0.0026689347793798514,0.051661734188660866,8.97397082711052,32306.29497759787
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group2/q10.rq,Remote SPARQL Query,7106.723172833999,308.987964036,7230.986501632,314.390717462,3.0439566355617035E11,224.030011008,600.0001377479999,9138.527837245996,95.59564758526403,0.0031807554881796685,11.450719757446807
