Total Response Time,Average Response Time (Arithmetic),Total Runtime,Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour
132.948036832,44.316012277,134.60663920000002,44.868879733,44.86872350400512,44.706360104,44.98478619,0.021009862240859208,0.14494779143146408,80.23378389258703
Options Summary,
Query Endpoint,http://opoce.mondeca.com:8890/sparql
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,0
Warmups,20
Runs,5
Random Operation Order,true
Outliers,1
Timeout,600s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,1
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,44.321866658,44.915492906,0.00847157,15.4545008
2,44.170940549,44.706360104,0.010064168,15.564633189
3,44.455229625,44.98478619,0.008818524,15.515234269
4,44.520050637,45.036261392,0.00904288,15.694442776
5,44.040239506,44.566181106,0.010233134,15.248639578
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Queries per Second,Queries per Hour
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group2/q1.rq,Remote SPARQL Query,82.767708223,3.598596009,82.769337694,3.598666856,3.598518107187016E9,3.5313926230000003,3.6552687059999998,0.0011189917438587669,0.03345133396232155,0.27788068193439913,1000.3704549638368
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group2/q2.rq,Remote SPARQL Query,82.94251724899999,3.606196402,82.944098548,3.6062651540000004,3.6060660638714647E9,3.549123545,3.708308391,0.0015089340349416377,0.03884500012796547,0.2772951952495282,998.2627028983015
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group2/q3.rq,Remote SPARQL Query,311.77707783299996,13.555525122999999,312.45195507000005,13.584867611,1.3583328068319338E10,13.421863054,14.489431893999999,0.04528923681200728,0.21281268010155613,0.07361131728588031,265.00074222916913
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group2/q4.rq,Remote SPARQL Query,35.476097516,1.542439022,37.04337212,1.610581396,1.6103776705450833E9,1.57563018,1.686450494,6.921769336555595E-4,0.026309255665175314,0.6208937980306833,2235.21767291046
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group2/q5.rq,Remote SPARQL Query,5.699933288,0.247823186,5.721120871,0.24874438499999998,2.486169351130185E8,0.239394647,0.268336185,6.754638627506637E-5,0.008218660856554818,4.02019124974419,14472.688499079086
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group2/q6.rq,Remote SPARQL Query,4.330013471999999,0.18826145500000002,4.350026973,0.189131607,1.8900397097566786E8,0.17749879999999998,0.216448293,5.329565732095799E-5,0.0073003874774533704,5.287323551372352,19034.364784940466
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group2/q7.rq,Remote SPARQL Query,0.34070403,0.014813218000000001,0.341667949,0.014855128,1.4819333101326507E7,0.013277559999999999,0.016921799,1.1403645614575414E-6,0.0010678785331008115,67.3168215043317,242340.5574155941
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group2/q8.rq,Remote SPARQL Query,0.507500616,0.022065244,0.508451792,0.022106598999999998,2.2068017423826747E7,0.020306242000000002,0.025496489,1.820796580030964E-6,0.0013493689562276748,45.23536162211112,162847.30183960003
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group2/q9.rq,Remote SPARQL Query,0.503261452,0.021880932000000002,0.507913174,0.022083181,2.2007656363425247E7,0.020188319,0.026821206,3.6616911224386235E-6,0.0019135545778572983,45.28333123746982,163019.99245489136
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group2/q10.rq,Remote SPARQL Query,349.624894559,15.201082372,358.093275882,15.569272864,1.5568616259447523E10,15.302385830999999,15.852431081999999,0.02140010623850547,0.14628775149856352,0.06422907535471657,231.22467127697968
