Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour,Actual Operation Mixes per Hour
0.088618559,0.029539519,0.088618559,1.2884421480000001,0.029539519,0.429480716,0.029539106931805725,0.029385961999999998,0.029753988,3.664336615433333E-8,1.9142457040394092E-4,121870.6370946663,8382.21569883012
Options Summary,
Query Endpoint,http://opoce.mondeca.com:3030/oracle/sparql
Update Endpoint,http://opoce.mondeca.com:3030/oracle/update
Graph Store Endpoint,null
Sanity Checking Level,0
Warmups,20
Runs,5
Random Operation Order,true
Outliers,1
Timeout,10s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,5
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,0.029478609,0.029478609,0.005332054,0.006823673999999999
2,0.029947992,0.029947992,0.00530348,0.007089873
3,0.028243825,0.028243825,0.005227839000000001,0.006204339
4,0.029753988,0.029753988,0.00503894,0.006858849
5,0.029385961999999998,0.029385961999999998,0.005006193,0.007230799
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Operations per Second,Actual Operations per Second,Operations per Hour,Actual Operations per Hour
/home/mondeca/bench/cmd/queries/group3/oracle/q1.rq,Remote SPARQL Query,0.16052556999999998,0.006979371999999999,0.16052556999999998,0.212894109,0.006979371999999999,0.009256265000000001,6877952.493311673,0.005644533,0.011803186,1.8203588939082483E-6,0.0013492067646985204,143.27936668227457,108.03493633771288,515805.72005618847,388925.77081576636
/home/mondeca/bench/cmd/queries/group3/oracle/q2.rq,Remote SPARQL Update,0.16581913499999998,0.007209526999999999,0.16581913499999998,0.56715737,0.007209526999999999,0.024659016000000002,7168056.9044912495,0.006204339,0.008634628,6.37174617842158E-7,7.982321829155713E-4,138.70535473409006,40.55311858348281,499339.2770427242,145991.2269005381
/home/mondeca/bench/cmd/queries/group3/oracle/q3.rq,Remote SPARQL Update,0.13872737799999998,0.006031625,0.13872737799999998,0.175012914,0.006031625,0.007609257,5993894.583400611,0.00510971,0.007527889,4.971166662545724E-7,7.05065008530825E-4,165.79280044764056,131.41887571940336,596854.0816115061,473107.95258985204
/home/mondeca/bench/cmd/queries/group3/oracle/q4.rq,Remote SPARQL Update,0.143384436,0.006234104999999999,0.143384436,0.17933955199999999,0.006234104999999999,0.007797371,6174227.994969303,0.005091111,0.009144016000000001,8.694734039023556E-7,9.324555774418188E-4,160.40794949716118,128.24835447742578,577468.6181897803,461694.07611873286
/home/mondeca/bench/cmd/queries/group3/oracle/q5.rq,Remote SPARQL Update,0.13742180099999998,0.005974859999999999,0.13742180099999998,0.173440956,0.005974859999999999,0.007540911,5943681.13974733,0.005245461,0.007483069,4.075575698688105E-7,6.384023573490393E-4,167.3679383282621,132.60997245558264,602524.5779817436,477395.90084009746
