Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour,Actual Operation Mixes per Hour
31.064252619999998,10.354750873,31.25958811,151.42365587700002,10.419862703000002,50.474551958999996,10.41985934563372,10.408898012,10.429188986,1.0494419368642533E-4,0.010244227334768853,345.4939957091294,71.3230699486792
Options Summary,
Query Endpoint,http://opoce.mondeca.com:8890/sparql
Update Endpoint,http://opoce.mondeca.com:8890/sparql
Graph Store Endpoint,null
Sanity Checking Level,0
Warmups,20
Runs,5
Random Operation Order,true
Outliers,1
Timeout,10s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,5
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,10.333264103,10.387096879000001,0.004537078,10.000204297
2,10.377447753,10.443399273999999,0.004646676000000001,10.000119564
3,10.347582734,10.408898012,0.005897875,10.000173741000001
4,10.354644507000001,10.429188986,0.005067383999999999,10.0001515
5,10.362025379,10.421501112,0.006297078,10.002594256
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Operations per Second,Actual Operations per Second,Operations per Hour,Actual Operations per Hour
/home/mondeca/bench/cmd/queries/group3/q1.rq,Remote SPARQL Query,6.665262105,0.289794004,8.446505081,8.966672472,0.367239351,0.389855324,3.64703920260506E8,0.30554443,0.47900325400000004,0.0019932378390503857,0.04464569227876734,2.7230197343421403,2.5650541070974318,9802.871043631705,9234.194785550755
/home/mondeca/bench/cmd/queries/group3/q2.rq,Remote SPARQL Update,166.60583540800002,7.243731974,166.60583540800002,142.13027731100001,7.243731974,6.179577274000001,6.965243863820647E9,4.204771898,10.000204297,4.092254436636725,2.022932138416097,0.13805038667765596,0.16182336681950843,496.9813920395614,582.5641205502303
/home/mondeca/bench/cmd/queries/group3/q3.rq,Remote SPARQL Update,0.184539207,0.008023443,0.184539207,0.287771559,0.008023443,0.012511806,7401590.388792229,0.004956956,0.028368303999999997,2.194423988702063E-5,0.004684467940654587,124.6347733759684,79.92451289605992,448685.1841534862,287728.24642581574
/home/mondeca/bench/cmd/queries/group3/q4.rq,Remote SPARQL Update,0.152310263,0.006622185,0.152310263,0.726581787,0.006622185,0.031590512,6534387.896743975,0.0055389309999999995,0.0109576,1.4972517839246916E-6,0.001223622402510142,151.0075601935011,31.65507415644292,543627.2166966039,113958.26696319452
/home/mondeca/bench/cmd/queries/group3/q5.rq,Remote SPARQL Update,0.140372938,0.006103170999999999,0.140372938,0.193532632,0.006103170999999999,0.008414462000000001,6048044.161038564,0.004721203,0.007492129,6.857388155986323E-7,8.280934824031839E-4,163.84925147927203,118.84301099701916,589857.3053253792,427834.839589269
