Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour,Actual Operation Mixes per Hour
5.408243891,1.802747963,5.8727058450000005,38.449754019,1.957568615,12.816584673,1.9506129640831984,1.730617514,2.096670117,0.0392867910741145,0.19820895810763572,1839.0159979143311,280.8860622271645
Options Summary,
Query Endpoint,http://opoce.mondeca.com:5820/opoceData/query
Update Endpoint,http://opoce.mondeca.com:5820/opoceProd/query
Graph Store Endpoint,null
Sanity Checking Level,0
Warmups,20
Runs,5
Random Operation Order,true
Outliers,1
Timeout,10s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,5
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,1.937853061,2.097653319,0.003994882,2.0794854970000003
2,1.935581013,2.096670117,0.002720736,2.080709805
3,1.889235384,2.045418214,0.00370776,2.0053055
4,1.583427494,1.730617514,0.0038904540000000002,1.711854357
5,1.234205796,1.384119426,0.003210544,1.366847332
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Operations per Second,Actual Operations per Second,Operations per Hour,Actual Operations per Hour
/home/mondeca/bench/cmd/queries/group3/q1.rq,Remote SPARQL Query,29.833191692,1.29709529,34.412995198,34.187080115,1.496217182,1.486394787,1.477257606920551E9,1.299606003,2.080709805,0.06699688135873538,0.2588375578596263,0.6683521697453678,0.6727687749889828,2406.067811083324,2421.967589960338
/home/mondeca/bench/cmd/queries/group3/q2.rq,Remote SPARQL Update,0.12452046,0.005413933,0.12452046,3.860075932,0.005413933,0.167829388,5294501.024919443,0.0038904540000000002,0.008840042000000001,1.5103037647609514E-6,0.001228944166657278,184.70860278470383,5.958432023836016,664950.9700249338,21450.35528580966
/home/mondeca/bench/cmd/queries/group3/q3.rq,Remote SPARQL Update,0.127532268,0.005544881,0.127532268,0.166514785,0.005544881,0.007239773,5417541.237387051,0.0038523679999999997,0.008293973,1.5703232418620868E-6,0.0012531253895209716,180.34652141317372,138.12587770362413,649247.4770874253,497253.1597330469
/home/mondeca/bench/cmd/queries/group3/q4.rq,Remote SPARQL Update,0.113165009,0.004920217,0.113165009,0.16386108100000002,0.004920217,0.007124394,4838529.447459177,0.003726681,0.007280774,9.056735751474507E-7,9.516688369109554E-4,203.24306834434333,140.36281541980975,731675.046039636,505306.1355113151
/home/mondeca/bench/cmd/queries/group3/q5.rq,Remote SPARQL Update,0.12156510400000001,0.005285439,0.12156510400000001,0.158290135,0.005285439,0.0068821789999999996,5190513.937656191,0.003954294,0.007574518000000001,1.0838017531474034E-6,0.001041057997014289,189.19904287988186,145.30281761052714,681116.5543675747,523090.1433978977
