Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour,Actual Operation Mixes per Hour
52.628514061000004,17.542838019999998,55.026465947,304.446248728,18.342155315,101.482082909,18.287887099231572,16.384352002,19.340421537999998,2.8751203476501392,1.6956179839958465,196.26919182479946,35.474242317514864
Options Summary,
Query Endpoint,http://opoce.mondeca.com:5820/opoceData/query
Update Endpoint,http://opoce.mondeca.com:5820/opoceData/query
Graph Store Endpoint,null
Sanity Checking Level,0
Warmups,20
Runs,5
Random Operation Order,true
Outliers,1
Timeout,10s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,5
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,15.887463431,16.078841447000002,0.028180008,10.15510119
2,16.239292058,16.384352002,0.012148471000000001,10.000257021
3,17.416935710999997,19.301692406999997,0.014882247,10.000213712
4,18.972286292,19.340421537999998,0.011445269,10.000191576999999
5,20.071347836,20.198836676,0.009740989,10.000177926000001
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Operations per Second,Actual Operations per Second,Operations per Hour,Actual Operations per Hour
/home/mondeca/bench/cmd/queries/group3/q1.rq,Remote SPARQL Query,62.565624134,2.7202445269999997,71.440508732,65.101700393,3.106109075,2.830508712,2.7432707503523026E9,1.67654799,8.178947101,3.304168745956985,1.817737259880257,0.32194619565959703,0.3532933835393191,1159.0063043745495,1271.8561807415488
/home/mondeca/bench/cmd/queries/group3/q2.rq,Remote SPARQL Update,230.016175916,10.0007033,230.016175916,218.40748407499999,10.0007033,9.495977568,1.0000703020178278E10,10.000153687,10.01181646,5.869923366209316E-6,0.0024227924727902956,0.0999929674945961,0.10530774665789522,359.974682980546,379.10788796842274
/home/mondeca/bench/cmd/queries/group3/q3.rq,Remote SPARQL Update,16.296835072,0.7085580459999999,16.296835072,22.675845031,0.7085580459999999,0.985906305,3.949459242791901E8,0.09507814399999999,2.852357434,0.6038718401104126,0.7770919122667618,1.4113169776919026,1.014295166719722,5080.74111969085,3651.4626001909987
/home/mondeca/bench/cmd/queries/group3/q4.rq,Remote SPARQL Update,4.215973291999999,0.183303186,4.215973291999999,7.147275839,0.183303186,0.310751123,3.3720940795165315E7,0.010905953,1.7858335259999998,0.22931391876156476,0.47886732897699835,5.455442547517968,3.218009287773354,19639.593171064684,11584.833435984074
/home/mondeca/bench/cmd/queries/group3/q5.rq,Remote SPARQL Update,9.149370443,0.397798714,9.149370443,11.821383197,0.397798714,0.513973182,2.350992810303152E8,0.081690262,1.721150913,0.2249111763957362,0.474248011483165,2.5138341699113687,1.945626805096613,9049.803011680928,7004.256498347807
